property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Ventana Rental Homes Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,False,"Big 4 Properties, LLC","Pacific Housing, Inc.",148,100% at 80% AMI,30,22200.0,Approve a Charitable Affordable Housing Program
236 Berendo Street Apartments,"Terra Capital Development Group LLC and Pacific Housing, Inc., or an affiliate",Los Angeles,Los Angeles,,2025-07-18,preliminary_only,False,Terra Capital Development Group LLC,"Pacific Housing, Inc.",52,100% at 80% AMI,30,7800.0,Approve a Charitable Affordable Housing Program
4256 Whittier Blvd. Apartments,"SIOF 4252 Whittier Blvd, LP",Los Angeles,Los Angeles,,2025-08-08,preliminary_only,False,"SoLa Impact, LLC",Housing on Merit,70,100% at 80% AMI,30,10350.0,Approve a Charitable Affordable Housing Program
11001 S. Vermont Ave. Apartments,"5 SIOF 11001 S Vermont St, LP",Los Angeles,Los Angeles,,2025-08-08,preliminary_only,False,"SoLa Impact, LLC",Housing on Merit,84,100% at 80% AMI,30,12450.0,Approve a Charitable Affordable Housing Program
Sandpiper Cove Apartments,Sandpiper Cove Apartments,Yuba City,Sutter,,2025-09-19,preliminary_only,False,Cahill Realty,Central Valley Coalition for Affordable Housing,90,100% at 80% AMI,30,13500.0,Approve a Charitable Affordable Housing Program
1723 Corinth Apartments,"1723 Corinth, LP",Los Angeles,Los Angeles,,2025-09-19,preliminary_only,False,Seachange Partners,Foundation for Affordable Housing,42,100% at 80% AMI,30,6300.0,Approve a Charitable Affordable Housing Program
3751 Delmas Terrace Apartments,3751 Delmas LP,Los Angeles,Los Angeles,,2025-09-19,preliminary_only,False,Seachange Partners,Foundation for Affordable Housing,37,100% at 80% AMI,30,5550.0,Approve a Charitable Affordable Housing Program
1141 N. Vermont Avenue Apartments,1141 N. Vermont NH LP,Los Angeles,Los Angeles,,2025-10-10,preliminary_only,False,Thrive Living,"Foundation Permanent Housing Fund, Inc.",290,100% at 80% AMI,30,43500.0,Approve a Charitable Affordable Housing Program
1408 Jefferson Apartments,AH 1408 Jefferson LP,Los Angeles,Los Angeles,,2025-10-24,preliminary_only,False,Orion Capital LLC,Orion Community Fund LLC,70,100% at 80% AMI,30,10500.0,Approve a Charitable Affordable Housing Program
4228 Western Apartments,"PS 4228 Western Ave, LP, a Delaware limited partnership",Healdsburg,Sonoma,25-511,2025-10-24,authorize,True,,,,,,,
Hazelhurst Affordable Housing Apartments,6144 Hazelhurst LP,Los Angeles,Los Angeles,,2025-11-07,preliminary_only,False,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,50,100% at 80% AMI,30,7350.0,Approve a Charitable Affordable Housing Program
Villa Del Sol Senior Apartments,"MKCR Capital, LLC",Santa Maria,Santa Barbara,,2025-11-21,preliminary_only,False,"MKCR Capital, LLC",Foundation for Affordable Housing,197,40% at 80% AMI,30,29550.0,Approve a Charitable Affordable Housing Program
