property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
9750 Airport Blvd. Apartments,"Perseverance LAX Affordable, L.P.",Los Angeles,Los Angeles,,2025-05-30,preliminary_only,False,Capital Insight,"Kingdom Development, Inc.",,40% at 80% AMI,30,34350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-230,2025-05-30,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-247,2025-06-06,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-248,2025-06-06,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)"
17188 Chatsworth St. Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,,2025-06-06,preliminary_only,False,BMI Developments,"Kingdom Development, Inc.",69,81% at 80% AMI,30,8400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-281,2025-06-27,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
11630 S. Main Street Apartments,"4 SIOF 11630 S MAIN ST, LP",Los Angeles,Los Angeles,25-291,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,84,20% at 80% AMI,30,2550.0,"Grant up to $10,000 (Charitable Affordable Housing)"
685 W. 4th St Apartments,"2 SIOF 685 W Fourth St, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-289,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,28,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
569 W. 6th Street. Apartments,"SIOF 5 Properties, LP, a California limited partnership",Los Angeles,Los Angeles,25-288,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,48,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-290,2025-06-27,authorize,True,"Vintage Housing Holdings, LLC / Kennedy Wilson","Pacific Housing, Inc.",687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,25-282,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,36,100% at 80% AMI,30,5250.0,"Grant up to $10,000 (Charitable Affordable Housing)"
321 E. Florence Apartments,"3 SIOF 321 E Florence Ave, LP",Los Angeles,Los Angeles,25-283,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,32,100% at 80% AMI,30,4650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
6401 S. Avalon Blvd. Apartments,"6 SIOF 6401 S Avalon Blvd, LP",Los Angeles,Los Angeles,25-285,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,28,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
9300 Compton Ave. Apartments,"6 SIOF 9300 Compton Ave, LP",Los Angeles,Los Angeles,25-284,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,20,100% at 80% AMI,30,2850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
9515 Compton Ave. Apartments,"6 SIOF 9515 Compton Ave, LP",Los Angeles,Los Angeles,25-286,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,21,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
10811 S. Compton Ave Apartments,"2 SIOF 10811 S Compton Ave, LP",Los Angeles,Los Angeles,25-287,2025-06-27,authorize,True,"SoLa Impact, LLC",Housing on Merit,29,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Violet on Virgil Apartments,"Post Violet, LP",Los Angeles,Los Angeles,,2025-06-27,preliminary_only,False,Post Investment Group,Integrity Housing,302,100% at 80% AMI,30,45150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-307,2025-07-18,authorize,True,Tesseract Capital Group,Housing on Merit,99,100% at 80% AMI,30,14850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kalmia Apartments,"Kalmia Supportive Housing, L.P., a California limited partnership",Los Angeles,Los Angeles,25-306,2025-07-18,authorize,True,A Community of Friends,A Community of Friends,30,100% at 80% AMI,30,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Pacific Trails Apartments,"Pacific Trails, LP",Azusa,Los Angeles,25-304,2025-07-18,authorize,True,Langdon Park Capital,Housing on Merit,84,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
LINQ Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,25-305,2025-07-18,authorize,True,Ethos Real Estate,"Pacific Housing, Inc.",230,100% at 80% AMI,30,34500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Mosaic Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,False,"Big 4 Properties, LLC","Pacific Housing, Inc.",208,100% at 80% AMI,30,31200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Ventana Rental Homes Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,False,"Big 4 Properties, LLC","Pacific Housing, Inc.",148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
236 Berendo Street Apartments,"Terra Capital Development Group LLC and Pacific Housing, Inc., or an affiliate",Los Angeles,Los Angeles,,2025-07-18,preliminary_only,False,Terra Capital Development Group LLC,"Pacific Housing, Inc.",52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Chatsworth Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,25-308,2025-07-18,authorize,True,BMI Developments,"Kingdom Development, Inc.",69,100% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-346,2025-08-08,authorize,True,Tesseract Capital Group,Housing on Merit,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Huston Affordable Housing Apartments,10910 Huston LP,Los Angeles,Los Angeles,25-353,2025-08-08,authorize,True,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,38,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Canyon Villa Apartment Homes,"Post Canyon Villa, LP",Chula Vista,San Diego,25-352,2025-08-08,authorize,True,Post Investment Group,Integrity Housing,183,100% at 80% AMI,30,27450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Azusa Gardens Apartments,"Azusa Gardens Owner, LP",Azusa,Los Angeles,25-347,2025-08-08,authorize,True,TriWest Multifamily,"Kingdom Development, Inc.",112,100% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Fountain Park Apartments,"Fountain Park, L.P., a California limited partnership",San Jose,Santa Clara,,2025-08-08,authorize,False,Belveron Partners,Las Palmas Housing & Development Corporation,164,100% at 80% AMI,30,24600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Parker Apartments,"Flag VII The Parker, L.P.",El Monte,Los Angeles,25-350,2025-08-08,authorize,True,Belveron Partners,Las Palmas Housing & Development Corporation,177,100% at 80% AMI,30,26550.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Canyon Ridge at Napa Junction Apartments,"Canyon Ridge at Napa Junction, LP",American Canyon,Napa,,2025-08-08,authorize,False,BRIDGE Housing Corporation,,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
11001 S. Vermont Ave. Apartments,"5 SIOF 11001 S Vermont St, LP",Los Angeles,Los Angeles,,2025-08-08,preliminary_only,False,"SoLa Impact, LLC",Housing on Merit,84,100% at 80% AMI,30,12450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Park Kiely Apartments,"Standard Vistria Park Kiely Owner, LP",San Jose,Santa Clara,25-348,2025-08-08,authorize,True,Standard Property Company,Housing on Merit,948,100% at 80% AMI,30,93600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-428,2025-08-29,authorize,True,The Transcend Group,Retail Store Employees Building Corporation,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Camden Village Apartments,"Flag VII Camden Village, L.P.",Fremont,Alameda,25-423,2025-08-29,authorize,True,Belveron Partners,Las Palmas Housing & Development Corporation,192,100% at 80% AMI,30,28800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Passo Barrington Apartments,"Passo Barrington, LP",Los Angeles,Los Angeles,25-424,2025-08-29,authorize,True,Glimcher Capital Group,Housing on Merit,53,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Passo Centinela I Apartments,"Passo Centinela, LP",Los Angeles,Los Angeles,25-425,2025-08-29,authorize,True,Glimcher Capital Group,Housing on Merit,72,100% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Passo Centinela II Apartments,"Passo Centinela 2, LP",Los Angeles,Los Angeles,25-426,2025-08-29,authorize,True,Glimcher Capital Group,Housing on Merit,73,100% at 80% AMI,30,10800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Passo Stoner Apartments,"Passo Stoner, LP",Los Angeles,Los Angeles,25-427,2025-08-29,authorize,True,Glimcher Capital Group,Housing on Merit,53,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4th Street Apartments,2025 E 4th Street LLLP,Los Angeles,Los Angeles,25-448,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Alexandria I Apartments,247 S Alexandria LLLP,Los Angeles,Los Angeles,25-449,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Ashby Apartments,808 S Hobart LLLP,Los Angeles,Los Angeles,25-450,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",49,100% at 80% AMI,30,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Catalina Apartments,454 Catalina LLLP,Los Angeles,Los Angeles,25-451,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Edgemont Apartments,103 S Edgemont LLLP,Los Angeles,Los Angeles,25-452,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",43,100% at 80% AMI,30,6450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Gramercy Apartments,Carson Gramercy LLLP // 974 S Gramercy LLLP,Los Angeles,Los Angeles,25-453,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",38,100% at 80% AMI,30,5700.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Irolo Apartments,Irolo 16 LLLP,Los Angeles,Los Angeles,25-454,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kenmore I Apartments,Kenmore 20 LLLP,Los Angeles,Los Angeles,25-455,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Manhattan III Apartments,426 Manhattan LLLP,Los Angeles,Los Angeles,25-456,2025-09-19,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Mariposa II Apartments,260 S Mariposa LLLP,Los Angeles,Los Angeles,25-457,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Sandpiper Cove Apartments,Sandpiper Cove Apartments,Yuba City,Sutter,,2025-09-19,preliminary_only,False,Cahill Realty,Central Valley Coalition for Affordable Housing,90,100% at 80% AMI,30,13500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Normandie Apartments,739 Normandie LLLP,Los Angeles,Los Angeles,25-458,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Norton Apartments,1111 Norton LLLP,Los Angeles,Los Angeles,25-459,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Oxford I Apartments,Oxford 19 LLLP,Los Angeles,Los Angeles,25-460,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",60,100% at 80% AMI,30,9000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Oxford III Apartments,960 S Oxford LLLP,Los Angeles,Los Angeles,25-461,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",73,100% at 80% AMI,30,10950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Seven Lions Apartments,3715 W 1st Street LLLP,Los Angeles,Los Angeles,25-462,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",55,100% at 80% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)"
St. Andrews I Apartments,515 S St. Andrews LLLP,Los Angeles,Los Angeles,25-463,2025-09-19,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
St. Andrews II Apartments,516 St. Andrews LLLP,Los Angeles,Los Angeles,25-464,2025-09-19,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,25-486,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",16,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,25-487,2025-10-10,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,25-488,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",39,100% at 80% AMI,30,5850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,25-489,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,25-490,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",18,100% at 80% AMI,30,2700.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kinglsey Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,25-491,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",45,100% at 80% AMI,30,6750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,25-492,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Falls at Arden Apartments,"GB Falls, LP",Sacramento,Sacramento,25-484,2025-10-10,authorize,True,Jackson Square Properties,Housing on Merit,272,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-485,2025-10-10,authorize,True,The Transcend Group,Retail Store Employees Building Corporation,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Mariposa III Apartments,750 Mariposa LLLP,Los Angeles,Los Angeles,25-493,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",23,100% at 80% AMI,30,3450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Mariposa IV Apartments,520 Mariposa LLLP,Los Angeles,Los Angeles,25-494,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Oxford II Apartments,Oxford 20 LLLP,Los Angeles,Los Angeles,25-495,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Western Apartments,Western 19 LLLP,Los Angeles,Los Angeles,25-496,2025-10-10,authorize,True,K3 Holdings,"Kingdom Development, Inc.",76,100% at 80% AMI,30,11400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
10705 Avalon Blvd Apartments,"PS 10705 Avalon Blvd, LP",Los Angeles,Los Angeles,25-512,2025-10-24,authorize,True,California State Teachers’ Retirement System,Housing On Merit,69,100% at 80% AMI,20,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
7524 S. Hoover St Apartments,"PS 7518 Hoover St, LP",Los Angeles,Los Angeles,25-513,2025-10-24,authorize,True,California State Teachers’ Retirement System,Housing On Merit,79,100% at 80% AMI,20,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
236 Berendo Apartments,236 Berendo Holdings OZ LP,Los Angeles,Los Angeles,25-510,2025-10-24,authorize,True,Terra Capital Development Group LLC,"Pacific Housing, Inc.",52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4228 Western Apartments,"PS 4228 Western Ave, LP, a Delaware limited partnership",Healdsburg,Sonoma,25-511,2025-10-24,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
4228 Western Ave Apartments,"PS 4228 Western Ave, LP",Los Angeles,Los Angeles,25-531,2025-11-07,authorize,True,California State Teachers’ Retirement System,Housing on Merit,68,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kittridge Affordable Housing Apartments,"18337 Kittridge, LP",Los Angeles,Los Angeles,25-552,2025-11-21,authorize,True,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,42,100% at 80% AMI,30,6150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
9033 Ramsgate Apartments,9033 Ramsgate LP,Los Angeles,Los Angeles,25-553,2025-11-21,authorize,True,Six Peak Capital,Housing on Merit,116,100% at 80% AMI,30,17400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Renaissance Apartment Homes,"Post Renaissance Apartments, LP",Fresno,Fresno,25-551,2025-11-21,authorize,True,Post Investment Group,Foundation for Affordable Housing,278,100% at 80% AMI,30,41700.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Montecito Apartments,"Flag VII Montecito, L.P.",Santa Clara,Santa Clara,25-557,2025-11-21,authorize,True,Belveron Partners,Las Palmas Housing & Development Corporation,114,100% at 80% AMI,30,17100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Thornbridge Apartments,"Thornbridge Holdings, L.P.",San Jose,Santa Clara,25-556,2025-11-21,authorize,True,Community HousingWorks,,286,100% at 80% AMI,30,42900.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Crossings Apartments,"Ethos GP I Venture, LP",Sunnyvale,Santa Clara,25-555,2025-11-21,authorize,True,"Ethos GP I Venture, LP","Pacific Housing, Inc",148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Hawaiian Gardens Senior Apartments,"MKCR Capital, LLC",Hawaiian Gardens,Los Angeles,,2025-11-21,preliminary_only,False,"MKCR Capital, LLC",Foundation for Affordable Housing,101,40% at 80% AMI,30,15150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Coliseum Connections Transit Village Apartments,"Coliseum Transit Village One, LP",Oakland,Alameda,25-554,2025-11-21,authorize,True,UrbanCore Development,"Pacific Housing, Inc.",110,20% at 50% AMI; 30% at 60% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Hive at Ackerfield Apartments,"Ackerfield 2 LP, a Delaware limited partnership",Long Beach,Los Angeles,25-568,2025-12-12,authorize,True,Golden Bee Properties,"Kingdom Development, Inc.",52,100% at 80% AMI,30,22800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Crystal Springs Terrace Apartments,"Crystal Springs Terrace Apartments, LP, a limited partnership",San Bruno,San Mateo,25-570,2025-12-12,authorize,True,Prometheus Real Estate Group,Integrity Housing,482,45% at 80% AMI,30,32400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Casa Serena Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Fremont,Alameda,25-572,2025-12-12,authorize,True,Kairos Investment Management Company,"Pacific Housing, Inc.",170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Trailview Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Concord,Contra Costa,25-571,2025-12-12,authorize,True,Kairos Investment Management Company,"Pacific Housing, Inc.",120,100% at 80% AMI,30,18000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Park Wilshire Apartments,Concord Park Wilshire LP,Los Angeles,Los Angeles,25-564,2025-12-12,authorize,True,Concord Companies,"Pacific Housing, Inc.",170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Sir Francis Drake Villa Apartments,Concord Sir Francis Drake LP,Los Angeles,Los Angeles,25-565,2025-12-12,authorize,True,Concord Companies,"Pacific Housing, Inc.",61,100% at 80% AMI,30,9150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Langham Apartments,Concord Langham LP,Los Angeles,Los Angeles,25-566,2025-12-12,authorize,True,Concord Companies,"Pacific Housing, Inc.",181,100% at 80% AMI,30,27150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Piccadilly Apartments,Concord Piccadilly LP,Los Angeles,Los Angeles,25-567,2025-12-12,authorize,True,Concord Companies,"Pacific Housing, Inc.",74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
San Pedro Apartments,"7655 San Pedro, LP",Los Angeles,Los Angeles,25-562,2025-12-12,authorize,True,"Eleos Ventures, LLC",Step Forward Communities,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Coliseum Connections Transit Village Apartments,"Coliseum Transit Village One, LP",Oakland,Alameda,25-563,2025-12-12,authorize,True,UrbanCore Development,"Pacific Housing, Inc.",110,20% at 50% AMI; 30% at 60% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Golden Gardens Apartments,"Golden Gardens Housing Partners, L.P.",Fresno,Fresno,,2025-12-12,preliminary_only,False,"Islas Development, LLC","Pacific Housing, Inc.",110,100% at 80% AMI,30,16500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Hawaiian Terrace Senior Apartments,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited Partnership, HG FSA Capital Limited Partnership",Hawaiian Gardens,Los Angeles,25-569,2025-12-12,authorize,True,"MKCR Capital, LLC",Foundation for Affordable Housing,101,100% at 80% AMI,30,15150.0,"Grant up to $10,000 (Charitable Affordable Housing)"
12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,26-004,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",16,100% at 80% AMI,55,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
8th Street Apartments,2933 8th LLLP,Los Angeles,Los Angeles,26-003,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,26-005,2026-01-09,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Ardmore Apartments,Ardmore 19 LLLP,Los Angeles,Los Angeles,26-006,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",67,100% at 80% AMI,55,10050.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Avalon Apartments,Ave 55 19 LLLP,Los Angeles,Los Angeles,26-007,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,26-008,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",39,100% at 80% AMI,55,5850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Harvard Apartments,516 Harvard LLLP,Los Angeles,Los Angeles,26-009,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Hollywood Apartments,5200 Hollywood LLLP,Los Angeles,Los Angeles,26-010,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",20,100% at 80% AMI,55,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,26-011,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,55,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,26-012,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",18,100% at 80% AMI,55,2700.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Kinglsey Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,26-013,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",45,100% at 80% AMI,55,6750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Lexington Apartments,5406 Lexington LLLP,Los Angeles,Los Angeles,26-014,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",42,100% at 80% AMI,55,15900.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Manhattan I & II Apartments,Manhattan 20 LLLP,Los Angeles,Los Angeles,26-015,2026-01-09,authorize,True,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,26-016,2026-01-09,authorize,True,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
1141 N. Vermont Avenue Apartments,1141 N. Vermont NH LP,Los Angeles,Los Angeles,26-002,2026-01-09,authorize,True,Thrive Living,"Foundation Permanent Housing Fund, Inc.",290,100% at 80% AMI,30,43500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
