property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-221,2024-06-07,authorize,True,GHC Housing Partners,Foundation for Affordable Housing,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Arbors Apartments,"Post Arbors Santa Ana, LP",Santa Ana,Orange,24-222,2024-06-07,authorize,True,Ascenda Capital,Integrity Housing,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,24-223,2024-06-07,authorize,True,GHC Housing Partners,Foundation for Affordable Housing,225,100% at 80% AMI,20,33750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Harbour Residences Apartments,"RMG Fee Avalon, LP, a California limited partnership",Los Angeles,Los Angeles,24-252,2024-07-19,authorize,False,RMG Housing LLC,DECRO Corporation,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,,2024-07-19,authorize,False,"SoLa Impact, LLC",Housing on Merit,25,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",Los Angeles,Los Angeles,24-254,2024-07-19,authorize,False,"SoLa Impact, LLC",Housing on Merit,29,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
2330 3rd Street Apartments,"2330 3rd Street Apartments L.P., a California limited partnership",Los Angeles,Los Angeles,24-276,2024-08-09,authorize,True,Terra Capital Development Group LLC,"Pacific Housing, Inc.",53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Appian Terrace Apartments,APPIAN LP,Los Angeles,Los Angeles,24-277,2024-08-09,authorize,True,Tesseract Capital Group,Housing on Merit,41,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Sierra Park Apartments,"Sierra Park LP, a California Limited Partnership",,Sacramento,,2024-08-09,authorize,False,Tesseract Capital Group,Housing on Merit,104,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
7524 S. Hoover St. Apartments,"BIF NON OZ 7524 S HOOVER ST, LP",Los Angeles,Los Angeles,24-279,2024-08-09,authorize,True,SoLa Impact,Housing On Merit,79,61% at 80% AMI,30,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,24-280,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",24,60% at 80% AMI,26,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,24-281,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",22,60% at 80% AMI,26,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,24-282,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",24,60% at 80% AMI,27,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,24-283,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",26,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio E Apartments,"GC 1537 7th, LP",Santa Monica,Los Angeles,24-284,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",26,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Santa Monica Portfolio F Apartments,"GC 2001-2029 Olympic, LP",Santa Monica,Los Angeles,24-285,2024-08-09,authorize,True,Gortikov Capital,"Kingdom Development, Inc.",65,60% at 80% AMI,30,14700.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,24-286,2024-08-09,authorize,True,Ascenda Capital,Integrity Housing,93,100% at 80% AMI,30,13950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
2330 3rd Street Apartments,2330 3rd Street Apartments L.P.,Los Angeles,Los Angeles,,2024-08-30,authorize,False,Terra Capital Development Group LLC,"Pacific Housing, Inc.",53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Stadium Village Apartments,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Inglewood,Los Angeles,,2024-08-30,authorize,False,Community HousingWorks,Community HousingWorks,80,100% at 80% AMI,30,12000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,,2024-08-30,authorize,False,Ethos Real Estate,"Pacific Housing, Inc.",697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-377,2024-09-20,authorize,True,Ethos Real Estate,"Affordable Housing Access, Inc.",406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)"
6171 Mission Gorge Apartments,6171 MISSION GORGE OWNER LP,San Diego,San Diego,24-378,2024-09-20,authorize,True,Impact Housing,Las Palmas Housing & Development Corporation,488,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)"
6200 S. Broadway Apartments,"BIF NON OZ 6200 BROADWAY BLK, LP",Los Angeles,Los Angeles,,2024-09-20,authorize,False,"SoLa Impact, LLC",Housing on Merit,66,80% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
4228 Western Ave. Apartments,"BIF NON OZ 4228 WESTERN AVE, LP",Los Angeles,Los Angeles,,2024-09-20,authorize,False,"SoLa Impact, LLC",Housing on Merit,68,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
