property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,minutes_outcome,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address
4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,24-199,2024-05-17,authorize,True,approved,Thrive Living,,"Kingdom Development, Inc.",111,111,100% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Fallbrook Trail Apartments,1735 South Mission LP,,San Diego,24-219,2024-06-07,authorize,True,approved,AOF,Pacific Affordable Housing Corp.,AOF / Pacific Affordable Housing Corp.,103,102,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Pinetree Terrace Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-220,2024-06-07,authorize,True,approved,GHC Housing Partners,,Foundation for Affordable Housing,58,58,100% at 80% AMI,20,8700.0,"Grant up to $10,000 (Charitable Affordable Housing)","4 miles away, providing access to public transportation"
Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-221,2024-06-07,authorize,True,approved,GHC Housing Partners,,Foundation for Affordable Housing,52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","2 miles away, providing access to public transportation"
The Arbors Apartments,"Post Arbors Santa Ana, LP",Santa Ana,Orange,24-222,2024-06-07,authorize,True,approved,Ascenda Capital,,Integrity Housing,160,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,24-223,2024-06-07,authorize,True,approved,GHC Housing Partners,,Foundation for Affordable Housing,225,225,100% at 80% AMI,20,33750.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Harbour Residences Apartments,"RMG Fee Avalon, LP, a California limited partnership",Los Angeles,Los Angeles,24-252,2024-07-19,authorize,False,,RMG Housing LLC,,DECRO Corporation,74,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)",445 N Avalon Blvd
4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,,2024-07-19,authorize,False,,"SoLa Impact, LLC",,Housing on Merit,25,24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)","24 restricted units,"
1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",Los Angeles,Los Angeles,24-254,2024-07-19,authorize,False,,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
2330 3rd Street Apartments,"2330 3rd Street Apartments L.P., a California limited partnership",Los Angeles,Los Angeles,24-276,2024-08-09,authorize,False,pulled,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Appian Terrace Apartments,APPIAN LP,Los Angeles,Los Angeles,24-277,2024-08-09,authorize,True,approved,Tesseract Capital Group,,Housing on Merit,41,41,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The property is conveniently located near many restaurants
Sierra Park Apartments,"Sierra Park LP, a California Limited Partnership",,Sacramento,,2024-08-09,authorize,False,,Tesseract Capital Group,,Housing on Merit,104,104,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
7524 S. Hoover St. Apartments,"BIF NON OZ 7524 S HOOVER ST, LP",Los Angeles,Los Angeles,24-279,2024-08-09,authorize,True,approved,SoLa Impact,,Housing On Merit,79,48,61% at 80% AMI,30,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,24-280,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",24,32,60% at 80% AMI,26,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,24-281,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",22,49,60% at 80% AMI,26,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,24-282,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",24,29,60% at 80% AMI,27,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio D Apartments,"GC 1522 6th, LP",Santa Monica,Los Angeles,24-283,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",26,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio E Apartments,"GC 1537 7th, LP",Santa Monica,Los Angeles,24-284,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",26,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Santa Monica Portfolio F Apartments,"GC 2001-2029 Olympic, LP",Santa Monica,Los Angeles,24-285,2024-08-09,authorize,True,approved,Gortikov Capital,,"Kingdom Development, Inc.",65,98,60% at 80% AMI,30,14700.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,24-286,2024-08-09,authorize,True,approved,Ascenda Capital,,Integrity Housing,93,93,100% at 80% AMI,30,13950.0,"Grant up to $10,000 (Charitable Affordable Housing)",295 square feet of rentable area. It features 93 units with three different floor plans
2330 3rd Street Apartments,2330 3rd Street Apartments L.P.,Los Angeles,Los Angeles,,2024-08-30,authorize,False,,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Stadium Village Apartments,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Inglewood,Los Angeles,,2024-08-30,authorize,False,,Community HousingWorks,,Community HousingWorks,80,80,100% at 80% AMI,30,12000.0,"Grant up to $10,000 (Charitable Affordable Housing)",9301 – 9609 Crenshaw
Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,,2024-08-30,authorize,False,,Ethos Real Estate,,"Pacific Housing, Inc.",697,697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-377,2024-09-20,authorize,True,approved,Ethos Real Estate,,"Affordable Housing Access, Inc.",406,406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 and State Highway 55 and is close to the Downtown Santa Ana and Irvine Business complexes, which are two large employment hubs in the area"
6171 Mission Gorge Apartments,6171 MISSION GORGE OWNER LP,San Diego,San Diego,24-378,2024-09-20,authorize,False,pulled,Impact Housing,,Las Palmas Housing & Development Corporation,488,483,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 levels of Type III construction, consisting of"
6200 S. Broadway Apartments,"BIF NON OZ 6200 BROADWAY BLK, LP",Los Angeles,Los Angeles,,2024-09-20,authorize,False,,"SoLa Impact, LLC",,Housing on Merit,66,51,80% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
4228 Western Ave. Apartments,"BIF NON OZ 4228 WESTERN AVE, LP",Los Angeles,Los Angeles,,2024-09-20,authorize,False,,"SoLa Impact, LLC",,Housing on Merit,68,14,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",
4327 S. Vermont Apartments,IF OZ 4300 S VERMONT AVE BLK LP a Delaware limited partnership,Los Angeles,Los Angeles,24-381,2024-09-20,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,188,111,59% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
2023 Imperial Apartments,"BIF NON OZ 2000 Imperial Hwy Blk, LP",Los Angeles,Los Angeles,24-382,2024-09-20,authorize,True,approved,"SoLa Impact, LLC",,Housing on Merit,90,71,79% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Marquee Apartments,"Post Marquee North Hollywood, LP",Los Angeles,Los Angeles,24-383,2024-09-20,authorize,True,approved,Ascenda Capital,,Integrity Housing,236,236,100% at 80% AMI,30,35400.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 units. These include 194 studios,"
Meridian Apartments,"400 Meridian, LP, a California limited partnership",San Rafael,Marin,24-384,2024-09-20,authorize,True,approved,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,35,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in
Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,24-411,2024-10-11,authorize,True,approved,Ethos Real Estate,,"Pacific Housing, Inc.",697,697,100% at 80% AMI,30,74775.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,24-410,2024-10-11,authorize,True,approved,Ethos Real Estate,,"Affordable Housing Access, Inc.",406,406,100% at 80% AMI,30,60900.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 and State Highway 55 and is close to the Downtown Santa Ana and Irvine Business complexes, which are two large employment hubs in the area"
6171 Mission Gorge Apartments,"6171 Mission Gorge Owner LP, a California limited partnership",San Diego,San Diego,24-412,2024-10-11,authorize,True,approved,Impact Housing,,Las Palmas Housing & Development Corporation,488,483,100% at 80% AMI,30,72450.0,"Grant up to $10,000 (Charitable Affordable Housing)","5 levels of Type III construction, consisting of"
4752 Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,24-399,2024-10-11,preliminary_only,True,approved,"Eleos Ventures, LLC",,Step Forward Communities,53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)","4752 Main Street Apartments project is a proposed new construction project of a 4-story,"
Soto Apartments,"EV 228 Soto, LP, a California limited partnership",Los Angeles,Los Angeles,24-413,2024-10-11,authorize,True,approved,"Eleos Ventures, LLC",,Step Forward Communities,41,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,,"Eleos Ventures, LLC",,Step Forward Communities,53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Market Street Village Apartments,699 14TH Street CSLC LP,San Diego,San Diego,24-427,2024-11-01,authorize,True,approved,Community Solutions,,Community Solutions,229,229,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)","699 14th Street. The project consists of 229 units, all of which are currently market rate"
The Carla Apartments,1201 Fulton Ave LP,,Sacramento,24-428,2024-11-01,authorize,True,approved,"Trion Properties, Inc.",,Riverside Charitable Corporation,63,62,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",1201 Fulton Avenue. The property
Creekside Villas Apartments,"Post Creekside, LP",San Diego,San Diego,24-429,2024-11-01,authorize,True,approved,Post Investment Group,,Integrity Housing,144,144,100% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)",27 garden-style buildings across a five-acre lot. The community was
Skylark Place by Trion Living Apartments,"Trion Skylark Properties, LP",,Sacramento,24-430,2024-11-01,authorize,True,approved,"Trion Properties, Inc.",,Integrity Housing,198,198,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",793 rentable square feet. It features 198 units across five floor plans
Seaport Village Apartments,"Avanath Seaport, LP, a Delaware limited partnership",Long Beach,Los Angeles,,2024-11-22,authorize,False,,Avanath Capital,,"Pacific Housing, Inc.",42,144,40% at 80% AMI,30,21600.0,"Grant up to $10,000 (Charitable Affordable Housing)",5601 North Paramount Boulevard
1457 Main Street Apartments,1457 Main Owner LP,Los Angeles,Los Angeles,24-443,2024-11-22,authorize,True,approved,Thrive Living,,"Kingdom Development, Inc.",377,151,40% at 80% AMI,30,22650.0,"Grant up to $10,000 (Charitable Affordable Housing)","1457 North Main Street, Los Angeles, CA"
Viewpoint Apartments,"651 Addison LLC, a California limited liability company",Berkeley,Alameda,24-470,2024-12-13,authorize,True,approved,BRIDGE Housing Corporation,,BRIDGE Housing Corporation,94,71,75% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Ventana Residences Apartments,"99 Ocean Avenue LP, a Delaware limited partnership",,San Francisco,,2024-12-13,authorize,False,,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc.",193,100,52% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)","100 units will be deed restricted, targeting tenants earning"
SoFi Los Gatos Creek Apartments,"BWF III Ethos CA Los Gatos Creek LP, a Delaware limited partnership",San Jose,Santa Clara,24-472,2024-12-13,authorize,True,approved,Ethos Real Estate,,"Casa Major, Inc.",193,193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Chaparral Apartments,"Post Chaparral, LP, a Delaware limited partnership",Palmdale,Los Angeles,24-473,2024-12-13,authorize,True,approved,Post Investment Group,,Integrity Housing,296,296,100% at 80% AMI,30,44400.0,"Grant up to $10,000 (Charitable Affordable Housing)",283 covered and 205 uncovered spots. The grant for this project will create affordable housing in
Elevate Long Beach Apartments,"Gelt on 3rd LB, LP",Long Beach,Los Angeles,,2025-01-10,preliminary_only,False,,Gelt Ventures Partners,,Integrity Housing,171,171,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)","700 square feet. Amenities at the property include a rooftop sky deck with barbeque area and fireplace, fully equipped fitness center"
2245 Amherst Apartments,2245 Amherst LLC,Los Angeles,Los Angeles,,2025-01-10,preliminary_only,False,,HVN Development,,Integrity Housing,38,38,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Bella Vista Apartments,"Vintage Housing Holdings, LLC",Richmond,Contra Costa,25-038,2025-01-10,authorize,False,pulled,"Vintage Housing Holdings, LLC",,Hearthstone Housing Foundation,8,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Electric Lofts Apartments,"Electric Lofts, LP",Oakland,Alameda,25-066,2025-01-31,authorize,True,approved,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,89,80,10% at 60% AMI; 90% at 80% AMI,30,13350.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Harken Apartments,"PREG 5150 ECR Los Altos, LP, a California limited partnership",Los Altos,Santa Clara,25-065,2025-01-31,authorize,True,approved,Prometheus Real Estate Group,,Hearthstone Housing Foundation,29,29,15% at 60% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
Cherokee Avenue Apartments,1305 CherokeeOOZB LLC,Los Angeles,Los Angeles,,2025-01-31,preliminary_only,False,,Uncommon Developers,,Pacific Housing Inc.,52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",1301-1307 N. Cherokee Avenue in
Oak Park Apartments,"Post Oak Park Monrovia, LP",Monrovia,Los Angeles,,2025-01-31,preliminary_only,False,,Post Investment Group,,Integrity Housing,156,156,100% at 80% AMI,30,23400.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Meridian Apartments,"400 Meridian LP, a California limited partnership",San Rafael,Marin,25-083,2025-02-21,authorize,True,approved,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in
333 Douglas Apartments,"333 Douglas Street, LP, a California limited partnership",Los Angeles,Los Angeles,,2025-02-21,authorize,False,,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
Mansfield Micro Apartments,"2533 Mansfield Owner, L.P., a California limited partnership.",Los Angeles,Los Angeles,25-084,2025-02-21,authorize,True,approved,"CIM Group, LLC",,"Pacific Housing, Inc.",116,115,100% at 80% AMI,30,17250.0,"Grant up to $10,000 (Charitable Affordable Housing)",
The Enclave Apartments,"ENCLAVE LP, a California limited partnership",Walnut Creek,Contra Costa,,2025-02-21,authorize,False,,Tesseract Capital Group,,Housing on Merit,32,32,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",
501 S. Burlington Avenue Apartments,501 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,,Taylor Equities,,"Kingdom Development, Inc.",42,42,100% at 80% AMI,30,6300.0,"Grant up to $10,000 (Charitable Affordable Housing)","501 S. Burlington Avenue Apartments project is a three-story,"
Brookhollow Apartments,"Post Brookhollow, LP",West Covina,Los Angeles,,2025-02-21,preliminary_only,False,,Post Investment Group,,Integrity Housing,188,188,100% at 80% AMI,30,28200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
625 S. Burlington Avenue Apartments,625 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,,Taylor Equities,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)","625 S. Burlington Avenue Apartments project is a four-story,"
The Groves at East Tabor Apartments,"Post Groves, LP",Fairfield,Solano,,2025-02-21,preliminary_only,False,,Post Investment Group,,Integrity Housing,148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Shadowbrook Apartments,"Post Shadowbrook, LP",Selma,Fresno,,2025-02-21,preliminary_only,False,,Post Investment Group,,Integrity Housing,193,193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)",
River Court Apartments,"Post Rivercourt, LP",Sacramento,Sacramento,,2025-02-21,preliminary_only,False,,Post Investment Group,,Integrity Housing,160,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Emerald Pointe Apartments,"Post Emerald, LP",Modesto,Stanislaus,,2025-02-21,preliminary_only,False,,Post Investment Group,,Integrity Housing,250,250,100% at 80% AMI,30,37500.0,"Grant up to $10,000 (Charitable Affordable Housing)",
3901 Normandie Avenue Apartments,"BIF OZ 3905 NORMANDIE AVE, LP",Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,,"SoLa Impact, LLC",,Housing on Merit,84,83,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)",
11422 Broadway Apartments,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",Los Angeles,Los Angeles,,2025-02-21,authorize,False,,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",
Casa La Palma Apartments,"7777 Valley View, L.P., a California limited partnership",La Palma,Orange,25-103,2025-03-14,authorize,True,approved,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,272,270,100% at 80% AMI,30,40500.0,"Grant up to $10,000 (Charitable Affordable Housing)",7777 Valley View Street
The Eaves Apartments,"920 Gramercy Upwell, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-104,2025-03-14,authorize,True,approved,Treehouse Community,,Butterfly’s Haven,13,13,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",920 S
Coronado Palms Apartments,"Coronado Owner, LP",Anaheim,Orange,25-102,2025-03-14,authorize,True,approved,TriWest Multifamily,,"Kingdom Development, Inc.",169,68,40% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)","1250 S. Euclid St., Anaheim, CA"
AVID South & Lime Apartments,"Avid South & Lime, LP",Long Beach,Los Angeles,,2025-03-14,preliminary_only,False,,Avanath Capital,,BRIDGE Housing Corporation,96,96,100% at 80% AMI,30,14400.0,"Grant up to $10,000 (Charitable Affordable Housing)",
569th W. 6th Street Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,,2025-03-14,preliminary_only,False,,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,25-116,2025-04-04,authorize,True,approved,Taylor Equities,,Housing on Merit,50,50,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,25-117,2025-04-04,authorize,True,approved,Post Investment Group,,Integrity Housing,189,189,100% at 80% AMI,30,28350.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Aspire Arden Apartments,Clear Capital or an affiliate,Sacramento,Sacramento,,2025-04-04,preliminary_only,False,,"Clear Capital, LLC",,Housing on Merit,250,100,40% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)",
Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,25-144,2025-04-25,authorize,True,approved,The Sobrato Organization,,"Pacific Housing, Inc.",122,24,20% at 60% AMI; 80% at 80% AMI,30,18300.0,"Grant up to $10,000 (Charitable Affordable Housing)","79 acres. The unit mix consists of 4 studios,"
SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,25-145,2025-04-25,authorize,True,approved,The Sobrato Organization,,"Pacific Housing, Inc.",112,22,20% at 60% AMI; 80% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)","81 acres. The unit mix consists of 5 studios,"
