agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,275 Turk Street Apartments,"RHI-Mosser 275 Turk, LP",San Francisco,San Francisco,24-076,2024-03-15,authorize,approved,"Mosser Capital, LLC",,"Kingdom Development, Inc.",66,27,100% at 80% AMI,30,9900.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Montessa Apartments,"Affordable Housing Alliance II, Inc., d/b/a Integrity Housing, a Colorado nonprofit corporation",Vacaville,Solano,24-176,2024-04-26,authorize,approved,Ascenda Capital,,Integrity Housing,169,58,34% at 80% AMI,30,8700.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,24-177,2024-04-26,authorize,pulled,Thrive Living,,"Kingdom Development, Inc.",111,45,100% at 80% AMI,30,6570.0,"Grant up to $10,000 (Charitable Affordable Housing)","45 units restricted and 66 market-rate units, including",,cmfa-meeting-docs
CMFA,Premiere Hollywood Apartments,"OODB2, LP, a Washington Limited Partnership",Los Angeles,Los Angeles,24-178,2024-04-26,authorize,approved,Housing Diversity Corporation,,PEP Housing,69,69,100% at 80% AMI,30,10350.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Montessa Apartments,"Affordable Housing Alliance II, Inc., d/b/a Integrity Housing, a Colorado nonprofit corporation",Vacaville,Solano,24-200,2024-05-17,authorize,approved,Ascenda Capital,,Integrity Housing,169,58,34% at 80% AMI,30,8700.0,"Charitable Affordable Housing Grant for an Affordable Rental Housing Facility Located in the City of Vacaville, Solano County, California",,,cmfa-meeting-docs
CMFA,4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,24-199,2024-05-17,authorize,approved,Thrive Living,,"Kingdom Development, Inc.",111,111,100% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Fallbrook Trail Apartments,1735 South Mission LP,,San Diego,24-219,2024-06-07,authorize,approved,AOF,Pacific Affordable Housing Corp.,AOF / Pacific Affordable Housing Corp.,103,102,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Pinetree Terrace Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-220,2024-06-07,authorize,approved,GHC Housing Partners,,Foundation for Affordable Housing,58,58,100% at 80% AMI,20,8700.0,"Grant up to $10,000 (Charitable Affordable Housing)","4 miles away, providing access to public transportation",,cmfa-meeting-docs
CMFA,Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-221,2024-06-07,authorize,approved,GHC Housing Partners,,Foundation for Affordable Housing,52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","2 miles away, providing access to public transportation",,cmfa-meeting-docs
CMFA,The Arbors Apartments,"Post Arbors Santa Ana, LP",Santa Ana,Orange,24-222,2024-06-07,authorize,approved,Ascenda Capital,,Integrity Housing,160,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,24-223,2024-06-07,authorize,approved,GHC Housing Partners,,Foundation for Affordable Housing,225,225,100% at 80% AMI,20,33750.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Harbour Residences Apartments,"RMG Fee Avalon, LP, a California limited partnership",Los Angeles,Los Angeles,24-252,2024-07-19,authorize,,RMG Housing LLC,,DECRO Corporation,74,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)",445 N Avalon Blvd,,cmfa-meeting-docs
CMFA,4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,,2024-07-19,authorize,,"SoLa Impact, LLC",,Housing on Merit,25,24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)","24 restricted units,",,cmfa-meeting-docs
CMFA,1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",Los Angeles,Los Angeles,24-254,2024-07-19,authorize,,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,2330 3rd Street Apartments,"2330 3rd Street Apartments L.P., a California limited partnership",Los Angeles,Los Angeles,24-276,2024-08-09,authorize,pulled,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",53,53,100% at 80% AMI,30,7950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Appian Terrace Apartments,APPIAN LP,Los Angeles,Los Angeles,24-277,2024-08-09,authorize,approved,Tesseract Capital Group,,Housing on Merit,41,41,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The property is conveniently located near many restaurants,,cmfa-meeting-docs
