ain,apn,situs_address,situs_house_no,situs_street,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,homeowners_exemp,units,value_source,fetch_date
4291022015,4291-022-015,1537 7TH ST SANTA MONICA CA 90401,1537,7TH ST,Five or more apartments,2003,2026,3672000,3039600,6711600,0,0,36,la-county-api,2026-08-22
4291024007,4291-024-007,1522 6TH ST SANTA MONICA CA 90401,1522,6TH ST,Five or more apartments,2004,2026,3672000,3519000,7191000,6085025,0,26,la-county-api,2026-08-22
4313014022,4313-014-022,3751 DELMAS TER LOS ANGELES CA 90034,3751,DELMAS TER,Two Units,1914,2026,1377000,459000,1836000,0,0,2,la-county-api,2026-08-22
5020017007,5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,1130,MARTIN LUTHER KING JR BLVD,Store Combination,2021,2026,9338630,3714228,13052858,11703193,0,29,la-county-api,2026-08-22
5020025039,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,4301,VERMONT AVE,Stores,1968,2026,3599652,194296,3793948,0,0,11,la-county-api,2026-08-22
5021009036,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,4238,WESTERN AVE,Stores,2024,2026,2300000,13096000,15396000,0,0,68,la-county-api,2026-08-22
5021028002,5021-028-002,4209 S WESTERN AVE LOS ANGELES CA 90062,4209,WESTERN AVE,Store Combination,2022,2026,6367248,4775436,11142684,7131318,0,25,la-county-api,2026-08-22
5024017036,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252,CRENSHAW BLVD,Five or more apartments,2019,2026,4200000,25000000,29200000,0,0,111,la-county-api,2026-08-22
5032007019,5032-007-019,4008 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90008,4008,MARTIN LUTHER KING JR BLVD,Five or more apartments,2024,2026,2335129,11290000,13625129,0,0,0,la-county-api,2026-08-22
5032015003,5032-015-003,4101 SOMERSET DR LOS ANGELES CA 90008,4101,SOMERSET DR,Five or more apartments,2023,2026,1584354,8415000,9999354,0,0,36,la-county-api,2026-08-22
5040021006,5040-021-006,1408 W JEFFERSON BLVD LOS ANGELES CA 90007,1408,JEFFERSON BLVD,Store Combination,1904,2026,1456560,62424,1518984,0,0,0,la-county-api,2026-08-22
5049009082,5049-009-082,,0, ,Single,,2026,2107153,0,2107153,0,0,0,la-county-api,2026-08-22
5052023039,5052-023-039,2075 W JEFFERSON BLVD LOS ANGELES CA 90018,2075,JEFFERSON BLVD,"Restaurants, Cocktail Lounges",1977,2026,1144440,312120,1456560,0,0,0,la-county-api,2026-08-22
5077018006,5077-018-006,2933 W 8TH ST LOS ANGELES CA 90005,2933,8TH ST,Five or more apartments,1928,2026,6472943,2976688,9449631,0,0,40,la-county-api,2026-08-22
