ain,apn,situs_address,situs_house_no,situs_street,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,homeowners_exemp,units,value_source,fetch_date
6048004047,6048-004-047,9422 FIRTH BLVD LOS ANGELES CA 90002,9422,FIRTH BLVD,Single,,2026,1394398,0,1394398,0,0,0,la-county-api,2026-08-22
6048022067,6048-022-067,9300 COMPTON AVE XX LOS ANGELES CA 90002,9300,COMPTON AVE,Single,,2026,607243,0,607243,0,0,0,la-county-api,2026-08-22
6053006052,6053-006-052,225 W COLDEN AVE LOS ANGELES CA 90003,225,COLDEN AVE,Five or more apartments,1994,2026,2000000,4000000,6000000,0,0,38,la-county-api,2026-08-22
6063029029,6063-029-029,10705 AVALON BLVD LOS ANGELES CA 90061,10705,AVALON BLVD,Stores,1924,2026,955087,0,955087,955087,0,0,la-county-api,2026-08-22
6070003041,6070-003-041,10811 COMPTON AVE LOS ANGELES CA 90059,10811,COMPTON AVE,Two Units,1950,2026,486984,2195000,2681984,0,0,2,la-county-api,2026-08-22
6083001009,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,110,IMPERIAL HWY,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,1951,2026,217526,220425,437951,0,0,0,la-county-api,2026-08-22
6083010040,6083-010-040,110 E 116TH ST LOS ANGELES CA 90061,110,116TH ST,Five or more apartments,2023,2026,1010668,7479660,8490328,0,0,84,la-county-api,2026-08-22
6087002036,6087-002-036,11422 S BROADWAY LOS ANGELES CA 90061,11422,BROADWAY,"Warehousing, Distribution, Storage",1917,2026,2430059,477543,2907602,0,0,0,la-county-api,2026-08-22
6320011041,6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA 90255,2701,RANDOLPH ST,Five or more apartments,1989,2026,7022700,28090800,35113500,35113500,0,255,la-county-api,2026-08-22
7075020011,7075-020-011,12100 226TH ST HAWAIIAN GARDNS CA 90716,12100,226TH ST,Five or more apartments,1990,2026,5736890,14071618,19808508,0,0,101,la-county-api,2026-08-22
7075020012,7075-020-012,12100 226TH ST HAWAIIAN GARDENS CA 90716,12100,226TH ST,Five or more apartments,,2026,4004998,0,4004998,0,0,0,la-county-api,2026-08-22
7157012017,7157-012-017,5565 ACKERFIELD AVE LONG BEACH CA 90805,5565,ACKERFIELD AVE,Five or more apartments,1973,2026,3950877,10824321,14775198,0,0,50,la-county-api,2026-08-22
7157012023,7157-012-023,5700 ACKERFIELD AVE LONG BEACH CA 90805,5700,ACKERFIELD AVE,Five or more apartments,1973,2026,4762701,20566211,25328912,0,0,93,la-county-api,2026-08-22
7157031001,7157-031-001,2697 E 56TH WAY LONG BEACH CA 90805,2697,56TH WAY,Five or more apartments,1963,2026,874604,2040384,2914988,562277,0,10,la-county-api,2026-08-22
7157031002,7157-031-002,2687 E 56TH WAY LONG BEACH CA 90805,2687,56TH WAY,Five or more apartments,1963,2026,795586,2040384,2835970,515864,0,11,la-county-api,2026-08-22
7157031003,7157-031-003,2677 E 56TH WAY LONG BEACH CA 90805,2677,56TH WAY,Five or more apartments,1963,2026,795586,2040384,2835970,1031443,0,11,la-county-api,2026-08-22
7157031004,7157-031-004,2667 E 56TH WAY LONG BEACH CA 90805,2667,56TH WAY,Five or more apartments,1963,2026,822648,2040384,2863032,520786,0,11,la-county-api,2026-08-22
7157031005,7157-031-005,2657 E 56TH WAY LONG BEACH CA 90805,2657,56TH WAY,Five or more apartments,1963,2026,1611740,4362201,5973941,2844792,0,21,la-county-api,2026-08-22
7157031006,7157-031-006,5679 LANGPORT AVE LONG BEACH CA 90805,5679,LANGPORT AVE,Five or more apartments,1963,2026,716568,1970025,2686593,1074638,0,10,la-county-api,2026-08-22
7157031007,7157-031-007,5649 LANGPORT AVE LONG BEACH CA 90805,5649,LANGPORT AVE,Five or more apartments,1963,2026,716568,1970025,2686593,0,0,10,la-county-api,2026-08-22
7157031008,7157-031-008,5639 LANGPORT AVE LONG BEACH CA 90805,5639,LANGPORT AVE,Five or more apartments,1963,2026,716568,1970025,2686593,537319,0,10,la-county-api,2026-08-22
7157031009,7157-031-009,5599 LANGPORT AVE LONG BEACH CA 90805,5599,LANGPORT AVE,Five or more apartments,1963,2026,716568,1970025,2686593,1074638,0,10,la-county-api,2026-08-22
7157031010,7157-031-010,5579 LANGPORT AVE LONG BEACH CA 90805,5579,LANGPORT AVE,Five or more apartments,1963,2026,716568,1970025,2686593,1343297,0,10,la-county-api,2026-08-22
7157031011,7157-031-011,5549 LANGPORT AVE LONG BEACH CA 90805,5549,LANGPORT AVE,Five or more apartments,1962,2026,716568,1970025,2686593,1074638,0,10,la-county-api,2026-08-22
7157031012,7157-031-012,5539 LANGPORT AVE LONG BEACH CA 90805,5539,LANGPORT AVE,Five or more apartments,1962,2026,742547,1970025,2712572,1085029,0,10,la-county-api,2026-08-22
7157031013,7157-031-013,2656 E 55TH WAY LONG BEACH CA 90805,2656,55TH WAY,Five or more apartments,1962,2026,1325978,3236471,4562449,1824981,0,20,la-county-api,2026-08-22
7157031014,7157-031-014,2666 E 55TH WAY LONG BEACH CA 90805,2666,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,556587,0,10,la-county-api,2026-08-22
7157031015,7157-031-015,2676 E 55TH WAY LONG BEACH CA 90805,2676,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,556587,0,10,la-county-api,2026-08-22
7157031016,7157-031-016,2686 E 55TH WAY LONG BEACH CA 90805,2686,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,278294,0,10,la-county-api,2026-08-22
7157031017,7157-031-017,2696 E 55TH WAY LONG BEACH CA 90805,2696,55TH WAY,Five or more apartments,1962,2026,822648,2040384,2863032,572607,0,10,la-county-api,2026-08-22
7157031018,7157-031-018,2666 E 56TH WAY LONG BEACH CA 90805,2666,56TH WAY,Five or more apartments,1963,2026,742547,2040384,2782931,1518090,0,11,la-county-api,2026-08-22
7157031019,7157-031-019,2676 E 56TH WAY LONG BEACH CA 90805,2676,56TH WAY,Five or more apartments,1963,2026,742547,2040384,2782931,759184,0,11,la-county-api,2026-08-22
7157031020,7157-031-020,2686 E 56TH WAY LONG BEACH CA 90805,2686,56TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,1265121,0,11,la-county-api,2026-08-22
7157031021,7157-031-021,2696 E 56TH ST LONG BEACH CA 90805,2696,56TH ST,Five or more apartments,1963,2026,822648,2040384,2863032,286304,0,10,la-county-api,2026-08-22
7157031022,7157-031-022,2667 E 56TH ST LONG BEACH CA 90805,2667,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,759184,0,11,la-county-api,2026-08-22
7157031023,7157-031-023,2677 E 56TH ST LONG BEACH CA 90805,2677,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,556587,0,10,la-county-api,2026-08-22
7157031024,7157-031-024,2687 E 56TH ST LONG BEACH CA 90805,2687,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,1113173,0,10,la-county-api,2026-08-22
7157031025,7157-031-025,2697 E 56TH ST LONG BEACH CA 90805,2697,56TH ST,Five or more apartments,1963,2026,822648,2040384,2863032,1717820,0,10,la-county-api,2026-08-22
7157031026,7157-031-026,2666 E 56TH ST LONG BEACH CA 90805,2666,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,834881,0,10,la-county-api,2026-08-22
7157031027,7157-031-027,2676 E 56TH ST LONG BEACH CA 90805,2676,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,1391466,0,10,la-county-api,2026-08-22
7157031028,7157-031-028,2686 E 56TH ST LONG BEACH CA 90805,2686,56TH ST,Five or more apartments,1963,2026,742547,2040384,2782931,1113173,0,10,la-county-api,2026-08-22
7157031029,7157-031-029,2696 E 56TH ST LONG BEACH CA 90805,2696,56TH ST,Five or more apartments,1963,2026,822648,2040384,2863032,572607,0,10,la-county-api,2026-08-22
7157031030,7157-031-030,2667 E 55TH WAY LONG BEACH CA 90805,2667,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,278294,0,10,la-county-api,2026-08-22
7157031031,7157-031-031,2677 E 55TH WAY LONG BEACH CA 90805,2677,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,556587,0,10,la-county-api,2026-08-22
7157031032,7157-031-032,2687 E 55TH WAY LONG BEACH CA 90805,2687,55TH WAY,Five or more apartments,1962,2026,742547,2040384,2782931,1113173,0,10,la-county-api,2026-08-22
7157031033,7157-031-033,2697 E 55TH WAY LONG BEACH CA 90805,2697,55TH WAY,Five or more apartments,1962,2026,822648,2040384,2863032,572607,0,10,la-county-api,2026-08-22
7418014021,7418-014-021,445 N AVALON BLVD LOS ANGELES CA 90744,445,AVALON BLVD,Stores,,2026,3268077,5809593,9077670,0,0,0,la-county-api,2026-08-22
7451026002,7451-026-002,685 W 4TH ST LOS ANGELES CA 90731,685,4TH ST,Five or more apartments,2024,2026,607243,2455140,3062383,0,0,28,la-county-api,2026-08-22
7451037031,7451-037-031,569 W 6TH ST SAN PEDRO CA 90731,569,6TH ST,Five or more apartments,2022,2026,1391141,0,1391141,0,0,48,la-county-api,2026-08-22
7455002027,7455-002-027,441 W 3RD ST LOS ANGELES CA 90731,441,3RD ST,Five or more apartments,1987,2026,2917200,21817800,24735000,21544186,0,93,la-county-api,2026-08-22
8386006015,8386-006-015,444 N AMELIA AVE SAN DIMAS CA 91773,444,AMELIA AVE,Five or more apartments,1977,2026,22187671,44750710,66938381,0,0,224,la-county-api,2026-08-22
8576001024,8576-001-024,4608 ARDEN WAY EL MONTE CA 91731,4608,ARDEN WAY,Five or more apartments,1963,2026,14000000,32675000,46675000,0,0,177,la-county-api,2026-08-22
8608030071,8608-030-071,601 E 8TH ST AZUSA CA 91702,601,8TH ST,Five or more apartments,1987,2026,8800000,20500000,29300000,0,0,112,la-county-api,2026-08-22
8630009026,8630-009-026,18615 E ARROW HWY AZUSA CA 91722,18615,ARROW HWY,Five or more apartments,1977,2026,13500000,7500000,21000000,0,0,82,la-county-api,2026-08-22
