agency,meeting_date,doc_type,url
CMFA,2024-02-02,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2024/01/CMFA-Staff-Reports-2-2-24.pdf
CMFA,2024-01-12,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2024/01/CMFA-Staff-Reports.pdf
CMFA,2023-12-15,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/12/4a-CMFA-Staff-Report-Modera-the-Alameda-FR.pdf
CMFA,2023-12-08,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/12/CMFA-Staff-Report-12-08-23.pdf
CMFA,2023-11-17,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/11/Staff-Reports-11-17-23.pdf
CMFA,2023-11-03,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/10/CMFA-Staff-Reports-11.3.23.pdf
CMFA,2023-10-13,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/10/CMFA-Board-Package-10.13.23.pdf
CMFA,2023-09-15,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/09/CMFA-Staff-Report-9-15-23-1.pdf
CMFA,2023-08-25,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/08/CMFA-Staff-Report-8-25-23-1.pdf
CMFA,2023-08-04,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/08/8-4-23-CMFA-Staff-Reports.pdf
CMFA,2023-07-14,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/07/CMFA-Staff-Reports-1.pdf
CMFA,2023-06-23,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/06/Board-Package-6-23-23.pdf
CMFA,2023-06-02,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/05/CMFA-Staff-Reports-6.2.23.pdf
CMFA,2023-05-19,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/05/CMFA-Board-Package-5-19-23.pdf
CMFA,2023-04-28,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/04/CMFA-Staff-Reports-4-28-23.pdf
CMFA,2023-04-07,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/04/CMFA-Staff-Reports.pdf
CMFA,2023-03-17,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/03/CMFA-Staff-Reports-03.17.23.pdf
CMFA,2023-02-24,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/02/CMFA-Staff-Reports-4.pdf
CMFA,2023-02-03,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/01/CMFA-Staff-Report-1-5.pdf
CMFA,2023-01-13,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/01/CMFA-Staff-Report-1.pdf
CMFA,2023-01-06,staff_report,https://www.cmfa-ca.com/wp-content/uploads/2023/01/4-CMFA-Staff-Report-Recycle-Program.pdf
CSCDA,2026-08-20,packet,https://cscda.org/wp-content/uploads/2026/08/CSCDA-Agenda-Packet-8.20.26.pdf
CSCDA,2026-08-06,packet,https://cscda.org/wp-content/uploads/2026/08/CSCDA-Agenda-Packet-8.6.26.pdf
CSCDA,2026-07-16,packet,https://cscda.org/wp-content/uploads/2026/07/CSCDA-Agenda-Packet-7.16.26.pdf
CSCDA,2026-07-02,packet,https://cscda.org/wp-content/uploads/2026/06/CSCDA-Agenda-Packet-7.2.26.pdf
CSCDA,2026-06-18,packet,https://cscda.org/wp-content/uploads/2026/06/CSCDA-Agenda-Packet-6.18.26.pdf
CSCDA,2026-06-04,packet,https://cscda.org/wp-content/uploads/2026/06/CSCDA-Agenda-Packet-6.4.26.pdf
CSCDA,2026-05-21,packet,https://cscda.org/wp-content/uploads/2026/05/CSCDA-Agenda-Packet-5.21.26.pdf
CSCDA,2026-05-07,packet,https://cscda.org/wp-content/uploads/2026/05/CSCDA-Agenda-Packet-5.7.26.pdf
CSCDA,2026-04-16,packet,https://cscda.org/wp-content/uploads/2026/04/CSCDA-Agenda-Packet-4.16.26.pdf
CSCDA,2026-04-02,packet,https://cscda.org/wp-content/uploads/2026/03/CSCDA-Agenda-Packet-4.2.26.pdf
CSCDA,2026-03-19,packet,https://cscda.org/wp-content/uploads/2026/03/CSCDA-Agenda-Packet-3.19.26.pdf
CSCDA,2026-03-05,packet,https://cscda.org/wp-content/uploads/2026/03/CSCDA-Agenda-Packet-3.5.26.pdf
CSCDA,2026-02-19,packet,https://cscda.org/wp-content/uploads/2026/02/CSCDA-Agenda-Packet-2.19.26.pdf
CSCDA,2026-02-05,packet,https://cscda.org/wp-content/uploads/2026/02/CSCDA-Agenda-Packet-2.5.26.pdf
CSCDA,2026-01-22,packet,https://cscda.org/wp-content/uploads/2026/01/CSCDA-Agenda-Packet-1.22.26.pdf
CSCDA,2026-01-08,packet,https://cscda.org/wp-content/uploads/2025/12/CSCDA-Agenda-Packet-12.18.25.pdf
CSCDA,2025-12-18,packet,https://cscda.org/wp-content/uploads/2025/12/CSCDA-Agenda-Packet-12.18.25.pdf
CSCDA,2025-12-04,packet,https://cscda.org/wp-content/uploads/2025/12/CSCDA-Agenda-Packet-12.4.25-v2.pdf
CSCDA,2025-11-20,packet,https://cscda.org/wp-content/uploads/2025/11/CSCDA-Agenda-Packet-11.20.25.pdf
CSCDA,2025-11-13,packet,https://cscda.org/wp-content/uploads/2025/11/CSCDA-Agenda-Packet-11.13.25.pdf
CSCDA,2025-11-06,packet,https://cscda.org/wp-content/uploads/2025/11/CSCDA-Agenda-Packet-11.6.25.pdf
CSCDA,2025-10-30,packet,https://cscda.org/wp-content/uploads/2025/10/CSCDA-Agenda-Packet-10.30.25.pdf
CSCDA,2025-10-16,packet,https://cscda.org/wp-content/uploads/2025/10/CSCDA-Agenda-Packet-10.16.25.pdf
CSCDA,2025-10-02,packet,https://cscda.org/wp-content/uploads/2025/09/CSCDA-Agenda-Packet-10.2.25.pdf
CSCDA,2025-09-18,packet,https://cscda.org/wp-content/uploads/2025/09/CSCDA-Agenda-Packet-9.18.25.pdf
CSCDA,2025-09-04,packet,https://cscda.org/wp-content/uploads/2025/09/CSCDA-EIS-Committee-Agenda-Packet-9.4.25.pdf
CSCDA,2025-08-21,packet,https://cscda.org/wp-content/uploads/2025/08/CSCDA-Agenda-Packet-8.21.25.pdf
CSCDA,2025-08-07,packet,https://cscda.org/wp-content/uploads/2025/08/CSCDA-Agenda-Packet-8.7.25.pdf
CSCDA,2025-07-24,packet,https://cscda.org/wp-content/uploads/2025/07/CSCDA-Agenda-Packet-7.24.25.pdf
CSCDA,2025-07-17,packet,https://cscda.org/wp-content/uploads/2025/07/CSCDA-Agenda-Packet-7.17.25.pdf
CSCDA,2025-07-03,packet,https://cscda.org/wp-content/uploads/2025/06/CSCDA-Agenda-Packet-6.26.25.pdf
CSCDA,2025-06-26,packet,https://cscda.org/wp-content/uploads/2025/06/CSCDA-Agenda-Packet-6.26.25.pdf
CSCDA,2025-06-06,agenda,https://cscda.org/wp-content/uploads/2025/06/CSCDA-Special-Meeting-Agenda-6.6.25.pdf
CSCDA,2025-06-05,packet,https://cscda.org/wp-content/uploads/2025/06/CSCDA-Agenda-Packet-6.5.25.pdf
CSCDA,2025-05-15,packet,https://cscda.org/wp-content/uploads/2025/05/CSCDA-Agenda-Packet-5.15.25.pdf
CSCDA,2025-05-01,packet,https://cscda.org/wp-content/uploads/2025/04/CSCDA-Agenda-Packet-5.1.25.pdf
CSCDA,2025-04-17,packet,https://cscda.org/wp-content/uploads/2025/04/CSCDA-Agenda-Packet-4.17.25.pdf
CSCDA,2025-04-03,packet,https://cscda.org/wp-content/uploads/2025/04/CSCDA-Staff-Reports-4.3.25.pdf
CSCDA,2025-03-20,packet,https://cscda.org/wp-content/uploads/2025/03/CSCDA-Agenda-Packet-3.20.25.pdf
CSCDA,2025-03-06,packet,https://cscda.org/wp-content/uploads/2025/03/CSCDA-Agenda-Packet-3.6.25.pdf
CSCDA,2025-02-20,packet,https://cscda.org/wp-content/uploads/2025/02/CSCDA-Agenda-Packet-2.20.25.pdf
CSCDA,2025-02-06,packet,https://cscda.org/wp-content/uploads/2025/02/CSCDA-Agenda-2.6.25-Agenda-Packet.pdf
CSCDA,2025-01-23,packet,https://cscda.org/wp-content/uploads/2025/01/CSCDA.CSCDC-Agenda-Packet-1.23.25-3.pdf
CSCDA,2025-01-09,packet,https://cscda.org/wp-content/uploads/2025/01/CSCDA-Agenda-Packet-1.9.25.pdf
