ain,parcel_id,situs_address,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,value_source,fetch_date
128103130,0128103130,318 MOON RIVER PLACE VACAVILLE,,,2026,8032.0,0,8032.0,1366.0,solano-county-portal,2026-08-22
128103140,0128103140,324 MOON RIVER PLACE VACAVILLE,,,2026,48832.0,582420.0,631252.0,341301.0,solano-county-portal,2026-08-22
128103150,0128103150,330 MOON RIVER PLACE VACAVILLE,,,2026,68555.0,572220.0,640775.0,112900.0,solano-county-portal,2026-08-22
128103160,0128103160,336 MOON RIVER PLACE VACAVILLE,,,2026,68555.0,617100.0,685655.0,123479.0,solano-county-portal,2026-08-22
128103170,0128103170,342 MOON RIVER PLACE VACAVILLE,,,2026,68555.0,582420.0,650975.0,351865.0,solano-county-portal,2026-08-22
128103180,0128103180,348 MOON RIVER PLACE VACAVILLE,,,2026,89491.0,572220.0,661711.0,116518.0,solano-county-portal,2026-08-22
128104010,0128104010,343 MOON RIVER PLACE VACAVILLE,,,2026,61611.0,0,61611.0,24570.0,solano-county-portal,2026-08-22
128104020,0128104020,337 MOON RIVER PLACE VACAVILLE,,,2026,98534.0,572220.0,670754.0,362111.0,solano-county-portal,2026-08-22
128105010,0128105010,325 MOON RIVER PLACE VACAVILLE,,,2026,54554.0,408000.0,462554.0,132793.0,solano-county-portal,2026-08-22
128105020,0128105020,319 MOON RIVER PLACE VACAVILLE,,,2026,54364.0,397800.0,452164.0,161808.0,solano-county-portal,2026-08-22
128105030,0128105030,313 MOON RIVER PLACE VACAVILLE,,,2026,13574.0,0,13574.0,3743.0,solano-county-portal,2026-08-22
128105040,0128105040,307 MOON RIVER PLACE VACAVILLE,,,2026,54384.0,397800.0,452184.0,452184.0,solano-county-portal,2026-08-22
128105050,0128105050,301 MOON RIVER PLACE VACAVILLE,,,2026,54282.0,408000.0,462282.0,132718.0,solano-county-portal,2026-08-22
168150010,0168150010,2780 NORTH TEXAS STREET FAIRFIELD,,,2026,5338692.0,23942991.0,29281683.0,0.0,solano-county-portal,2026-08-22
