project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes
34,Contra Costa,Appian Terrace Apartments,4251100188,,4481.0 APPIAN WAY EL SOBRANTE CA 94803-2200,False,collaborator-sheet,,
35,Sacramento,Sierra Park Apartments,22802520400000,228-0252-040-0000,4924 POLK ST NORTH HIGHLANDS CA 95660,False,collaborator-sheet,,
36,Los Angeles,Stadium Village Apartments,4025014001,4025-014-001,9301 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014002,4025-014-002,9309 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014003,4025-014-003,9317 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014004,4025-014-004,9325 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014005,4025-014-005,9333 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014006,4025-014-006,9341 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014007,4025-014-007,9401 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014008,4025-014-008,9409 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014009,4025-014-009,9417 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014010,4025-014-010,9425 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014011,4025-014-011,9433 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014012,4025-014-012,9441 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
36,Los Angeles,Stadium Village Apartments,4025014013,4025-014-013,9501 CRENSHAW BLVD INGLEWOOD CA 90305,False,collaborator-sheet,manual_verified_multi,Multi-parcel (20)
