Agency,Applicant / Entity,Property Name,City,County,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,Total Unit Count,Rent Restricted Unit Count,Built,Address,City's Cut,Leasing Link,HAVE RECIEVED WELFARE TAX EXEMPTION
CMFA,"Fountain Park, L.P.",Fountain Park Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",25-349,8/8/2025,Sack Capital Partners,Belveron Partners,Las Palmas Housing & Development Corp.,https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,,,8/29/2025,164,164,,"1026 S De Anza Blvd, San Jose, CA 95129","$24,600",,
CMFA,"Standard Vistria Park Kiely Owner, LP",Park Kiely Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",25-348,8/8/2025,Standard Property Company,Vistria,Housing on Merit,,,410,8/27/2025,948,948,1972,"355 Kiely Blvd, San Jose, CA 95129","$93,600",,
CMFA,"Azusa Gardens Owner, LP",Azusa Gardens Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-347,8/8/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,NO,,,112,112,,"601 E 8th St, Azusa, CA 91702","$16,800",,
CMFA,"Flag VII Camden Village, L.P.",Camden Village Apartments,Fremont,Alameda,"Grant up to $10,000 (Charitable Affordable Housing)",25-423,8/29/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,192,192,,"38000 Camden St, Fremont, CA 94536","$28,800",https://www.camdenvillageapts.com/,
CMFA,"Passo Barrington, LP",Passo Barrington Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-424,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53,53,,"1734 S. Barrington Ave., Los Angeles, CA, 90025","$7,800",,
CMFA,"Passo Centinela, LP",Passo Centinela I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-425,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,72,71,,"4129 Centinela Avenue, Los Angeles, CA 90066","$10,650",,
CMFA,"Passo Centinela 2, LP",Passo Centinela II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-426,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,73,72,,"4706 Centinela Avenue, Los Angeles, CA 90066","$10,800",,
CMFA,"Passo Stoner, LP",Passo Stoner Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-427,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53,52,,"1747 Stoner Avenue, Los Angeles, CA 90025","$7,800",,
CMFA,2025 E 4th Street LLLP,4th Street Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-448,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,25,25,,"2025 E. 4th Street, Los Angeles, CA","$3,750",,
CMFA,247 S Alexandria LLLP,Alexandria I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-449,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,27,27,,"247 S. Alexandria Avenue, Los Angeles, CA","$4,050",,
CMFA,808 S Hobart LLLP,Ashby Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-450,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,49,49,,"808 S. Hobart Boulevard, Los Angeles, CA","$7,350",,
CMFA,454 Catalina LLLP,Catalina Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-451,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"454 S. Catalina Street, Los Angeles, CA","$7,200",,
CMFA,103 S Edgemont LLLP,Edgemont Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-452,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,43,43,,"103 S. Edgemont Street, Los Angeles, CA 90004","$6,450",,
CMFA,Carson Gramercy LLLP // 974 S Gramercy LLLP,Gramercy Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-453,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,38,38,,"974 S. Gramercy Place, Los Angeles, CA","$5,700",,
CMFA,Irolo 16 LLLP,Irolo Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-454,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"832 Irolo Street, Los Angeles, CA","$4,800",,
CMFA,Kenmore 20 LLLP,Kenmore I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-455,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,42,42,,"941 S. Kenmore Avenue, Los Angeles, CA","$3,600",,
CMFA,426 Manhattan LLLP,Manhattan III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-456,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"426 S. Manhattan Place, Los Angeles, CA","$6,000",,
CMFA,260 S Mariposa LLLP,Mariposa II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-457,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"260 S. Mariposa Avenue, Los Angeles, CA","$6,000",,
CMFA,739 Normandie LLLP,Normandie Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-458,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"739 S. Normandie Avenue, Los Angeles, CA","$4,800",,
CMFA,1111 Norton LLLP,Norton Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-459,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,20,20,,"1111 S. Norton Avenue, Los Angeles, CA 90019","$3,000",,
CMFA,Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-460,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,60,60,,"975-985 S. Oxford Avenue, Los Angeles, CA","$9,000",,
CMFA,960 S Oxford LLLP,Oxford III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-461,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,73,73,,"960 S. Oxford Avenue, Los Angeles, CA","$10,950",,
CMFA,3715 W 1st Street LLLP,Seven Lions Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-462,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,55,55,,"3715 W. 1st Street, Los Angeles, CA","$8,250",,
CMFA,515 S St. Andrews LLLP,St. Andrews I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-463,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"515 S. St. Andrews Place, Los Angeles, CA 90020","$6,000",,
CMFA,516 St. Andrews LLLP,St. Andrews II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-464,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,59,59,,"516 S. St. Andrews Place, Los Angeles, CA 90020","$8,850",,
CMFA,"GB Falls, LP",The Falls at Arden Apartments,Sacramento,Sacramento,"Grant up to $10,000",25-484,10/10/2025,Jackson Square Properties,,Housing on Merit,,NO,,,272,272,,"2345 Northrop Ave, Sacramento, CA 95825","$40,800",,
CMFA,130 Alexandria LLLP,Alexandria II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-487,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,30,30,,"130 S. Alexandria Avenue, Los Angeles, CA","$4,500",,
CMFA,861 Fedora LLLP,Fedora Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-488,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,39,39,,"861 Fedora Street, Los Angeles, CA","$5,850",,
CMFA,Kenmore II 20 LLLP,Kenmore II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-489,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"200 S. Kenmore Avenue, Los Angeles, CA","$7,200",,
CMFA,915 S Kenmore LLLP,Kenmore III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-490,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,18,18,,"915 S. Kenmore Avenue, Los Angeles, CA","$2,700",,
CMFA,530 Kingsley LLLP,Kingsley Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-491,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,45,45,,"530 Kingsley Drive, Los Angeles, CA","$6,750",,
CMFA,Mariposa 20 LLLP,Mariposa I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-492,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"727 S. Mariposa Avenue, Los Angeles, CA","$6,000",,
CMFA,750 Mariposa LLLP,Mariposa III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-493,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,23,23,,"750-752 S. Mariposa Avenue, Los Angeles, CA","$3,450",,
CMFA,520 Mariposa LLLP,Mariposa IV Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-494,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"520 S. Mariposa Avenue, Los Angeles, CA","$7,200",,
CMFA,Oxford 20 LLLP,Oxford II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-495,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"207 S. Oxford Avenue, Los Angeles, CA","$4,800",,
CMFA,Western 19 LLLP,Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-496,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,76,76,,"1057 S. Western Avenue, Los Angeles, CA","$11,400",,
CMFA,"Citrine Preservation, LP",Citrine Apartments,Healdsburg,Sonoma,"Grant up to $10,000",25-485,10/10/2025,The Transcend Group,,Retail Store Employees Building Corporation,,NO,,,37,37,,"1260 Grove St, Healdsburg, CA 95448","$5,550",,
CMFA,"PS 7518 Hoover St, LP",7524 S. Hoover St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-513,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,,,,79,78,,"7524 S. Hoover St, Los Angeles, CA","$11,850",,
CMFA,"PS 4228 Western Ave, LP, a Delaware limited partnership",4228 Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-511,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,14,,"4228 Western Avenue, Los Angeles, CA","$2,500",,
CMFA,"PS 10705 Avalon Blvd, LP",10705 Avalon Blvd Apartments,Los Angeles,Los Angeles,,25-512,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,68,,"10705 Avalon Blvd, Los Angeles, CA","$10,200",,
CMFA,236 Berendo Holdings OZ LP,236 Berendo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-510,10/24/2025,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",,YES,,,52,52,,"236 N. Berendo Street., Los Angeles, CA","$7,800",,
CSCDA,"Ethos GP I Venture, LP",Ascent Apartments,San Jose,Santa Clara,Governmental Grant,CSCDA,11/20/2025,Ethos Real Estate,,,,,,,650,260,,"5805 Charlotte Drive, San Jose, CA 95123",,,
CMFA,"18337 Kittridge, LP",Kittridge Affordable Housing Apartments,Los Angeles,Los Angeles,,25-552,11/21/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,41,41,,"18337 Kittridge St, Reseda, CA 91335","$6,150",,
CMFA,"Flag VII Montecito, L.P.",Montecito Apartments,San Jose,Santa Clara,,25-557,11/21/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,114,114,,"3765 Tamarack Ln, Santa Clara, CA 95051","$17,100",,
CMFA,"Thornbridge Holdings, L.P.",Thornbridge Apartments,San Jose,Santa Clara,,25-556,11/21/2025,Community HousingWorks,,Community HousingWorks,,NO,,,286,286,,"5210 Monterey Rd, San Jose, CA 95111","$42,900",,
CMFA,"Ethos GP I Venture, LP",The Crossings Apartments,Sunnyvale,Santa Clara,,25-555,11/21/2025,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",,NO,,,148,148,,"1180 Lochinvar Ave, Sunnyvale, CA 94087","$22,200",,
CMFA,"Post Renaissance Apartments, LP",Renaissance Apartment Homes,Fresno,Fresno,,25-551,11/21/2025,Post Investment Group,,Foundation for Affordable Housing,,NO,,,278,278,1984,"5669 N Fresno St, Fresno, CA 93710","$41,700",,
CMFA,9033 Ramsgate LP,9033 Ramsgate Apartments,Los Angeles,Los Angeles,,25-553,11/21/2025,Six Peak Capital,,Housing on Merit,,,,,116,116,,"9033 Ramsgate Avenue, Westchester, CA","$17,400",,
CMFA,"Coliseum Transit Village One, LP",Coliseum Transit Village,Oakland,Alameda,,25-554,11/21/2025,UrbanCore Development,,"Pacific Housing, Inc.",,NO,,,110,55,,"805 71st Avenue, Oakland, CA","$8,250",,
CMFA,LP,La Vista Apartment Homes,Santa Maria,Santa Barbara,,,12/12/2025,Farallon Capital Management L.L.C.,,Las Palmas Housing & Development Corporation,,NO,,,460,184,,"740 S. Western Avenue, Santa Maria, CA 93458","$27,600",,
CMFA,Golden Gardens Housing Partners LP,Golden Gardens Apartments,Fresno,Fresno,,,12/12/2025,"Islas Development, LLC",,"Pacific Housing, Inc.",,NO,,,110,110,,"2130 N Marks Ave, Fresno, CA 93722","$16,500",,
CMFA,"7655 San Pedro, LP",San Pedro Apartments,Los Angeles,Los Angeles,,25-562,12/12/2025,"Eleos Ventures, LLC",,Step Forward Communities,,YES,,,40,40,,"7655 S San Pedro St, Los Angeles, CA 90003","$6,000",,
CMFA,"Coliseum Transit Village One, LP",Coliseum Connections,Oakland,Alameda,,25-563,12/12/2025,UrbanCore Development,,"Pacific Housing, Inc.",,NO,,,110,55,,"805 71st Avenue, Oakland, CA","$8,250",,
CMFA,Concord Park Wilshire LP,Park Wilshire Apartments,Los Angeles,Los Angeles,,25-564,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,170,170,1929,"2424 Wilshire Blvd, Los Angeles, CA 90057","$25,500",,
CMFA,Concord Sir Francis Drake LP,Sir Francis Drake Villa Apartments,Los Angeles,Los Angeles,,25-565,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,61,,,"841 S Serrano Ave, Los Angeles, CA 90005","$9,150",,
CMFA,Concord Langham LP,Langham Apartments,Los Angeles,Los Angeles,,25-566,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,181,181,,"715 Normandie Ave, Los Angeles, CA 90005","$27,150",,
CMFA,Concord Piccadilly LP,Piccadilly Apartments,Los Angeles,Los Angeles,,25-567,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,74,74,,"682 Irolo Street, Los Angeles, CA","$11,100",,
CMFA,Ackerfield 2 LP,The Hive at Ackerfield Apartments,Long Beach,Los Angeles,,25-568,12/12/2025,Golden Bee Properties,,"Kingdom Development, Inc. ",,NO,,,152,152,,"5565 Ackerfield Avenue / 5700 Ackerfield Avenue, Long Beach, CA","$22,800",,
CMFA,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited
Partnership, HG FSA Capital Limited Partnership",Hawaiian Terrace Senior Apartments,Hawaiian Gardens,Los Angeles,,25-569,12/12/2025,MKCR Capital LLC,,Foundation for Affordable Housing,,NO,,,101,101,1990,"12100 226th St, Hawaiian Gardens, CA 90716","$15,150",,
CMFA,"Crystal Springs Terrace Apartments, LP",Crystal Springs Terrace,San Bruno,San Mateo,,25-570,12/12/2025,Prometheus Real Estate Group,,Integrity Housing,,NO/YES,,,482,216,,"2000 Crystal Springs Rd, San Bruno, CA 94066","$32,400",,
CMFA,LP,Trailview Apartments,Concord,Contra Costa,,25-571,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",,NO,,,120,120,1974,"1070 San Miguel Road, Concord, CA","$18,000",,
CMFA,LP,Casa Serena Apartments,Fremont,Alameda,,25-572,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",,NO,,,170,170,1969,"36000 Fremont Boulevard, Fremont, CA","$25,500",,
CSCDA,"Hendrix EREP, LP & Hadley EREP, LP",Hendrix and Hadley Apartments,Escondido,San Diego,,CSCDA,12/18/2025,Eagle Partners,,,,,,,551,440,,"439 West El Norte Parkway / 1045 Morning View Drive, Escondido, CA",,,
