Agency,Applicant / Entity,Property Name,City,County,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,Total Unit Count,Rent Restricted Unit Count,Built,Address,City's Cut,Leasing Link,HAVE RECIEVED WELFARE TAX EXEMPTION
CMFA,"RMG Fee Avalon, LP",Harbour Residences Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-252,7/19/2024,RMG Housing,,DECRO Corporation,,YES,,,74,74,,"445 N. Avalon Boulevard, Los Angeles, CA","$11,100",,
CMFA,"BIF NON OZ 4209 WESTERN AVE, LP",4209 Western Avenue Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-253,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,25,24,,"4209 S Western Ave, Los Angeles, CA 90062","$3,600",,
CMFA,"BIF NON OZ 1100 MLK BLK, LP",1130 Martin Luther King Jr. Blvd Apartments,Los Angeles,Los Angeles,,24-254,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,29,28,,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037","$4,200",,
CMFA,"Post Harbor Terrace, LP",Harbor Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-286,8/9/2024,Ascenda Capital,,Integrity Housing,,,,,93,93,1987,"441 W 3rd St, San Pedro, CA 90731","$13,950",,YES
CMFA,"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-280,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",https://www.1422on6th.com/,NO,"$17,170,000",09/12/2024,52,32,1997,"1422-1428 6th St., Santa Monica, CA","$4,800",,YES
CMFA,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-281,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,72,49,,"1422-1432 7th, Santa Monica, CA","$7,350",,YES
CMFA,"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-282,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,48,29,,"1423-1425 6th, Santa Monica, CA","$4,350",,YES
CMFA,"GC 1522 6th, LP",Santa Monica Portfolio D Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-283,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,26,25,2004,"1522 6th St, Santa Monica, CA","$3,750",,YES
CMFA,"GC 1537 7th, LP",Santa Monica Portfolio E Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-284,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,"$5,390,000",9/12/2024,26,25,,"1537 7th, Santa Monica, CA","$3,750",,YES
CMFA,"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-285,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,165,98,2008,"2001-2029 Olympic Blvd, Santa Monica","$14,700",,YES
CMFA,"BIF NON OZ 7524 S HOOVER ST, LP",7524 S. Hoover St. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-279,8/9/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,79,48,,"7518 S. Hoover, Los Angeles, CA","$11,850",,
CMFA,APPIAN LP,Appian Terrace Apartments,El Sobrante,Contra Costa,"Grant up to $10,000",24-277,8/9/2024,Tesseract Capital Group,,Housing on Merit,,,,,41,41,,"4481 Appian Way, El Sobrante, CA 94803","$6,150",,
CMFA,"Sierra Park LP, a California Limited Partnership",Sierra Park Apartments,Unincorporated,Sacramento,"Grant up to $10,000",24-278,8/9/2024,Tesseract Capital Group,,Housing on Merit,,,,,104,104,,"4930 Polk St, North Highlands, CA 95660","$15,600",,
CMFA,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles,"Grant up to $10,000",24-361,8/30/2024,Community HousingWorks,,Community HousingWorks,,,,,80,80,,"9301 – 9609 Crenshaw
Blvd, Inglewood, CA","$12,000",,
CMFA,2330 3rd Street Apartments L.P.,2330 E. 3rd Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-363,8/30/2024,Terra Capital Development Group LLC,,Pacific Housing,,YES,,,53,53,,"2330 E. 3rd Street, Los Angeles, CA","$7,950",,
CMFA,"Post Marquee North Hollywood, LP",Marquee Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-383,9/20/2024,Ascenda Capital,,Integrity Housing,,NO,,,236,236,1965,"12300 Sherman Way, North Hollywood, CA 91605","$35,400",,
CMFA,"BIF NON OZ 6200 BROADWAY BLK, LP",6200 S. Broadway Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-379,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,66,51,,"6200 S Broadway, Los Angeles, CA","$7,950",,
CMFA,"BIF NON OZ 4228 WESTERN AVE, LP",4228 Western Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-380,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,68,14,,"4228 Western Avenue, Los Angeles, CA","$2,500",,
CMFA,"IF OZ 4300 S VERMONT AVE BLK LP, a Delaware limited partnership",4327 S. Vermont Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-381,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,188,111,,"4327 S Vermont, Los Angeles, CA","$16,650",,
CMFA,"BIF NON OZ 2000 Imperial Hwy Blk, LP",2023 Imperial Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-382,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,90,71,,"110 Imperial Highway, Los Angeles, CA","$10,650",,
CMFA,"400 Meridian, LP, a California limited partnership",Meridian Apartments,San Rafael,Marin,"Grant up to $10,000",24-384,9/20/2024,Tesseract Capital Group,,Housing on Merit,,NO,,,99,99,,"400 Canal St, San Rafael, CA 94901","$14,850",,
CMFA,"EV 228 Soto, LP, a California limited partnership",Soto Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-413,10/11/2024,"Eleos Ventures, LLC",,Step Forward Comminities,,YES,,,41,40,,"228 N Soto Street, Los Angeles, CA","$6,000",,
CMFA,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Horizon Apartments,Santa Ana,Orange,"Grant up to $10,000",24-410,10/11/2024,Ethos Real Estate,Bridge Investment Group,Affordable Housing Access Inc,,NO,,,406,406,,"2414 N Tustin Ave, Santa Ana, CA 92705","$60,900",,
CMFA,"4752 Main, LP",4752 Main Street Apartments,Los Angeles,Los Angeles,,24-399,10/11/2024,"Eleos Ventures, LLC",,Step Forward Communities,,YES,,,53,53,,"4752 Main St, Los Angeles, CA 90037",,,
CMFA,"6171 Mission Gorge Owner LP, a California limited partnership",6171 Mission Gorge Apartments,San Diego,San Diego,"Grant up to $10,000",24-412,10/11/2024,Impact Housing,,Las Palmas Housing & Development Corporation,,YES,,,488,483,,"6171 Mission Gorge Rd, San Diego, CA 92120","$72,450",,
CMFA,Hillsdale Property LP,Hillsdale Gardens Apartments,San Mateo,San Mateo,"Grant up to $10,000",24-411,10/11/2024,Vistria Group,Ethos Real Estate,"Pacific Housing, Inc.",,NO,,,697,697,,"3500 Edison St, San Mateo, CA 94403","$74,775",,
CMFA,Standard Properties,Summerwood Apartments Homes Apartments,Hayward,Alameda,,24-400,10/11/2024,Standard Properties,,Housing on Merit,,NO,,,162,162,,"21701 Foothill Blvd, Hayward, CA 94541","$9,900",,
CMFA,699 14TH Street CSLC LP,Market Street Village Apartments,San Diego,San Diego,"Grant up to $10,000",24-427,11/1/2024,Community Solutions,,Community Solutions,,NO,,,229,229,,"699 14th Street, San Diego, CA","$34,350",,
CMFA,"Post Creekside, LP",Creekside Villas Apartments,San Diego,San Diego,"Grant up to $10,000",24-429,11/1/2024,Post Investment Group,,Integrity Housing,,NO,,,145,144,1984,"220 47th St, San Diego, CA 92102","$21,600",,
CMFA,1201 Fulton Ave LP,The Carla Apartments,Unincorporated,Sacramento,"Grant up to $10,000",24-428,11/1/2024,"Trion Properties, Inc.",,Riverside Charitable Corporation,,NO,,,63,62,,"1201 Fulton Ave, Sacramento, CA 95825","$9,300",,
CMFA,"Trion Skylark Properties, LP",Skylark Place by Trion Living Apartments,Unincorporated,Sacramento,"Grant up to $10,000",24-430,11/1/2024,"Trion Properties, Inc.",,Integrity Housing,,NO,,,198,198,1973/1991,"6930 Fair Oaks Blvd, Carmichael, CA 95608","$29,700",,
CMFA,"Avanath Seaport, LP",Seaport Village Apartments,Long Beach,Los Angeles,"Grant up to $10,000",24-442,11/22/2024,Avanath Capital,,"Pacific Housing, Inc.",,NO,,,356,144,,"5601 North Paramount Boulevard, Long Beach, Los Angeles","$21,600",,YES
CMFA,1457 Main Owner LP,1457 Main Street Apartments,Los Angeles,Los Angeles,,24-443,11/22/2024,Thrive Living,,"Kingdom Development, Inc.",,YES,,,377,151,,"1457 N Main St, Los Angeles, CA 90012","$22,650",,
