Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,DEAD?,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date,Regulatory Term,Closing Fee,CMFA Annual Fee,YEARS IN SERVICE,ANNUAL FEES PAID,SCC FILED?
11,820 MacArthur Apartments,2019 Ozone Affordable Housing,Oakland,Alameda,CMFA,"Grant up to $10,000",24-052,2024-02-23,,"Riaz, Inc.",,AOF Pacific,False,166,166,,"820 W MacArthur Blvd, Oakland, CA 94608",24900,True,True,2013882,7089890,1812493.8,7089890,0.012779,90601.70431,90601.70431,,,YES,,,,,99600,24900,0,0,True
12,The Waterloo Apartments,"801 Waterloo Partners, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-053,2024-02-23,,The Greg Scott Company,,"Kingdom Development, Inc.",False,154,154,1,"801-809 Waterloo Street, Los Angeles, CA",23250,True,False,1360000,0,1224000,1224000,0.0118738,0,14533.5312,,,,,,,,92400,23100,2,46200,True
14,Electric Lofts Apartments,"Electric Lofts, LP",Oakland,Alameda,CMFA,"Grant up to $10,000",24-074,2024-03-15,,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,False,89,40,,"2415 Valdez St, Oakland, CA 94612",13350,True,False,24257157,0,9811883.73,9811883.73,0.012779,0,125386.0622,,https://www.electriclofts.com/,,,,,,53400,13350,2,26700,True
13,275 Turk Street Apartments,RHI-Mosser 275 Turk LP,San Francisco,San Francisco,CMFA,"Grant up to $10,000",24-076,2024-03-15,True,"Mosser Capital, LLC",Stars Real Estate Investment,"Kingdom Development, Inc.",False,66,27,,"275 Turk St, San Francisco, CA",9900,True,False,17116303,0,6301911.559,6301911.559,0.012,0,75622.93871,,,,,,,,39600,9900,2,19800,
15,Premiere Hollywood Apartments,"OODB2, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-178,2024-04-26,True,Housing Diversity Corporation,,PEP Housing,False,69,69,1,"6762 Hawthorn Ave, Los Angeles, CA 90028",10350,True,False,8706757,0,7836081.3,7836081.3,0.0118738,0,93044.06214,,,,2023,,,,41400,10350,2,20700,
17,4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-199,2024-05-17,,Thrive Living,Magnum Real Estate Group,"Kingdom Development, Inc.",False,111,111,1,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,16650,True,True,26914860,26914860,24223374,26914860,0.0118738,319581.6647,319581.6647,,,NO,2020,,,,66600,16650,2,33300,True
16,Montessa Apartments,"Affordable Housing Alliance II, Inc. dba Integrity Housing",Vacaville,Solano,CMFA,"Grant up to $10,000",24-200,2024-05-17,,Ascenda Capital,,Integrity Housing,False,169,58,,"343 Moon River Pl, Vacaville, CA 95687",8700,True,False,1333447,0,411869.4284,411869.4284,0.0117033,0,4820.231481,,,YES,,,,,101400,25350,0,0,
18,Fallbrook Trail Apartments,1735 South Mission LP,San Diego,San Diego,CMFA,"Grant up to $10,000",24-219,2024-06-07,,AOF,Pacific Affordable Housing Corp,Pacific Affordable Housing Corp,False,103,102,,"1735 S Mission Rd, Fallbrook, CA 92028",15300,True,False,32460480,0,28930796.74,28930796.74,0.010783,0,311960.7812,,,,2021,,,,61800,15450,2,30900,True
20,Pinetree Terrace Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-220,2024-06-07,,GHC Housing Partners,,Foundation for Affordable Housing,False,58,58,1,"7940 Reseda Boulevard, Reseda, CA",8700,True,True,17952000,15786989,16156800,15786989,0.0118738,187451.55,187451.55,,,,,17600000,2024-06-28,,34800,8700,2,17400,True
21,Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-221,2024-06-07,,GHC Housing Partners,,Foundation for Affordable Housing,False,52,52,1,"18325 Saticoy St, Reseda, CA 91335",7800,True,True,16626000,16306781,14963400,16306781,0.0118738,193623.4562,193623.4562,,,,,16300000,2024-06-13,,31200,7800,2,15600,True
19,The Arbors Apartments,Post Arbors Santa Ana LP,Santa Ana,Orange,CMFA,"Grant up to $10,000",24-222,2024-06-07,,Ascenda Capital,Post Investment Group,Integrity Housing,False,160,160,,"1100-1200 E. Fairhaven Avenue, Santa Ana, CA",24000,True,False,40750000,0,36675000,36675000,0.011195,0,410576.625,,,,1969,,,,96000,24000,2,48000,True
22,Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,CMFA,"Grant up to $10,000",24-223,2024-06-07,,GHC Housing Partners,,Foundation for Affordable Housing,False,225,225,1,"2701 Randolph St., Huntington Park, CA",33750,True,True,34425000,31825913,30982500,31825913,0.01385148,440835.9974,440835.9974,,,,1989,,,,135000,33750,2,67500,True
23,Harbour Residences Apartments,"RMG Fee Avalon, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-252,2024-07-19,True,RMG Housing,,DECRO Corporation,False,74,74,1,"445 N. Avalon Boulevard, Los Angeles, CA",11100,True,False,8899678,0,8009710.2,8009710.2,0.0118738,0,95105.69697,,,YES,,,,,44400,11100,0,0,
24,4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-253,2024-07-19,,"SoLa Impact, LLC",,Housing on Merit,False,25,24,0.96,"4209 S Western Ave, Los Angeles, CA 90062",3600,True,True,10924200,10903361,9438508.8,10903361,0.0118738,129464.3278,129464.3278,,,,,,,,15000,4000,1,4000,True
25,1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP",Los Angeles,Los Angeles,CMFA,,24-254,2024-07-19,,"SoLa Impact, LLC",,Housing on Merit,False,29,28,0.9655172414,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",4200,True,True,12796920,12776081,11120082.21,12776081,0.0118738,151700.6306,151700.6306,,,,,,,,17400,4350,1,4350,True
34,Appian Terrace Apartments,APPIAN LP,El Sobrante,Contra Costa,CMFA,"Grant up to $10,000",24-277,2024-08-09,,Tesseract Capital Group,,Housing on Merit,False,41,41,,"4481 Appian Way, El Sobrante, CA 94803",6150,True,False,9977564,0,8979807.6,8979807.6,0.012792,0,114869.6988,,,,,,,,24600,6150,1,6150,True
