cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County,query_Grant Description,query_Resolution,query_Date,query_Investor 1,query_Investor 2,query_Nonprofit Partner,query_Link,query_New build?,query_Acquisition Price (M),query_Acquisition Date,query_TOTAL UNITS,query_Rent Restricted,PERCENT AFFORDABLE,ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,query_Built,query_HAVE RECIEVED WELFARE TAX EXEMPTION,query_Leasing Link,query_APN No. 1,query_APN No. 2,query_Unnamed: 22,query_Property Taxes Link,query_23 Ass. Value,query_25 Ass. Value,query_Unnamed: 26,query_City's Cut,query_ED 1?,query_Last Tax Amt,query_Last Tax Yr,query_Current Amt,query_Current Yr,query_address_number
5473131800,220 47TH ST SAN DIEGO CA 92102,220 47TH ST SAN DIEGO CA 92102-5037,1200,Multi-Family Residential,RM-2-5,Residential Multiple Unit,96,ASSESSED,"$5,832,864.00",,CREEKSIDE HOLDINGS LTD,595 RIVERWOOD DR #400,220,47TH,san-diego,5.01,4.98621,"Post Creekside, LP",Creekside Villas Apartments,San Diego,San Diego,"Grant up to $10,000",24-429,11/1/2024,Post Investment Group,,Integrity Housing,,NO,,,145,144,0.9931034483,"$5,792,637.35",1984,,,,,,,,,,"$21,600",,,,,,220
5180001013,228 N SOTO STREET LOS ANGELES CA,228 N SOTO ST LOS ANGELES CA 90033-2915,010V,Residential - Single,R4-1-CUGU,Multiple Residential Clean Up Green Up Overlay,0,GROSS ASSESSED,"$2,509,100.00",,EV 228 SOTO LLC,269 S BEVERLY DR PMB 182,228,SOTO,los-angeles,,0.19646,"EV 228 Soto, LP, a California limited partnership",Soto Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-413,10/11/2024,"Eleos Ventures, LLC",,Step Forward Comminities,,YES,,,41,40,0.9756097561,"$2,447,902.44",,,,,,,,,,,"$6,000",,,,,,228
5183013023,2330 E 3RD STREET LOS ANGELES CA,2330 E 3RD ST LOS ANGELES CA 90033-4012,,,RD1.5-1-CUGU,Restricted Density Multiple Dwelling Clean Up Green Up Overlay,,,,,,,2330,3RD,los-angeles,,0.19687,2330 3rd Street Apartments L.P.,2330 E. 3rd Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-363,8/30/2024,Terra Capital Development Group LLC,,Pacific Housing,,YES,,,53,53,1,$0.00,,,,,,,,,,,"$7,950",,,,,,2330
28502100410000,2345 NORTHROP AVE SACRAMENTO CA 95825,2345.0 NORTHROP AVE SACRAMENTO CA 95825-7571,AE272A,,RD-30,High Density Multifamily Residential,272,NET ASSESSED,"$51,313,873.00",,DEMMON THE FALLS LLC,702 MARSHALL ST #306,2345,NORTHROP,sacramento,,9.1345,"GB Falls, LP",The Falls at Arden Apartments,Sacramento,Sacramento,"Grant up to $10,000",25-484,10/10/2025,Jackson Square Properties,,Housing on Merit,,NO,,,272,272,1,"$51,313,873.00",,,,,,,,,,,"$40,800",,,,,,2345
5518026004,236 N BERENDO STREET LOS ANGELES CA,236 N BERENDO ST LOS ANGELES CA 90004-4704,100,Residential - Single,R3-1,Multiple Residential,1,GROSS ASSESSED,"$1,387,200.00",,236 BERENDO HOLDINGS OZ LP,430 S GARFIELD AVE STE 316,236,BERENDO,los-angeles,,0.17229,236 Berendo Holdings OZ LP,236 Berendo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-510,10/24/2025,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",,YES,,,52,52,1,"$1,387,200.00",,,,,,,,,,,"$7,800",,,,,,236
39626156,2414 N TUSTIN AVE SANTA ANA CA 92705,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,2,,R4,Suburban Apartment,80,GROSS ASSESSED,"$26,738,989.00",,TUSTIN AVENUE APARTMENTS LLC,7 CORPORATE PARK DR,2414,TUSTIN,orange,,12.41914,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Horizon Apartments,Santa Ana,Orange,"Grant up to $10,000",24-410,10/11/2024,Ethos Real Estate,Bridge Investment Group,Affordable Housing Access Inc,,NO,,,406,406,1,"$26,738,989.00",,,,,,,,,,,"$60,900",,,,,,2414
867281,2415 VALDEZ ST OAKLAND CA 94612,2415 VALDEZ ST OAKLAND CA 94612-3600,7705,,D-BV-2,Broadway Valdez 2,89,ASSESSED,"$24,073,679.00",,NOOK VALDEZ II LLC,P O BOX 121088,2415,VALDEZ,alameda,,0.16779,"Electric Lofts, LP",Electric Lofts Apartments,Oakland,Alameda,"Grant up to $10,000",24-075,03/15/2024,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,,,,,89,40,0.4494382022,"$10,819,631.01",,,https://www.electriclofts.com/,8-672-8-1,,,https://propinfo.acgov.org/?PRINT_PARCEL=8-672-8-1,"$23,607,381","$24,549,146",,"$13,350",,"$387,482.22",2025,,,2415
5518008009,247 S ALEXANDRIA AVENUE LOS ANGELES CA,247 S ALEXANDRIA AVE LOS ANGELES CA 90004-5549,500,Residential - Five or more apartments,R4-1,Multiple Residential,27,GROSS ASSESSED,"$4,457,073.00",,247 S ALEXANDRIA LLC,PO BOX 46342,247,ALEXANDRIA,los-angeles,,0.16661,247 S Alexandria LLLP,Alexandria I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-449,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,27,27,1,"$4,457,073.00",,,,,,,,,,,"$4,050",,,,,,247
5518008014,260 S MARIPOSA AVENUE LOS ANGELES CA,260 S MARIPOSA AVE LOS ANGELES CA 90004-5470,500,Residential - Five or more apartments,R4-1,Multiple Residential,40,GROSS ASSESSED,"$8,388,848.00",,260 S MARIPOSA LLC,PO BOX 46342,260,MARIPOSA,los-angeles,,0.17151,260 S Mariposa LLLP,Mariposa II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-457,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,1,"$8,388,848.00",,,,,,,,,,,"$6,000",,,,,,260
454251243,26409 GADING RD HAYWARD CA 94544,26409 GADING RD HAYWARD CA 94544-3603,7700,,RM,Medium Density Residential,61,ASSESSED,"$17,000,269.00",,SFF 2 LLC,599 CASTRO ST,26409,GADING,alameda,,3.3956,"SFF 2, LLC",Townhomes at Gading Apartments,Hayward,Alameda,"Grant up to $10,000",23-370,12/8/2023,The Sobrato Organization,,Sobrato Foundation,,,,,61,61,1,"$17,000,269.00",,,https://www.townhomesongadingapts.com/,454-25-124-3,,,,"$6,029,645","$17,336,168",,"$9,150",,"$78,032.02",2023,"$209,772.98",2025,26409
344007,275 TURK ST SAN FRANCISCO CA,275 TURK ST SAN FRANCISCO CA 94102-3831,,,RC-4-80-T-120-T,Residential Commercial High Density,66,ASSESSED,"$17,116,303.00",,RHIMOSSER 275 TURK LP,220 MONTGOMERY ST FL 20,275,TURK,san-francisco,,0.17318,RHI-Mosser 275 Turk LP,275 Turk Street Apartments,San Francisco,San Francisco,"Grant up to $10,000",24-076,03/15/2024,"Mosser Capital, LLC",Stars Real Estate Investment,"Kingdom Development, Inc.",,,,,66,27,0.4090909091,"$7,002,123.95",,,,0344 007,,,,"$16,781,817","$17,458,247",,"$9,900",,"$217,816.18",2025,,,275
1701000273,3081 N MAIN ST WALNUT CREEK CA 94597,3081.0 N MAIN ST WALNUT CREEK CA 94597-1940,27,"Apartments, 25-59 units",M-1.5,Multiple Family Residential,32,ASSESSED,"$10,616,112.00",,ENCLAVE LP,2191 MARKET ST STE A,3081,MAIN,contra-costa,1.12,1.01619,"ENCLAVE LP, a California limited partnership",The Enclave Apartments,Walnut Creek,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",25-082,2/21/2025,Tesseract Capital Group,,Housing on Merit,,,,,32,32,1,"$10,616,112.00",,,,170-100-027-3,,,,,,,"$4,800",,,,,,3081
5160009020,333 DOUGLAS ST LOS ANGELES CA,333 DOUGLAS ST LOS ANGELES CA 90026-5632,100,Residential - Single,CW,Central City West Specific Plan,1,GROSS ASSESSED,"$1,144,440.00",,CAR VORTEX LLC,3300 NORTHSIDE PKWY NW,333,DOUGLAS,los-angeles,,0.12855,"333 Douglas Street, LP, a California limited partnership",333 Douglas Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-080,2/21/2025,Visionary Development Enterprises LLC,,Housing on Merit,,,,,33,32,0.9696969697,"$1,109,760.00",,,,,,,,,,,"$4,800",,,,,,333
4054900073,3400 RICHMOND PKWY RICHMOND CA 94806,3400.0 RICHMOND PKWY RICHMOND CA 94806-5207,28,"Apartments, 60 units or more",RM2,Multifamily High Density Residential,1008,ASSESSED,"$222,047,798.00",,GUARDIANKW HILLTOP LLC,151 S EL CAMINO DR,3400,RICHMOND,contra-costa,46.868,46.8333,"Bella Vista Owner, LP",Bella Vista at Hilltop Apartments,Richmond,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",25-281,6/27/2025,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,NO,,,1008,1008,1,"$222,047,798.00",,,,405-490-007-3,,,https://taxcolp.cccttc.us/PTS_TaxbillsPdfCY?APN=405490007,,"$229,097,572",,"$98,100",,"$4,151,305.48",2025,,,3400
147091180000,363 E GILBERT ST SAN BERNARDINO CA,363 E GILBERT ST SAN BERNARDINO CA 92404-5343,623,"SENIOR CITIZEN APT, 15 UNITS AND UP",CO,Commercial Office,71,,"$4,075,000.00",,CASTLE ROCK BERNARDINE APARTMENTS LP,17328 VENTURA BLVD #404,363,GILBERT,san-bernardino,0.36,0.32213,"Castle Rock Bernardine Apartments, LP",Bernardine Apartments,San Bernardino,San Bernardino,"Grant up to $10,000",23-202,08/04/23,Quest Capital Partners,,Affordable Rent Project,,,,,71,70,0.985915493,"$4,017,605.63",,,,,,,,,,,"$10,650",,,,,,363
5518027010,3715 W 1ST STREET LOS ANGELES CA,3715 W 1ST ST LOS ANGELES CA 90004-5848,550,Residential - Five or more apartments,R3-1,Multiple Residential,55,GROSS ASSESSED,"$11,906,753.00",,3715 W 1ST STREET LLC,PO BOX 46342,3715,1ST,los-angeles,,0.25832,3715 W 1st Street LLLP,Seven Lions Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-462,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,55,55,1,"$11,906,753.00",,,,,,,,,,,"$8,250",,,,,,3715
21332022,3765 TAMARACK LN SANTA CLARA CA 95051,3765 TAMARACK LN SANTA CLARA CA 95051-2571,4,Five or more Family,R3-25D,Moderate Density Multiple Dwelling,114,ASSESSED,"$27,303,774.00",,MONTECITO SANTA CLARA LLC,777 S CALIFORNIA AVE STE 100,3765,TAMARACK,santa-clara,2.09,2.09115,"Flag VII Montecito, L.P.",Montecito Apartments,San Jose,Santa Clara,,,11/21/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,114,114,1,"$27,303,774.00",,,,,,,,,,,"$17,100",,,,,,3765
50115064010,38000 CAMDEN ST FREMONT CA 94536,38000.0 CAMDEN ST FREMONT CA 94536-5169,7700,,P-63-2,Planned District 63 2,192,ASSESSED,"$73,418,537.00",,CAMDEN STREET APARTMENTS LLC,7 CORPORATE PARK DR,38000,CAMDEN,alameda,,10.94495,"Flag VII Camden Village, L.P.",Camden Village Apartments,Fremont,Alameda,"Grant up to $10,000 (Charitable Affordable Housing)",25-423,8/29/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,192,192,1,"$73,418,537.00",,,https://www.camdenvillageapts.com/,501-1506-40-10,,,,,,,"$28,800",,,,,,38000
0345012C,381 TURK ST SAN FRANCISCO CA,381 TURK ST SAN FRANCISCO CA 94102-3749,,,RC-4-80-T,Residential Commercial High Density,32,ASSESSED,"$7,398,189.00",,381 TURK STREET ASSOCIATES LLC,220 MONTGOMERY ST FL 20,381,TURK,san-francisco,,0.14125,381 Turk Street Associates,381 Turk Street Apartment,San Francisco,San Francisco,"Grant up to $10,000",23-307,9/15/2023,"Mosser Capital, LLC",,"Kingdom Development, Inc.",,,,,32,13,0.40625,"$3,005,514.28",,,,0345 012C,,,,,,,"$4,800",,"$121,770.74",2025,,,381
3004004033,38441 5TH ST W PALMDALE CA 93551,38441 5TH ST W PALMDALE CA 93551-4262,501,Residential - Five or more apartments,RN-2,Residential Neighborhood 2,296,GROSS ASSESSED,"$14,702,565.00",,PALM CHAPARRAL APARTMENTS LLC,8149 SANTA MONICA BLVD PMB 298,38441,5TH,los-angeles,,18.7347,"Post Chaparral, LP",Chaparral Apartments,Palmdale,Los Angeles,"Grant up to $10,000",24-473,12/13/2024,Post Investment Group,,Integrity Housing,,NO,,,296,296,1,"$14,702,565.00",,YES,,,,,,,,,"$44,400",,,,,,38441
1419405,400 CANAL ST SAN RAFAEL CA 94901,400 CANAL ST SAN RAFAEL CA 94901-4173,21,Multiple-Resid. - Improved,HR1-C,High Density Multi Family Residential And Canalfront Review Overlay District,98,,,,400 MERIDIAN LP,2191 MARKET ST,400,CANAL,marin,2.526,2.52513,"400 Meridian, LP, a California limited partnership",Meridian Apartments,San Rafael,Marin,"Grant up to $10,000",24-384,9/20/2024,Tesseract Capital Group,,Housing on Merit,,NO,,,99,99,1,$0.00,,,,,,,,,,,"$14,850",,,,,,400
5032015003,4101 SOMERSET DRIVE LOS ANGELES CA,4101 SOMERSET DR LOS ANGELES CA 90008-3465,500,Residential - Five or more apartments,C2-1-SP,Commercial Specific Plan,4,GROSS ASSESSED,"$3,451,872.00",,3 SIOF 4101 SOMERSET DR LLC,8629 S VERMONT AVE,4101,SOMERSET,los-angeles,,0.21107,"6 SIOF 4101 Somerset Dr, LP",4101 Somerset Dr. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-282,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,36,35,0.9722222222,"$3,355,986.67",,,,,,,,,,,"$5,250",,,,,,4101
4231018020,4129 CENTINELA AVENUE LOS ANGELES CA 90066,4129 S CENTINELA AVE LOS ANGELES CA 90066-4908,1100,Commercial - Stores,C2-1,Commercial,0,GROSS ASSESSED,"$1,630,000.00",,PASSO CENTINELA LP,121 S PALM DR APT 301,4129,CENTINELA,los-angeles,,0.11423,"Passo Centinela, LP",Passo Centinela I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-425,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,72,71,0.9861111111,"$1,607,361.11",,,,,,,,,,,"$10,650",,,,,,4129
5021028002,4209 S WESTERN AVE LOS ANGELES CA 90062,4209 S WESTERN AVE LOS ANGELES CA 90062-1643,1210,Commercial - Store Combination,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,25,GROSS ASSESSED,"$10,924,200.00",,BIF NON OZ 4209 WESTERN AVE LP,1000 E 60TH ST,4209,WESTERN,los-angeles,,0.14935,"BIF NON OZ 4209 WESTERN AVE, LP",4209 Western Avenue Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-253,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,25,24,0.96,"$10,487,232.00",,,,,,,,,,,"$3,600",,,,,,4209
5021009036,4228 WESTERN AVENUE LOS ANGELES CA,4228 S WESTERN AVE LOS ANGELES CA 90062-1642,1100,Commercial - Stores,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0,GROSS ASSESSED,"$17,790,840.00",,BIF NON 4228 WESTERN AVE LP,1000 E 60TH ST,4228,WESTERN,los-angeles,,0.3961,"BIF NON OZ 4228 WESTERN AVE, LP",4228 Western Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-380,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,68,14,0.2058823529,"$3,662,820.00",,,,,,,,,,,"$2,500",,,,,,4228
5021009036,4228 WESTERN AVENUE LOS ANGELES CA,4228 S WESTERN AVE LOS ANGELES CA 90062-1642,1100,Commercial - Stores,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0,GROSS ASSESSED,"$17,790,840.00",,BIF NON 4228 WESTERN AVE LP,1000 E 60TH ST,4228,WESTERN,los-angeles,,0.3961,"PS 4228 Western Ave, LP, a Delaware limited partnership",4228 Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-511,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,14,0.2058823529,"$3,662,820.00",,,,,,,,,,,"$2,500",,,,,,4228
5024017036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008-2553,504,Residential - Five or more apartments,C1.5-1-SP,Limited Commercial Specific Plan,111,GROSS ASSESSED,"$26,914,860.00",,4252 CRENSHAW JV LLC,17141 VENTURA BLVD STE 214,4252,CRENSHAW,los-angeles,,0.51471,4252 Crenshaw LP,4252 Crenshaw Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-199,05/17/2024,Thrive Living,Magnum Real Estate Group,"Kingdom Development, Inc.",,,,,111,111,1,"$26,914,860.00",2020,YES,,5024017036,,,,"25,869,724",0,,"$16,650",,319424,2023,"10,883.27",2023,4252
5503015016,426 S MANHATTAN PLACE LOS ANGELES CA,426 S MANHATTAN PL LOS ANGELES CA 90020-4140,500,Residential - Five or more apartments,R4-1,Multiple Residential,40,GROSS ASSESSED,"$6,897,851.00",,426 MANHATTAN LLC,PO BOX 46342,426,MANHATTAN,los-angeles,,0.19843,426 Manhattan LLLP,Manhattan III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-456,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,1,"$6,897,851.00",,,,,,,,,,,"$6,000",,,,,,426
7455002027,441 W 3RD ST SAN PEDRO CA 90731,441 W 3RD ST SAN PEDRO CA 90731-2650,500,Residential - Five or more apartments,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,93,GROSS ASSESSED,"$23,202,793.00",,POST HARBOR TERRACE LP,8149 SANTA MONICA BLVD STE 298,441,3RD,los-angeles,,1.01174,"Post Harbor Terrace, LP",Harbor Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-286,8/9/2024,Ascenda Capital,,Integrity Housing,,,,,93,93,1,"$23,202,793.00",1987,YES,,,,,,,,,"$13,950",,,,,,441
4251100188,4481 APPIAN WAY EL SOBRANTE CA 94803,4481.0 APPIAN WAY EL SOBRANTE CA 94803-2200,27,"Apartments, 25-59 units",P-1,Planned Unit,,ASSESSED,"$9,977,564.00",,APPIAN LP,2191 MARKET ST STE A,4481,APPIAN,contra-costa,,1.86803,APPIAN LP,Appian Terrace Apartments,El Sobrante,Contra Costa,"Grant up to $10,000",24-277,8/9/2024,Tesseract Capital Group,,Housing on Merit,,,,,41,41,1,"$9,977,564.00",,,,,,,,,,,"$6,150",,,,,,4481
5502011009,454 S CATALINA STREET LOS ANGELES CA,454 S CATALINA ST LOS ANGELES CA 90020-2476,500,Residential - Five or more apartments,R4-1,Multiple Residential,48,GROSS ASSESSED,"$7,490,880.00",,454 CATALINA LLC,PO BOX 46342,454,CATALINA,los-angeles,,0.21396,454 Catalina LLLP,Catalina Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-451,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,1,"$7,490,880.00",,,,,,,,,,,"$7,200",,,,,,454
4221007056,4706 CENTINELA AVENUE LOS ANGELES CA 90066,4706 S CENTINELA AVE LOS ANGELES CA 90066-6818,500,Residential - Five or more apartments,R3-1,Multiple Residential,0,GROSS ASSESSED,"$2,190,000.00",,PASSO CENTINELA 2 LP,121 S PALM DR UNIT 301,4706,CENTINELA,los-angeles,,0.21881,"Passo Centinela 2, LP",Passo Centinela II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-426,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,73,72,0.9863013699,"$2,160,000.00",,,,,,,,,,,"$10,800",,,,,,4706
5484004400,5040 LOGAN AVENUE SAN DIEGO CA 92113,5040.0 LOGAN AVE SAN DIEGO CA 92113-3014,9101,Vacant and Undeveloped Land,CN-1-3,Commercial Neighborhood,0,ASSESSED,"$2,804,259.00",,K D LOGAN LLC,10625 SCRIPPS RANCH BLVD #F,5040,LOGAN,san-diego,2.82,2.73239,"Sol Haus Owner LP, California Limited Partnership",Sol Haus Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-209,5/16/2025,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,,YES,,,147,145,0.9863945578,"$2,766,105.82",,,,,,,,,,,"$22,050",,,,,,5040
5504029006,515 S ST ANDREWS PLACE LOS ANGELES CA 90020,515 S ST ANDREWS PL LOS ANGELES CA 90020-4470,501,Residential - Five or more apartments,R4-2,Multiple Residential,40,GROSS ASSESSED,"$10,012,496.00",,515 S ST ANDREWS LLC,PO BOX 46392,515,ST ANDREWS,los-angeles,,0.62033,515 S St. Andrews LLLP,St. Andrews I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-463,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,1,"$10,012,496.00",,,,,,,,,,,"$6,000",,,,,,515
17004066,5150 EL CAMINO REAL LOS ALTOS CA,5150 EL CAMINO REAL LOS ALTOS CA 94022-1534,69,Vacant Urban,CT,Commercial Thoroughfare,,ASSESSED,"$49,939,200.00",,5150 ECR LOS ALTOS LLC,1 N B ST STE 4000,5150,EL CAMINO REAL,santa-clara,3.8,3.7861,Prometheus Real Estate Group,HARKEN APARTMENTS,Los Altos,Santa Clara,,,1/31/2025,"Prometheus Real Estate Group, Inc.",,Hearthstone Housing Foundation,,YES,,,196,29,0.1479591837,"$7,388,963.27",,,,17004068,17004069,,,,,,"$4,350",,,,,,5150
5503017013,516 S ST ANDREWS PLACE LOS ANGELES CA 90020,516 S ST ANDREWS PL LOS ANGELES CA 90020-4462,556,Residential - Five or more apartments,R4-2,Multiple Residential,59,GROSS ASSESSED,"$14,209,574.00",,516 ST ANDREWS LLC,PO BOX 46342,516,ST ANDREWS,los-angeles,,0.20688,516 St. Andrews LLLP,St. Andrews II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-464,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,59,59,1,"$14,209,574.00",,,,,,,,,,,"$8,850",,,,,,516
5502019004,520 S MARIPOSA AVENUE LOS ANGELES CA,520 S MARIPOSA AVE LOS ANGELES CA 90020-2859,500,Residential - Five or more apartments,R4-2,Multiple Residential,48,GROSS ASSESSED,"$11,471,658.00",,520 MARIPOSA LLC,PO BOX 46342,520,MARIPOSA,los-angeles,,0.20657,520 Mariposa LLLP,Mariposa IV Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-494,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,1,"$11,471,658.00",,,,,,,,,,,"$7,200",,,,,,520
5503024012,530 KINGSLEY DRIVE LOS ANGELES CA,530 S KINGSLEY DR LOS ANGELES CA 90020-3541,500,Residential - Five or more apartments,R4-2,Multiple Residential,44,GROSS ASSESSED,"$10,516,571.00",,530 KINGSLEY LLC,PO BOX 46342,530,KINGSLEY,los-angeles,,0.21095,530 Kingsley LLLP,Kingsley Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-491,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,45,45,1,"$10,516,571.00",,,,,,,,,,,"$6,750",,,,,,530
4635902700,5474 RESERVOIR DR SAN DIEGO CA 92120,5474.0 RESERVOIR DR 1-36 SAN DIEGO CA 92120-5145,1200,Multi-Family Residential,RM-3-9,Residential Multiple Unit,117,ASSESSED,"$30,350,548.00",,29SC V D S PROPERTY OWNER LLC,20 N WACKER DR #4120,5474,RESERVOIR,san-diego,3.86,3.84062,BWF III Ethos CA Palmilla LP,Palmilla Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-208,5/16/2025,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",,NO,,,203,203,1,"$30,350,548.00",,,,,,,,,,,"$30,450",,,,,,5474
70607013,5805 CHARLOTTE DRIVE SAN JOSE CA 95123,5805 CHARLOTTE DR SAN JOSE CA 95123-3619,4,Five or more Family,IP(PD,Planned Development Industrial Park Base District,650,ASSESSED,"$269,608,107.00",,ICS TRANSIT VIL PROP OWNER LLC,130 VANTIS DR STE 200,5805,CHARLOTTE,santa-clara,10.81,10.75904,"Ethos GP I Venture, LP",Ascent Apartments,San Jose,Santa Clara,Governmentla Grant,CSCDA,11/20/2025,Ethos Real Estate,,,,,,,650,260,0.4,"$107,843,242.80",,,,70607013,,,,,"$275,000,268",,,,,,,,5805
8608030071,601 E 8TH ST AZUSA CA 91702,601 E 8TH ST AZUSA CA 91702-2546,501,Residential - Five or more apartments,MOD,Moderate Density Residential,112,GROSS ASSESSED,"$13,224,803.00",,CHOEKAE SOON TR K S CHOE TR,3785 WILSHIRE BLVD # 1811,601,8TH,los-angeles,,4.33207,"Azusa Gardens Owner, LP",Azusa Gardens Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-347,8/8/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,NO,,,112,112,1,"$13,224,803.00",,,,,,,,,,,"$16,800",,,,,,601
6390806100,601 TELEGRAPH ROAD CHULA VISTA CA 91910,601.0 TELEGRAPH CANYON RD CHULA VISTA CA 91910-6561,1200,Multi-Family Residential,R3,Apartment Residential,183,ASSESSED,"$51,548,563.00",,M G CANYON VILLA APARTMENTS LP,10505 SORRENTO VALLEY RD #300,601,TELEGRAPH CANYON,san-diego,8.79,8.64882,"Post Canyon Villa, LP",Canyon Villa Apartment Homes,Chula Vista,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",25-352,8/8/2025,Post Investment Group,,Integrity Housing,,NO,,,183,183,1,"$51,548,563.00",1981,,,,,,,,,,"$27,450",,,,,,601
4610304300,6171 MISSION GORGE RD SAN DIEGO CA 92120,6171.0 MISSION GORGE RD SAN DIEGO CA 92120-3426,5004,Neighborhood Shopping Center,CC-4-2,Commercial Community,1,ASSESSED,"$13,362,000.00",,MISSION GORGE LP,350 S GRAND AVE #3050,6171,MISSION GORGE,san-diego,1.52,1.51996,"6171 Mission Gorge Owner LP, a California limited partnership",6171 Mission Gorge Apartments,San Diego,San Diego,"Grant up to $10,000",24-412,10/11/2024,Impact Housing,,Las Palmas Housing & Development Corporation,,YES,,,488,483,0.9897540984,"$13,225,094.26",,,,,,,,,,,"$72,450",,,,,,6171
6005021032,6200 S BROADWAY LOS ANGELES CA,6200 S BROADWAY LOS ANGELES CA 90003-1430,100V,Commercial - Commercial,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,1,GROSS ASSESSED,"$1,326,510.00",,BIF NON OZ 6200 BROADWAY BLK LP,1000 E 60TH ST,6200,BROADWAY,los-angeles,,0.25488,"BIF NON OZ 6200 BROADWAY BLK, LP",6200 S. Broadway Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-379,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,66,51,0.7727272727,"$1,025,030.45",,,,,,,,,,,"$7,950",,,,,,6200
