Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
10535 Lindley Affordable L.P.,Lindley Parc Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-116,4/4/2025,Taylor Equities,,Housing on Merit,,,,,50,50,,"10535 Lindley Ave, Granada Hills, CA 91326",,,,,,,,,,"$4,800",,,,,
"SFF 4, LLC",Terrace View Apartments,Daly City,San Mateo,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-144,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",,,,,122,,,"26 Terrace View Ct, Daly City, CA 94015",,,6312820,6312830,6312840,,,,,"$18,300",,,,,
"SFF 3, LLC",SoFi Redwood Park Apartments,Redwood City,San Mateo,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-145,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",,,,12/5/2024,112,112,,"1212 Whipple Ave, Redwood City, CA 94062",,https://www.theheltsley.com/,052-082-450,,,https://county-taxes.net/ca-sanmateo/services/property-tax/c2FubWF0ZW8tY2E6Z3NneF9wcm9wZXJ0eV90YXg6cGFyZW50czoxM2E3OTkwMy1kNzE2LTExZWMtOTZjMy0wMDUwNTZhNDQzNDc=,,,,"$16,800",,"$276,343.70",2025,,
AXIS FEE OWNER LP,Waterbend Apartments,San Francisco,San Francisco,,CMFA,,4/25/2025,TruAmerica Multifamily LLC,Angeleno Investments LP,Affordable Housing Access,,NO,,,136,136,2016,"5880 3rd St, San Francisco, CA 94124",,,5431A041,,,,,,,"$20,400",,,,,
"1540 W. Court Street, LP",1540 W Court Apartments,Los Angeles,Los Angeles,,CMFA,25-207,5/16/2025,Visionary Development Enterprises LLC,,Housing on Merit,,YES,,,189,148,,"1540 W Court St, Los Angeles, CA 90026",,,,,,,,,,"$22,200",,,,,
"Sol Haus Owner LP, California Limited Partnership",Sol Haus Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-209,5/16/2025,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,,YES,,,147,145,,"5040 Logan Avenue, San Diego, CA 92113",,,,,,,,,,"$22,050",,,,,
BWF III Ethos CA Palmilla LP,Palmilla Apartments,San Diego,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-208,5/16/2025,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",,NO,,,203,203,,"5474 Reservoir Dr, San Diego, CA 92120",,,,,,,,,,"$30,450",,,,,
1451 W. MLK Boulevard Apartments,1451 W. MLK Boulevard Apartments,Los Angeles,Los Angeles,,CMFA,Proposed ,6/6/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,50,49,,"1451 W. MLK Blvd, Los Angeles, CA",,,,,,,,,,"$7,350",,,,,
"4 SIOF 11630 S MAIN ST, LP",11630 S. Main Street Apartments,Los Angeles,Los Angeles,,CMFA,25-291,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,84,17,,"11630 Main St, Los Angeles, CA 90061",,,,,,,,,,"$2,550",,,,,
"Bella Vista Owner, LP",Bella Vista at Hilltop Apartments,Richmond,Contra Costa,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-281,6/27/2025,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,NO,,,1008,1008,,"3400 Richmond Pkwy, Richmond, CA 94806",,,405-490-007-3,,,https://taxcolp.cccttc.us/PTS_TaxbillsPdfCY?APN=405490007,,"$229,097,572",,"$98,100",,"$4,151,305.48",2025,,
10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles,,CMFA,,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,29,28,,"10811 S. Compton Avenue, Los Angeles, CA",,,,,,,,,,"$4,200",,,,,
"6 SIOF 4101 Somerset Dr, LP",4101 Somerset Dr. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-282,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,36,35,,"4101 Somerset Drive, Los Angeles, CA",,,,,,,,,,"$5,250",,,,,
"3 SIOF 321 E Florence Ave, LP",321 E. Florence Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-283,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,31,30,,"321 E. Florence Ave, Los Angeles, CA ",,,,,,,,,,"$4,500",,,,,
"6 SIOF 9300 Compton Ave, LP",9300 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-284,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,20,19,,"9300 Compton Ave., Los Angeles, CA",,,,,,,,,,"$2,850",,,,,
"6 SIOF 6401 S Avalon Blvd, LP",6401 S. Avalon Blvd. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-285,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28,27,,"6401 S. Avalon Blvd., Los Angeles, CA",,,,,,,,,,"$4,050",,,,,
"6 SIOF 9515 Compton Ave, LP",9515 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-286,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,21,20,,"9515 Compton Avenue, Los Angeles, CA",,,,,,,,,,"$3,000",,,,,
"SIOF 5 Properties, LP, California limited partnership",569 W. 6th Street Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-288,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,48,47,,"569 W. 6th Street, San Pedro, CA",,,,,,,,,,"$7,050",,,,,
"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",685 W. 4th St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-289,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28,27,,"685 W. 4th St., Los Angeles, CA ",,,,,,,,,,"$4,050",,,,,
"Chadwick Owner, LP",Chadwick Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-290,6/27/2025,Vintage Housing Holdings,Kennedy Wilson,"Pacific Housing, Inc",,NO,,,687,687,,"209 Westmoreland Ave, Los Angeles, CA 90004",,,,,,,,,,"$74,025",,,,,
"Chatsworth Housing, LP",Chatsworth Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-308,7/18/2025,BMI Developments,,"Kingdom Development, Inc.",,YES,,,69,68,,"17188 Chatsworth St., Los Angeles, CA",,,,,,,,,,"$10,200",,,,,
"Ethos GP I Venture, LP",LINQ Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-305,7/18/2025,Ethos Real Estate,,"Pacific Housing, Inc",,,,9/3/2025,230,230,,"1700 Newbury Park Dr, San Jose, CA 95133",,,254-04-108 ,,,,,,,"$34,500",,,,,
"Pacific Trails, LP",Pacific Trails Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-304,7/18/2025,Langdon Park Capital,,Housing on Merit,,NO,,,84,84,,"18615 E Arrow Hwy, Covina, CA 91722",,,,,,,,,,"$12,600",,,,,
10910 Huston LP,Huston Affordable Housing Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-353,8/8/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,38,37,,"10910 Huston St, North Hollywood, CA 91601",,,,,,,,,,"$5,550",,,,,
"Flag VII The Parker, L.P.",The Parker Apartments,El Monte,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-350,8/8/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,177,177,,"4640 Arden Way, El Monte, CA 91731",,,,,,,,,,"$26,550",,,,,
"Canyon Ridge at Napa Junction, LP",Canyon Ridge at Napa Junction Apartments,American Canyon,Napa,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-351,8/8/2025,BRIDGE Housing Corp.,,BRIDGE Housing Corp.,,NO,,,148,148,,"800 Reliant Wy, American Canyon, CA 94503",,,,,,,,,,"$22,200",,,,,
"Post Canyon Villa, LP",Canyon Villa Apartment Homes,Chula Vista,San Diego,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-352,8/8/2025,Post Investment Group,,Integrity Housing,,NO,,,183,183,1981,"601 Telegraph Road, Chula Vista, CA 91910",,,,,,,,,,"$27,450",,,,,
"Fountain Park, L.P.",Fountain Park Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-349,8/8/2025,Sack Capital Partners,Belveron Partners,Las Palmas Housing & Development Corp.,https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,,,8/29/2025,164,164,,"1026 S De Anza Blvd, San Jose, CA 95129",,,372-26-016,,,,"$4,692,739",,,"$24,600",,,,,
"Standard Vistria Park Kiely Owner, LP",Park Kiely Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-348,8/8/2025,Standard Property Company,Vistria,Housing on Merit,,,410,8/27/2025,948,948,1972,"355 Kiely Blvd, San Jose, CA 95129",,,296-40-005,296-40-004,296-40-003,https://www.sccassessor.org/index.php/apn-redirect?ApnValue=29640005,"$124,454,061",,,"$93,600",,1669100.64,2024,1719040.04,2025
"Azusa Gardens Owner, LP",Azusa Gardens Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-347,8/8/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,NO,,,112,112,,"601 E 8th St, Azusa, CA 91702",,,,,,,,,,"$16,800",,,,,
"Flag VII Camden Village, L.P.",Camden Village Apartments,Fremont,Alameda,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-423,8/29/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,192,192,,"38000 Camden St, Fremont, CA 94536",,https://www.camdenvillageapts.com/,501-1506-40-10,,,,,,,"$28,800",,,,,
"Passo Barrington, LP",Passo Barrington Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-424,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53,53,,"1734 S. Barrington Ave., Los Angeles, CA, 90025",,,,,,,,,,"$7,800",YES,,,,
"Passo Centinela, LP",Passo Centinela I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-425,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,72,71,,"4129 Centinela Avenue, Los Angeles, CA 90066",,,,,,,,,,"$10,650",,,,,
"Passo Centinela 2, LP",Passo Centinela II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-426,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,73,72,,"4706 Centinela Avenue, Los Angeles, CA 90066",,,,,,,,,,"$10,800",,,,,
"Passo Stoner, LP",Passo Stoner Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",CMFA,25-427,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,53,52,,"1747 Stoner Avenue, Los Angeles, CA 90025",,,,,,,,,,"$7,800",,,,,
2025 E 4th Street LLLP,4th Street Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-448,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,25,25,,"2025 E. 4th Street, Los Angeles, CA",,,,,,,,,,"$3,750",,,,,
247 S Alexandria LLLP,Alexandria I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-449,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,27,27,,"247 S. Alexandria Avenue, Los Angeles, CA",,,,,,,,,,"$4,050",,,,,
808 S Hobart LLLP,Ashby Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-450,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,49,49,,"808 S. Hobart Boulevard, Los Angeles, CA",,,,,,,,,,"$7,350",,,,,
454 Catalina LLLP,Catalina Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-451,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"454 S. Catalina Street, Los Angeles, CA",,,,,,,,,,"$7,200",,,,,
103 S Edgemont LLLP,Edgemont Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-452,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,43,43,,"103 S. Edgemont Street, Los Angeles, CA 90004",,,,,,,,,,"$6,450",,,,,
Carson Gramercy LLLP // 974 S Gramercy LLLP,Gramercy Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-453,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,38,38,,"974 S. Gramercy Place, Los Angeles, CA",,,,,,,,,,"$5,700",,,,,
Irolo 16 LLLP,Irolo Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-454,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"832 Irolo Street, Los Angeles, CA",,,,,,,,,,"$4,800",,,,,
Kenmore 20 LLLP,Kenmore I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-455,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,42,42,,"941 S. Kenmore Avenue, Los Angeles, CA",,,,,,,,,,"$3,600",,,,,
426 Manhattan LLLP,Manhattan III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-456,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"426 S. Manhattan Place, Los Angeles, CA",,,,,,,,,,"$6,000",,,,,
260 S Mariposa LLLP,Mariposa II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-457,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"260 S. Mariposa Avenue, Los Angeles, CA",,,,,,,,,,"$6,000",,,,,
739 Normandie LLLP,Normandie Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-458,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"739 S. Normandie Avenue, Los Angeles, CA",,,,,,,,,,"$4,800",,,,,
1111 Norton LLLP,Norton Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-459,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,20,20,,"1111 S. Norton Avenue, Los Angeles, CA 90019",,,,,,,,,,"$3,000",,,,,
Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-460,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,60,60,,"975-985 S. Oxford Avenue, Los Angeles, CA",,,,,,,,,,"$9,000",,,,,
960 S Oxford LLLP,Oxford III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-461,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,73,73,,"960 S. Oxford Avenue, Los Angeles, CA",,,,,,,,,,"$10,950",,,,,
3715 W 1st Street LLLP,Seven Lions Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-462,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,55,55,,"3715 W. 1st Street, Los Angeles, CA",,,,,,,,,,"$8,250",,,,,
515 S St. Andrews LLLP,St. Andrews I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-463,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"515 S. St. Andrews Place, Los Angeles, CA 90020",,,,,,,,,,"$6,000",,,,,
516 St. Andrews LLLP,St. Andrews II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",CMFA,25-464,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,59,59,,"516 S. St. Andrews Place, Los Angeles, CA 90020",,,,,,,,,,"$8,850",,,,,
"GB Falls, LP",The Falls at Arden Apartments,Sacramento,Sacramento,"Grant up to $10,000",CMFA,25-484,10/10/2025,Jackson Square Properties,,Housing on Merit,,NO,,,272,272,,"2345 Northrop Ave, Sacramento, CA 95825",,,,,,,,,,"$40,800",,,,,
130 Alexandria LLLP,Alexandria II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-487,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,30,30,,"130 S. Alexandria Avenue, Los Angeles, CA",,,,,,,,,,"$4,500",,,,,
861 Fedora LLLP,Fedora Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-488,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,39,39,,"861 Fedora Street, Los Angeles, CA",,,,,,,,,,"$5,850",,,,,
Kenmore II 20 LLLP,Kenmore II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-489,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"200 S. Kenmore Avenue, Los Angeles, CA",,,,,,,,,,"$7,200",,,,,
915 S Kenmore LLLP,Kenmore III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-490,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,18,18,,"915 S. Kenmore Avenue, Los Angeles, CA",,,,,,,,,,"$2,700",,,,,
530 Kingsley LLLP,Kingsley Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-491,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,45,45,,"530 Kingsley Drive, Los Angeles, CA",,,,,,,,,,"$6,750",,,,,
Mariposa 20 LLLP,Mariposa I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-492,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40,40,,"727 S. Mariposa Avenue, Los Angeles, CA",,,,,,,,,,"$6,000",,,,,
750 Mariposa LLLP,Mariposa III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-493,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,23,23,,"750-752 S. Mariposa Avenue, Los Angeles, CA",,,,,,,,,,"$3,450",,,,,
520 Mariposa LLLP,Mariposa IV Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-494,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48,48,,"520 S. Mariposa Avenue, Los Angeles, CA",,,,,,,,,,"$7,200",,,,,
Oxford 20 LLLP,Oxford II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-495,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32,32,,"207 S. Oxford Avenue, Los Angeles, CA",,,,,,,,,,"$4,800",,,,,
Western 19 LLLP,Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-496,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,76,76,,"1057 S. Western Avenue, Los Angeles, CA",,,,,,,,,,"$11,400",,,,,
"Citrine Preservation, LP",Citrine Apartments,Healdsburg,Sonoma,"Grant up to $10,000",CMFA,25-485,10/10/2025,The Transcend Group,,Retail Store Employees Building Corporation,,NO,,,37,37,,"1260 Grove St, Healdsburg, CA 95448",,,,,,,,,,"$5,550",,,,,
"PS 7518 Hoover St, LP",7524 S. Hoover St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-513,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,,,,79,78,,"7524 S. Hoover St, Los Angeles, CA",,,,,,,,,,"$11,850",YES,,,,
"PS 4228 Western Ave, LP, a Delaware limited partnership",4228 Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-511,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,14,,"4228 Western Avenue, Los Angeles, CA",,,,,,,,,,"$2,500",,,,,
"PS 10705 Avalon Blvd, LP",10705 Avalon Blvd Apartments,Los Angeles,Los Angeles,,CMFA,,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,68,,"10705 Avalon Blvd, Los Angeles, CA",,,,,,,,,,"$10,200",YES,,,,
236 Berendo Holdings OZ LP,236 Berendo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,25-510,10/24/2025,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",,YES,,,52,52,,"236 N. Berendo Street., Los Angeles, CA",,,,,,,,,,"$7,800",,,,,
"Ethos GP I Venture, LP",Ascent Apartments,San Jose,Santa Clara,Governmental Grant,CSCDA,CSCDA,11/20/2025,Ethos Real Estate,,,,,,,650,260,,"5805 Charlotte Drive, San Jose, CA 95123",,,70607013,,,,,"$275,000,268",,,,,,,
"18337 Kittridge, LP",Kittridge Affordable Housing Apartments,Los Angeles,Los Angeles,,CMFA,,11/21/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,42,41,,"18337 Kittridge St, Reseda, CA 91335",,,,,,,,,,"$6,150",,,,,
"Flag VII Montecito, L.P.",Montecito Apartments,San Jose,Santa Clara,,CMFA,,11/21/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,,NO,,,114,114,,"3765 Tamarack Ln, Santa Clara, CA 95051",,,,,,,,,,"$17,100",,,,,
"Thornbridge Holdings, L.P.",Thornbridge Apartments,San Jose,Santa Clara,,CMFA,,11/21/2025,Community HousingWorks,,Community HousingWorks,,NO,,,286,286,,"5210 Monterey Rd, San Jose, CA 95111",,,,,,,,,,"$42,900",,,,,
"Ethos GP I Venture, LP,",The Crossings Apartments,Sunnyvale,Santa Clara,,CMFA,,11/21/2025,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",,NO,,,148,148,,"1180 Lochinvar Ave, Sunnyvale, CA 94087",,,,,,,,,,"$22,200",,,,,
"Post Renaissance Apartments, LP",Renaissance Apartment Homes,Fresno,Fresno,,CMFA,,11/21/2025,Post Investment Group,,Foundation for Affordable Housing,,NO,,,278,278,1984,"5669 N Fresno St, Fresno, CA 93710",,,,,,,,,,"$41,700",,,,,
9033 Ramsgate LP,9033 Ramsgate Apartments,Los Angeles,Los Angeles,,CMFA,,11/21/2025,Six Peak Capital,,Housing on Merit,,,,,116,116,,"9033 Ramsgate Avenue, Westchester, CA",,,,,,,,,,"$17,400",YES,,,,
"Coliseum Transit Village One, LP",Coliseum Transit Village,Oakland,Alameda,,CMFA,,11/21/2025,UrbanCore Development,,"Pacific Housing, Inc.",,NO,,,110,55,,"805 71st Avenue, Oakland, CA",,,,,,,,,,"$8,250",,,,,
LP,La Vista Apartment Homes,Santa Maria,Santa Barbara,,CMFA,,12/12/2025,Farallon Capital Management L.L.C.,,Las Palmas Housing & Development Corporation,,NO,,,460,184,,"740 S. Western Avenue, Santa Maria, CA 93458",,,,,,,,,,"$27,600",,,,,
Golden Gardens Housing Partners LP,Golden Gardens Apartments,Fresno,Fresno,,CMFA,,12/12/2025,"Islas Development, LLC",,"Pacific Housing, Inc.",,NO,,,110,110,,"2130 N Marks Ave, Fresno, CA 93722",,,,,,,,,,"$16,500",,,,,
"7655 San Pedro, LP",San Pedro Apartments,Los Angeles,Los Angeles,,CMFA,,12/12/2025,"Eleos Ventures, LLC",,Step Forward Communities,,YES,,,40,40,,"7655 S San Pedro St, Los Angeles, CA 90003",,,,,,,,,,"$6,000",,,,,
"Coliseum Transit Village One, LP",Coliseum Connections,Oakland,Alameda,,CMFA,,12/12/2025,UrbanCore Development,,"Pacific Housing, Inc.",,NO,,,110,55,,"805 71st Avenue, Oakland, CA",,,,,,,,,,"$8,250",,,,,
Concord Park Wilshire LP,Park Wilshire Apartments,Los Angeles,Los Angeles,,CMFA,,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,170,170,1929,"2424 Wilshire Blvd, Los Angeles, CA 90057",,,,,,,,,,"$25,500",,,,,
Concord Sir Francis Drake LP,Sir Francis Drake Villa Apartments,Los Angeles,Los Angeles,,CMFA,,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,61,,,"841 S Serrano Ave, Los Angeles, CA 90005",,,,,,,,,,"$9,150",,,,,
Concord Langham LP,Langham Apartments,Los Angeles,Los Angeles,,CMFA,,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,181,181,,"715 Normandie Ave, Los Angeles, CA 90005",,,,,,,,,,"$27,150",,,,,
Concord Piccadilly LP,Piccadilly Apartments,Los Angeles,Los Angeles,,CMFA,,12/12/2025,Concord Companies,,"Pacific Housing, Inc.",,NO,,,74,74,,"682 Irolo Street, Los Angeles, CA",,,,,,,,,,"$11,100",,,,,
Ackerfield 2 LP,The Hive at Ackerfield Apartments,Long Beach,Los Angeles,,CMFA,,12/12/2025,Golden Bee Properties,,"Kingdom Development, Inc. ",,NO,,,152,152,,"5565 Ackerfield Avenue / 5700 Ackerfield Avenue, Long Beach, CA",,,,,,,,,,"$22,800",,,,,
"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited
Partnership, HG FSA Capital Limited Partnership",Hawaiian Terrace Senior Apartments,Hawaiian Gardens,Los Angeles,,CMFA,,12/12/2025,MKCR Capital LLC,,Foundation for Affordable Housing,,NO,,,101,101,1990,"12100 226th St, Hawaiian Gardens, CA 90716",,,,,,,,,,"$15,150",,,,,
"Crystal Springs Terrace Apartments, LP",Crystal Springs Terrace,San Bruno,San Mateo,,CMFA,,12/12/2025,Prometheus Real Estate Group,,Integrity Housing,,NO/YES,,,482,216,,"2000 Crystal Springs Rd, San Bruno, CA 94066",,,,,,,,,,"$32,400",,,,,
LP,Trailview Apartments,Concord,Contra Costa,,CMFA,,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",,NO,,,120,120,1974,"1070 San Miguel Road, Concord, CA",,,,,,,,,,"$18,000",,,,,
LP,Casa Serena Apartments,Fremont,Alameda,,CMFA,,12/12/2025,Kairos Investment Management Company,,"Pacific Housing, Inc.",,NO,,,170,170,1969,"36000 Fremont Boulevard, Fremont, CA",,,,,,,,,,"$25,500",,,,,
"Hendrix EREP, LP & Hadley EREP, LP",Hendrix and Hadley Apartments,Escondido,San Diego,,CSCDA,CSCDA,12/18/2025,Eagle Partners,,,,,,,551,440,,"439 West El Norte Parkway / 1045 Morning View Drive, Escondido, CA",,,,,,,,,,,,,,,
