Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
Post Arbors Santa Ana LP,The Arbors Apartments,Santa Ana,Orange,"Grant up to $10,000",CMFA,24-222,6/7/2024,Ascenda Capital,Post Investment Group,Integrity Housing,,,,,160,160,1969,"1100-1200 E. Fairhaven Avenue, Santa Ana, CA",,,,,,,,,,"$24,000",,,,,
Hacienda Investors LP,Pinetree Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-220,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,06/28/2024,"$17,600,000",58,58,,"7940 Reseda Boulevard, Reseda, CA ",YES,,2102015045,,,,"5,715,513","2,251,812",,"$8,700",,,,,
Hacienda Investors LP,Windmere Court Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-221,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,06/13/2024,"$16,300,000",52,52,,"18325 Saticoy St, Reseda, CA 91335",,,2119001222,,,,"10,060,677",,,"$7,800",,,,,
BG Apartments Investors LP,Seville Gardens Apartments,Huntington Park,Los Angeles,"Grant up to $10,000",CMFA,24-224,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,$33.70,,225,225,1989,"2701 Randolph St., Huntington Park, CA",,,,,,,,,,"$33,750",,,,,
"RMG Fee Avalon, LP, a California limited partnership",Harbour Residences Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-252,7/19/2024,RMG Housing,,DECRO Corporation,,YES,,,74,74,,"445 N. Avalon Boulevard, Los Angeles, CA",,,,,,,,,,"$11,100",,,,,
"BIF NON OZ 4209 WESTERN AVE, LP",4209 Western Avenue Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-253,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,25,24,,"4209 S Western Ave, Los Angeles, CA 90062",,,,,,,,,,"$3,600",,,,,
"BIF NON OZ 1100 MLK BLK, LP, a California limited partnership",1130 Martin Luther King Jr. Blvd Apartments,Los Angeles,Los Angeles,,CMFA,24-254,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,29,28,,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",,,,,,,,,,"$4,200",,,,,
"Post Harbor Terrace, LP",Harbor Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-286,8/9/2024,Ascenda Capital,,Integrity Housing,,,,,93,93,1987,"441 W 3rd St, San Pedro, CA 90731",YES,,,,,,,,,"$13,950",,,,,
"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-280,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",https://www.1422on6th.com/,NO,"$17,170,000",09/12/2024,52,32,1997,"1422-1428 6th St., Santa Monica, CA",YES,,4291019006,4291019007,,,,,,"$4,800",,,,,
"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",CMFA,24-281,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,72,49,,"1422-1432 7th, Santa Monica, CA",YES,,,,,,,,,"$7,350",,,,,
