cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County
89082034000,1260 GROVE ST HEALDSBURG CA 95448,1260 GROVE ST HEALDSBURG CA 95448-4784,49,ENFORCEABLY RESTRICTED APTS,MU,Mixed Use District,37,TOTAL ASSESSED,"$10,140,095",,SVI MFH LLC,DBA CITRINE APARTMENTS,1260,GROVE,sonoma,2,1.97197,"Citrine Preservation, LP",Citrine Apartments,Healdsburg,Sonoma
5518013024,130 S ALEXANDRIA AVENUE LOS ANGELES CA,130 S ALEXANDRIA AVE LOS ANGELES CA 90004-2791,500,Residential - Five or more apartments,R3-1,Multiple Residential,30,GROSS ASSESSED,"$13,742,642",,130 ALEXANDRIA LLC,11030 SANTA MONICA BLVD STE 300,130,ALEXANDRIA,los-angeles,,0.55033,130 Alexandria LLLP,Alexandria II Apartments,Los Angeles,Los Angeles
4291019007,1422-1428 6TH ST SANTA MONICA CA,1428 6TH ST SANTA MONICA CA 90401-2542,,,,,,,"$8,520,000","$1,937,646",,,,,,,,"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles
4291019006,1422-1428 6TH ST SANTA MONICA CA,1422 6TH ST SANTA MONICA CA 90401-2542,1210,Commercial - Store Combination,TA,Transit Adjacent,28,GROSS ASSESSED,"$5,022,833",,GC 1422 1428 6TH LP,3019 OCEAN PARK BLVD,1422,6TH,los-angeles,,0.17217,"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles
4291020005,1422-1432 7TH SANTA MONICA CA,1422 7TH ST SANTA MONICA CA 90401-2653,500,Residential - Five or more apartments,NV,Neighborhood Village,28,GROSS ASSESSED,"$7,650,000","$3,491,875",GC 1422 1432 7TH LP,3019 OCEAN PARK BLVD STE 730,1422,7TH,los-angeles,,0.17165,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles
4291020006,1422-1432 7TH SANTA MONICA CA,1430 7TH ST SANTA MONICA CA 904012600,,,,,,,"$7,650,000","$3,491,875",,,,,,,,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles
4291020007,1422-1432 7TH SANTA MONICA CA,1432 7TH ST SANTA MONICA CA 904012612,,,,,,,"$7,770,000","$3,594,576",,,,,,,,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles
4291020018,1423-1425 6TH SANTA MONICA CA,1425 6TH ST SANTA MONICA CA 904012558,,,,,,,"$10,450,000","$5,443,405",,,,,,,,"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles
4291020019,1423-1425 6TH SANTA MONICA CA,1423 6TH ST SANTA MONICA CA 90401-2593,500,Residential - Five or more apartments,NV,Neighborhood Village,24,GROSS ASSESSED,"$10,450,000","$5,443,405",GC 1423 1425 6TH LP,3019 OCEAN PARK BLVD STE 730,1423,6TH,los-angeles,,0.17268,"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles
4291024007,1522 6TH ST SANTA MONICA CA,1522 6TH ST SANTA MONICA CA 90401-2548,550,Residential - Five or more apartments,TA,Transit Adjacent,26,GROSS ASSESSED,"$4,530,218",,GC 1522 6TH LP,3019 OCEAN PARK BLVD STE 730,1522,6TH,los-angeles,,0.17185,"GC 1522 6th, LP",Santa Monica Portfolio D Apartments,Santa Monica,Los Angeles
4291022015,1537 7TH SANTA MONICA CA,1537 7TH ST SANTA MONICA CA 90401-2672,540,Residential - Five or more apartments,TA,Transit Adjacent,36,GROSS ASSESSED,"$4,620,825",,GC 1537 7TH LP,3019 OCEAN PARK BLVD STE 730,1537,7TH,los-angeles,,0.17212,"GC 1537 7th, LP",Santa Monica Portfolio E Apartments,Santa Monica,Los Angeles
25404108,1700 NEWBURY PARK DR SAN JOSE CA 95133,1700 NEWBURY PARK DR SAN JOSE CA 95133-1771,4,Five or more Family,A(PD,Agriculture Planned Development,230,ASSESSED,"$113,197,044",,STOCKBRIDGE NEWBURY PARK LLC,4 EMBARCADERO UNIT 3000,1700,NEWBURY PARK,santa-clara,2.86,2.81564,"Ethos GP I Venture, LP",LINQ Apartments,San Jose,Santa Clara
4262018026,1734 S BARRINGTON AVE LOS ANGELES CA 90025,1734 S BARRINGTON AVE LOS ANGELES CA 90025-4010,300,Residential - Three Units (Any Combination),[Q]RD1.5-1,Qualified Restricted Density Multiple Dwelling,3,GROSS ASSESSED,"$1,883,105",,PASSO BARRINGTON LP,121 S PALM DR APT 301,1734,BARRINGTON,los-angeles,,0.16967,"Passo Barrington, LP",Passo Barrington Apartments,Los Angeles,Los Angeles
1043514700,1735 S MISSION RD FALLBROOK CA 92028,1735.0 S MISSION RD FALLBROOK CA 92028-4548,9101,Vacant and Undeveloped Land,C34-AR(Q -D(40 -LOT(- -BT(L -MFAR(- -FAR(- -H(G -COV(- -SB(O -OS(A -SR(B-C,General Commercial And Residential,107,ASSESSED,"$32,460,480",,1735 SOUTH MISSION LP,7755 CENTER AVE #575,1735,MISSION,san-diego,2.71,2.79466,1735 South Mission LP,Fallbrook Trail Apartments,San Diego,San Diego
4262016011,1747 STONER AVENUE LOS ANGELES CA 90025,1747 STONER AVE LOS ANGELES CA 90025-1812,300,Residential - Three Units (Any Combination),[Q]R3-1,Qualified Multiple Residential,3,GROSS ASSESSED,"$2,175,258",,PASSO STONER LP,121 S PALM DR APT 301,1747,STONER,los-angeles,,0.16902,"Passo Stoner, LP",Passo Stoner Apartments,Los Angeles,Los Angeles
2119001222,18325 SATICOY ST RESEDA CA 91335,18325 SATICOY ST RESEDA CA 91335-2965,501,Residential - Five or more apartments,QR3-1,Qualified Multiple Residential,52,GROSS ASSESSED,"$16,626,000",,HACIENDA INVESTORS LP,15301 VENTURA BLVD STE 5B70,18325,SATICOY,los-angeles,,1.39432,Hacienda Investors LP,Windmere Court Apartments,Los Angeles,Los Angeles
2125017014,18337 KITTRIDGE ST RESEDA CA 91335,18337 KITTRIDGE ST RESEDA CA 91335-6108,100,Residential - Single,R3-1-RIO,Multiple Residential River Improvement Overlay,1,GROSS ASSESSED,"$943,500",,18337 KITTRIDGE LLC,8549 WILSHIRE BLVD PMB 3456,18337,KITTRIDGE,los-angeles,,0.21164,"18337 Kittridge, LP",Kittridge Affordable Housing Apartments,Los Angeles,Los Angeles
8630009026,18615 E ARROW HWY COVINA CA 91722,18615 E ARROW HWY COVINA CA 91722-1828,501,Residential - Five or more apartments,CAH,Corridor Arrow Highway,82,GROSS ASSESSED,"$21,864,168",,PACIFIC TRAILS LP,2566 OVERLAND AVE STE 700,18615,ARROW,los-angeles,,3.21037,"Pacific Trails, LP",Pacific Trails Apartments,Azusa,Los Angeles
5518020021,200 S KENMORE AVENUE LOS ANGELES CA,200 S KENMORE AVE LOS ANGELES CA 90004-5650,500,Residential - Five or more apartments,R3-1,Multiple Residential,48,GROSS ASSESSED,"$9,200,673",,KENMORE II 20 LLC,345 N MAPLE DR STE 135,200,KENMORE,los-angeles,,0.19015,Kenmore II 20 LLLP,Kenmore II Apartments,Los Angeles,Los Angeles
4275024005,2001-2029 OLYMPIC BLVD SANTA MONICA,2001 OLYMPIC BLVD SANTA MONICA CA 90404-3942,500,Residential - Five or more apartments,IC,Industrial Conservation,100,GROSS ASSESSED,"$8,990,000","$8,990,000",GC 20012029 OLYMPIC LP,3019 OCEAN PARK BLVD STE 730,2001,OLYMPIC,los-angeles,,0.16334,"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles
4275024015,2001-2029 OLYMPIC BLVD SANTA MONICA,2029 OLYMPIC BLVD SANTA MONICA CA 904043922,,,,,,,"$20,360,000","$13,362,409",,,,,,,,"GC 2001-2029 Olympic, LP",Santa Monica Portfolio F Apartments,Santa Monica,Los Angeles
5183012030,2025 E 4TH STREET LOS ANGELES CA,2025 E 4TH ST LOS ANGELES CA 90033-4364,500,Residential - Five or more apartments,[Q]C2-1-CUGU,Qualified Commercial Clean Up Green Up Overlay,24,GROSS ASSESSED,"$4,166,030",,9040 HARRATT LLC AND,345 N MAPLE DR STE 135,2025,4TH,los-angeles,,0.15456,2025 E 4th Street LLLP,4th Street Apartments,Los Angeles,Los Angeles
5183001017,2025 NEW JERSEY ST LOS ANGELES CA,2025 NEW JERSEY ST LOS ANGELES CA 90033-2883,050V,Residential - Five or more apartments,[Q]R4-1-CUGU,Qualified Multiple Residential Clean Up Green Up Overlay,0,GROSS ASSESSED,"$527,950",,2025 NJ LP,269 S BEVERLY DR PMB 182,2025,NEW JERSEY,los-angeles,,0.13646,"2025 NJ, LP",2025 New Jersey Apartments,Los Angeles,Los Angeles
5517005016,207 S OXFORD AVENUE LOS ANGELES CA,207 N OXFORD AVE LOS ANGELES CA 90004-4230,500,Residential - Five or more apartments,R4-1,Multiple Residential,32,GROSS ASSESSED,"$6,452,506",,OXFORD 20 LLC,345 N MAPLE DR STE 135,207,OXFORD,los-angeles,,0.16373,Oxford 20 LLLP,Oxford II Apartments,Los Angeles,Los Angeles
5501013028,209 WESTMORELAND AVE LOS ANGELES CA 90004,209 S WESTMORELAND AVE LOS ANGELES CA 90004-6109,501,Residential - Five or more apartments,R4-1,Multiple Residential,687,GROSS ASSESSED,"$129,082,596",,KW WESTMORELAND TIC LLC AND,151 EL CAMINO DR,209,WESTMORELAND,los-angeles,,8.42745,"Chadwick Owner, LP",Chadwick Apartments,Los Angeles,Los Angeles
5473131800,220 47TH ST SAN DIEGO CA 92102,220 47TH ST SAN DIEGO CA 92102-5037,1200,Multi-Family Residential,RM-2-5,Residential Multiple Unit,96,ASSESSED,"$5,832,864",,CREEKSIDE HOLDINGS LTD,595 RIVERWOOD DR #400,220,47TH,san-diego,5.01,4.98621,"Post Creekside, LP",Creekside Villas Apartments,San Diego,San Diego
5180001013,228 N SOTO STREET LOS ANGELES CA,228 N SOTO ST LOS ANGELES CA 90033-2915,010V,Residential - Single,R4-1-CUGU,Multiple Residential Clean Up Green Up Overlay,0,GROSS ASSESSED,"$2,509,100",,EV 228 SOTO LLC,269 S BEVERLY DR PMB 182,228,SOTO,los-angeles,,0.19646,"EV 228 Soto, LP, a California limited partnership",Soto Apartments,Los Angeles,Los Angeles
5183013001,2330 E 3RD STREET LOS ANGELES CA,2330 E 3RD ST LOS ANGELES CA 90033-4012,,,RD1.5-1-CUGU,Restricted Density Multiple Dwelling Clean Up Green Up Overlay,,,"$1,250,000",-,,,2330,3RD,los-angeles,,0.19687,2330 3rd Street Apartments L.P.,2330 E. 3rd Street Apartments,Los Angeles,Los Angeles
28502100410000,2345 NORTHROP AVE SACRAMENTO CA 95825,2345.0 NORTHROP AVE SACRAMENTO CA 95825-7571,AE272A,,RD-30,High Density Multifamily Residential,272,NET ASSESSED,"$51,313,873",,DEMMON THE FALLS LLC,702 MARSHALL ST #306,2345,NORTHROP,sacramento,,9.1345,"GB Falls, LP",The Falls at Arden Apartments,Sacramento,Sacramento
5518026004,236 N BERENDO STREET LOS ANGELES CA,236 N BERENDO ST LOS ANGELES CA 90004-4704,100,Residential - Single,R3-1,Multiple Residential,1,GROSS ASSESSED,"$1,387,200",,236 BERENDO HOLDINGS OZ LP,430 S GARFIELD AVE STE 316,236,BERENDO,los-angeles,,0.17229,236 Berendo Holdings OZ LP,236 Berendo Apartments,Los Angeles,Los Angeles
39626156,2414 N TUSTIN AVE SANTA ANA CA 92705,2414 N TUSTIN AVE SANTA ANA CA 92705-1602,2,,R4,Suburban Apartment,80,GROSS ASSESSED,"$25,500,000",-,TUSTIN AVENUE APARTMENTS LLC,7 CORPORATE PARK DR,2414,TUSTIN,orange,,12.41914,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Horizon Apartments,Santa Ana,Orange
867281,2415 VALDEZ ST OAKLAND CA 94612,2415 VALDEZ ST OAKLAND CA 94612-3600,7705,,D-BV-2,Broadway Valdez 2,89,ASSESSED,"$24,073,679",,NOOK VALDEZ II LLC,P O BOX 121088,2415,VALDEZ,alameda,,0.16779,"Electric Lofts, LP",Electric Lofts Apartments,Oakland,Alameda
5518008009,247 S ALEXANDRIA AVENUE LOS ANGELES CA,247 S ALEXANDRIA AVE LOS ANGELES CA 90004-5549,500,Residential - Five or more apartments,R4-1,Multiple Residential,27,GROSS ASSESSED,"$4,457,073",,247 S ALEXANDRIA LLC,PO BOX 46342,247,ALEXANDRIA,los-angeles,,0.16661,247 S Alexandria LLLP,Alexandria I Apartments,Los Angeles,Los Angeles
5518008014,260 S MARIPOSA AVENUE LOS ANGELES CA,260 S MARIPOSA AVE LOS ANGELES CA 90004-5470,500,Residential - Five or more apartments,R4-1,Multiple Residential,40,GROSS ASSESSED,"$8,388,848",,260 S MARIPOSA LLC,PO BOX 46342,260,MARIPOSA,los-angeles,,0.17151,260 S Mariposa LLLP,Mariposa II Apartments,Los Angeles,Los Angeles
454251243,26409 GADING RD HAYWARD CA 94544,26409 GADING RD HAYWARD CA 94544-3603,7700,,RM,Medium Density Residential,61,ASSESSED,"$17,000,269",,SFF 2 LLC,599 CASTRO ST,26409,GADING,alameda,,3.3956,"SFF 2, LLC",Townhomes at Gading Apartments,Hayward,Alameda
344007,275 TURK ST SAN FRANCISCO CA,275 TURK ST SAN FRANCISCO CA 94102-3831,,,RC-4-80-T-120-T,Residential Commercial High Density,66,ASSESSED,"$17,116,303",,RHIMOSSER 275 TURK LP,220 MONTGOMERY ST FL 20,275,TURK,san-francisco,,0.17318,RHI-Mosser 275 Turk LP,275 Turk Street Apartments,San Francisco,San Francisco
1701000273,3081 N MAIN ST WALNUT CREEK CA 94597,3081.0 N MAIN ST WALNUT CREEK CA 94597-1940,27,"Apartments, 25-59 units",M-1.5,Multiple Family Residential,32,ASSESSED,"$10,616,112",,ENCLAVE LP,2191 MARKET ST STE A,3081,MAIN,contra-costa,1.12,1.01619,"ENCLAVE LP, a California limited partnership",The Enclave Apartments,Walnut Creek,Contra Costa
5160009020,333 DOUGLAS ST LOS ANGELES CA,333 DOUGLAS ST LOS ANGELES CA 90026-5632,100,Residential - Single,CW,Central City West Specific Plan,1,GROSS ASSESSED,"$1,144,440",,CAR VORTEX LLC,3300 NORTHSIDE PKWY NW,333,DOUGLAS,los-angeles,,0.12855,"333 Douglas Street, LP, a California limited partnership",333 Douglas Apartments,Los Angeles,Los Angeles
4054900073,3400 RICHMOND PKWY RICHMOND CA 94806,3400.0 RICHMOND PKWY RICHMOND CA 94806-5207,28,"Apartments, 60 units or more",RM2,Multifamily High Density Residential,1008,ASSESSED,"$222,047,798",,GUARDIANKW HILLTOP LLC,151 S EL CAMINO DR,3400,RICHMOND,contra-costa,46.868,46.8333,"Bella Vista Owner, LP",Bella Vista at Hilltop Apartments,Richmond,Contra Costa
147091180000,363 E GILBERT ST SAN BERNARDINO CA,363 E GILBERT ST SAN BERNARDINO CA 92404-5343,623,"SENIOR CITIZEN APT, 15 UNITS AND UP",CO,Commercial Office,71,,"$4,075,000",,CASTLE ROCK BERNARDINE APARTMENTS LP,17328 VENTURA BLVD #404,363,GILBERT,san-bernardino,0.36,0.32213,"Castle Rock Bernardine Apartments, LP",Bernardine Apartments,San Bernardino,San Bernardino
