cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County
5024017036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008-2553,504,Residential - Five or more apartments,C1.5-1-SP,Limited Commercial Specific Plan,111,GROSS ASSESSED,"$26,914,860",,4252 CRENSHAW JV LLC,17141 VENTURA BLVD STE 214,4252,CRENSHAW,los-angeles,,0.51471,4252 Crenshaw LP,4252 Crenshaw Apartments,Los Angeles,Los Angeles
5503015016,426 S MANHATTAN PLACE LOS ANGELES CA,426 S MANHATTAN PL LOS ANGELES CA 90020-4140,500,Residential - Five or more apartments,R4-1,Multiple Residential,40,GROSS ASSESSED,"$6,897,851",,426 MANHATTAN LLC,PO BOX 46342,426,MANHATTAN,los-angeles,,0.19843,426 Manhattan LLLP,Manhattan III Apartments,Los Angeles,Los Angeles
7455002027,441 W 3RD ST SAN PEDRO CA 90731,441 W 3RD ST SAN PEDRO CA 90731-2650,500,Residential - Five or more apartments,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,93,GROSS ASSESSED,"$23,202,793",,POST HARBOR TERRACE LP,8149 SANTA MONICA BLVD STE 298,441,3RD,los-angeles,,1.01174,"Post Harbor Terrace, LP",Harbor Terrace Apartments,Los Angeles,Los Angeles
4251100188,4481 APPIAN WAY EL SOBRANTE CA 94803,4481.0 APPIAN WAY EL SOBRANTE CA 94803-2200,27,"Apartments, 25-59 units",P-1,Planned Unit,,ASSESSED,"$9,977,564",,APPIAN LP,2191 MARKET ST STE A,4481,APPIAN,contra-costa,,1.86803,APPIAN LP,Appian Terrace Apartments,El Sobrante,Contra Costa
5502011009,454 S CATALINA STREET LOS ANGELES CA,454 S CATALINA ST LOS ANGELES CA 90020-2476,500,Residential - Five or more apartments,R4-1,Multiple Residential,48,GROSS ASSESSED,"$7,490,880",,454 CATALINA LLC,PO BOX 46342,454,CATALINA,los-angeles,,0.21396,454 Catalina LLLP,Catalina Apartments,Los Angeles,Los Angeles
4221007056,4706 CENTINELA AVENUE LOS ANGELES CA 90066,4706 S CENTINELA AVE LOS ANGELES CA 90066-6818,500,Residential - Five or more apartments,R3-1,Multiple Residential,0,GROSS ASSESSED,"$2,190,000",,PASSO CENTINELA 2 LP,121 S PALM DR UNIT 301,4706,CENTINELA,los-angeles,,0.21881,"Passo Centinela 2, LP",Passo Centinela II Apartments,Los Angeles,Los Angeles
5484004400,5040 LOGAN AVENUE SAN DIEGO CA 92113,5040.0 LOGAN AVE SAN DIEGO CA 92113-3014,9101,Vacant and Undeveloped Land,CN-1-3,Commercial Neighborhood,0,ASSESSED,"$2,804,259",,K D LOGAN LLC,10625 SCRIPPS RANCH BLVD #F,5040,LOGAN,san-diego,2.82,2.73239,"Sol Haus Owner LP, California Limited Partnership",Sol Haus Apartments,San Diego,San Diego
5504029006,515 S ST ANDREWS PLACE LOS ANGELES CA 90020,515 S ST ANDREWS PL LOS ANGELES CA 90020-4470,501,Residential - Five or more apartments,R4-2,Multiple Residential,40,GROSS ASSESSED,"$10,012,496",,515 S ST ANDREWS LLC,PO BOX 46392,515,ST ANDREWS,los-angeles,,0.62033,515 S St. Andrews LLLP,St. Andrews I Apartments,Los Angeles,Los Angeles
170-04-068,5150 EL CAMINO REAL LOS ALTOS CA,,,,,,,,"$32,171,358",-,,,,,,,,Prometheus Real Estate Group,HARKEN APARTMENTS,Los Altos,Santa Clara
170-04-069,5150 EL CAMINO REAL LOS ALTOS CA,,,,,,,,"$18,766,626",-,,,,,,,,Prometheus Real Estate Group,HARKEN APARTMENTS,Los Altos,Santa Clara
5503017013,516 S ST ANDREWS PLACE LOS ANGELES CA 90020,516 S ST ANDREWS PL LOS ANGELES CA 90020-4462,556,Residential - Five or more apartments,R4-2,Multiple Residential,59,GROSS ASSESSED,"$14,209,574",,516 ST ANDREWS LLC,PO BOX 46342,516,ST ANDREWS,los-angeles,,0.20688,516 St. Andrews LLLP,St. Andrews II Apartments,Los Angeles,Los Angeles
5502019004,520 S MARIPOSA AVENUE LOS ANGELES CA,520 S MARIPOSA AVE LOS ANGELES CA 90020-2859,500,Residential - Five or more apartments,R4-2,Multiple Residential,48,GROSS ASSESSED,"$11,471,658",,520 MARIPOSA LLC,PO BOX 46342,520,MARIPOSA,los-angeles,,0.20657,520 Mariposa LLLP,Mariposa IV Apartments,Los Angeles,Los Angeles
5503024012,530 KINGSLEY DRIVE LOS ANGELES CA,530 S KINGSLEY DR LOS ANGELES CA 90020-3541,500,Residential - Five or more apartments,R4-2,Multiple Residential,44,GROSS ASSESSED,"$10,516,571",,530 KINGSLEY LLC,PO BOX 46342,530,KINGSLEY,los-angeles,,0.21095,530 Kingsley LLLP,Kingsley Apartments,Los Angeles,Los Angeles
4635902700,5474 RESERVOIR DR SAN DIEGO CA 92120,5474.0 RESERVOIR DR 1-36 SAN DIEGO CA 92120-5145,1200,Multi-Family Residential,RM-3-9,Residential Multiple Unit,117,ASSESSED,"$30,350,548",,29SC V D S PROPERTY OWNER LLC,20 N WACKER DR #4120,5474,RESERVOIR,san-diego,3.86,3.84062,BWF III Ethos CA Palmilla LP,Palmilla Apartments,San Diego,San Diego
70607013,5805 CHARLOTTE DRIVE SAN JOSE CA 95123,5805 CHARLOTTE DR SAN JOSE CA 95123-3619,4,Five or more Family,IP(PD,Planned Development Industrial Park Base District,650,ASSESSED,"$269,608,107",,ICS TRANSIT VIL PROP OWNER LLC,130 VANTIS DR STE 200,5805,CHARLOTTE,santa-clara,10.81,10.75904,"Ethos GP I Venture, LP",Ascent Apartments,San Jose,Santa Clara
8608030071,601 E 8TH ST AZUSA CA 91702,601 E 8TH ST AZUSA CA 91702-2546,501,Residential - Five or more apartments,MOD,Moderate Density Residential,112,GROSS ASSESSED,"$13,224,803",,CHOEKAE SOON TR K S CHOE TR,3785 WILSHIRE BLVD # 1811,601,8TH,los-angeles,,4.33207,"Azusa Gardens Owner, LP",Azusa Gardens Apartments,Azusa,Los Angeles
6390806100,601 TELEGRAPH ROAD CHULA VISTA CA 91910,601.0 TELEGRAPH CANYON RD CHULA VISTA CA 91910-6561,1200,Multi-Family Residential,R3,Apartment Residential,183,ASSESSED,"$51,548,563",,M G CANYON VILLA APARTMENTS LP,10505 SORRENTO VALLEY RD #300,601,TELEGRAPH CANYON,san-diego,8.79,8.64882,"Post Canyon Villa, LP",Canyon Villa Apartment Homes,Chula Vista,San Diego
4610304300,6171 MISSION GORGE RD SAN DIEGO CA 92120,6171.0 MISSION GORGE RD SAN DIEGO CA 92120-3426,5004,Neighborhood Shopping Center,CC-4-2,Commercial Community,1,ASSESSED,"$13,362,000",,MISSION GORGE LP,350 S GRAND AVE #3050,6171,MISSION GORGE,san-diego,1.52,1.51996,"6171 Mission Gorge Owner LP, a California limited partnership",6171 Mission Gorge Apartments,San Diego,San Diego
6005021032,6200 S BROADWAY LOS ANGELES CA,6200 S BROADWAY LOS ANGELES CA 90003-1430,100V,Commercial - Commercial,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,1,GROSS ASSESSED,"$1,326,510",,BIF NON OZ 6200 BROADWAY BLK LP,1000 E 60TH ST,6200,BROADWAY,los-angeles,,0.25488,"BIF NON OZ 6200 BROADWAY BLK, LP",6200 S. Broadway Apartments,Los Angeles,Los Angeles
6006018001,6401 S AVALON BLVD LOS ANGELES CA,6401 AVALON BLVD LOS ANGELES CA 90003-1661,100V,Commercial - Commercial,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0,GROSS ASSESSED,"$426,520",,6 SIOF 6401 S AVALON BLVD LLC,8629 S VERMONT AVE,6401,AVALON,los-angeles,,0.16385,"6 SIOF 6401 S Avalon Blvd, LP",6401 S. Avalon Blvd. Apartments,Los Angeles,Los Angeles
15434025,660 MARIPOSA AVE MOUNTAIN VIEW CA,660 MARIPOSA AVE MOUNTAIN VIEW CA 94041-1867,4,Five or more Family,R3-2.5,Multi Family Residential,50,ASSESSED,"$17,059,601","$16,718,409",MARIPOSA CLUB APARTMENTS I LP,1 N B ST STE 4000,660,MARIPOSA,santa-clara,1.57,1.65214,"Mariposa Club Apartments I, LP,",Mariposa Club Apartments,Mountain View,Santa Clara
5547013021,6762 HAWTHORN AVE LOS ANGELES CA 90028,6762 HAWTHORN AVE LOS ANGELES CA 90028-2800,500,Residential - Five or more apartments,C4-2D,Commercial 2 Development Limitations,69,GROSS ASSESSED,"$8,706,757",,OODB2 LLC,9049 20TH AVE SW,6762,HAWTHORN,los-angeles,,0.17031,"OODB2, LP",Premiere Hollywood Apartments,Los Angeles,Los Angeles
7451026002,685 W 4TH ST LOS ANGELES CA,685 W 4TH ST LOS ANGELES CA 90731,500,Residential - Five or more apartments,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,28,GROSS ASSESSED,"$3,002,337",,2 SIOF 685 FOURTH ST LLC,8629 S VERMONT AVE,685,4TH,los-angeles,,0.11467,"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",685 W. 4th St Apartments,Los Angeles,Los Angeles
26003700120000,6930 FAIR OAKS BLVD CARMICHAEL CA 95608,6930.0 FAIR OAKS BLVD CARMICHAEL CA 95608-3369,AE197A,,SPA,Special Planning Area,,NET ASSESSED,"$12,145,525",,6930 FAIR OAKS BLVD TIC LLCETAL,700 N SAN VICENTE BLVD #G860,6930,FAIR OAKS,sacramento,,1.72534,"Trion Skylark Properties, LP",Skylark Place by Trion Living Apartments,Unincorporated,Sacramento
5351441500,699 14TH STREET SAN DIEGO CA,699.0 14TH ST SAN DIEGO CA 92101-7586,9700,Mixed Use,CCPD-RE,Center City Planned District Residential Emphasis,229,ASSESSED,"$53,339,453",,699 14TH STREET CSLC LP,354 W LANCASTER AVE #1400,699,14TH,san-diego,1.38,1.3798,699 14TH Street CSLC LP,Market Street Village Apartments,San Diego,San Diego
5094005005,727 S MARIPOSA AVENUE LOS ANGELES CA,727 S MARIPOSA AVE LOS ANGELES CA 90005-2069,500,Residential - Five or more apartments,R5-2,Multiple Residential,40,GROSS ASSESSED,"$7,089,929",,MARIPOSA 20 LLC,345 N MAPLE DR,727,MARIPOSA,los-angeles,,0.18585,Mariposa 20 LLLP,Mariposa I Apartments,Los Angeles,Los Angeles
5094004004,739 S NORMANDIE AVENUE LOS ANGELES CA,739 S NORMANDIE AVE LOS ANGELES CA 90005-2270,500,Residential - Five or more apartments,R5-2,Multiple Residential,32,GROSS ASSESSED,"$4,993,920",,739 NORMANDIE LLC,PO BOX 46342,739,NORMANDIE,los-angeles,,0.1728,739 Normandie LLLP,Normandie Apartments,Los Angeles,Los Angeles
5094006003,750-752 S MARIPOSA AVENUE LOS ANGELES CA,750 S MARIPOSA AVE LOS ANGELES CA 90005-2039,500,Residential - Five or more apartments,R5-2,Multiple Residential,23,GROSS ASSESSED,"$6,547,652",,750 MARIPOSA LLC,PO BOX 46342,750,MARIPOSA,los-angeles,,0.18561,750 Mariposa LLLP,Mariposa III Apartments,Los Angeles,Los Angeles
4110025040,7518 S HOOVER LOS ANGELES CA 90044,7518 AGNEW AVE LOS ANGELES CA 90045-1006,101,Residential - Single,R1V2,One Family Residential Variable Mass,1,GROSS ASSESSED,"$2,545,586",,EVANSFAITH R TR FAITH R EVANS FAMILY TR,7518 AGNEW AVE,7518,AGNEW,los-angeles,,0.14177,"BIF NON OZ 7518 S Hoover St, LP",7518 Hoover St. Apartments,Los Angeles,Los Angeles
6020022025,7524 S HOOVER ST LOS ANGELES CA,7524 S HOOVER ST LOS ANGELES CA 90044-6008,109,Residential - Single,[Q]R3-1,Qualified Multiple Residential,0,GROSS ASSESSED,"$1,300,500",,2974 PROPERTIES INC AND,PO BOX 5569,7524,HOOVER,los-angeles,,0.32828,"PS 7518 Hoover St, LP",7524 S. Hoover St Apartments,Los Angeles,Los Angeles
2102015045,7940 RESEDA BOULEVARD RESEDA CA,7940 RESEDA BLVD RESEDA CA 91335-1927,501,Residential - Five or more apartments,R3-1,Multiple Residential,58,GROSS ASSESSED,"$17,952,000",,HACIENDA INVESTORS LP,15301 VENTURA BLVD STE B570,7940,RESEDA,los-angeles,,1.52936,Hacienda Investors LP,Pinetree Terrace Apartments,Los Angeles,Los Angeles
59020050000,800 RELIANT WY AMERICAN CANYON CA 94503,800.0 RELIANT WAY AMERICAN CANYON CA 94503-3242,218,,BDSP-DC-CC,Broadway District Specific Plan Downtown Core Community Commercial,,MARKET,"$46,693,244",,NAPA JUNCTION PARTNERS LLC,"601 CALIFORNIA ST, STE 1150",800,RELIANT,napa,5.97,6.36167,"Canyon Ridge at Napa Junction, LP",Canyon Ridge at Napa Junction Apartments,American Canyon,Napa
5402028023,801-809 WATERLOO STREET LOS ANGELES CA,801 WATERLOO ST LOS ANGELES CA 90026-4039,500,Residential - Five or more apartments,RD1.5-1VL,Restricted Density Multiple Dwelling Very Limited Height District,5,GROSS ASSESSED,"$1,387,200",-,801 WATERLOO PARTNERS LP,4346 REDWOOD AVE UNIT 107,801,WATERLOO,los-angeles,,0.14461,"801 Waterloo Partners, LP",The Waterloo Apartments,Los Angeles,Los Angeles
5402-028-022,801-809 WATERLOO STREET LOS ANGELES CA,807 WATERLOO ST LOS ANGELES CA 90026,,,,,,,"$1,115,000",-,,,,,,,,,,,
41416654,805 71ST AVENUE OAKLAND CA,805 71ST AVE OAKLAND CA 94621-3386,300,,D-CO-1,Coliseum Area Transit Oriented Development District 1,110,ASSESSED,$0,,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,2150 WEBSTER ST,805,71ST,alameda,,1.36185,"Coliseum Transit Village One, LP",Coliseum Transit Village,Oakland,Alameda
5093017031,808 S HOBART BOULEVARD LOS ANGELES CA,808 S HOBART BLVD LOS ANGELES CA 90005-2777,055G,Residential - Five or more apartments,R4-2,Multiple Residential,49,GROSS ASSESSED,"$7,984,000",,808 S HOBART LLC,PO BOX 46342,808,HOBART,los-angeles,,0.39591,808 S Hobart LLLP,Ashby Apartments,Los Angeles,Los Angeles
1295996,820 W MACARTHUR BLVD OAKLAND CA 94608,820 W MACARTHUR BLVD OAKLAND CA 94608,8100,,RU-5,Urban Residential 5,,ASSESSED,$0,,2019 OZONE AFFORDABLE HOUSING 820 MACARTHUR LP,2744 E 11TH ST,820,W MACARTHUR,alameda,,0.52176,2019 Ozone Affordable Housing,820 MacArthur Apartments,Oakland,Alameda
5343602100,840 17TH ST SAN DIEGO CA 92101,840.0 17TH ST SAN DIEGO CA 92101-6666,1200,Multi-Family Residential,CCPD-ER,Center City Planned District Employment Residential Mixed Use,122,ASSESSED,"$9,316,117",,N AVENUE LP,2727 CAMINO DEL RIO S #139,840,17TH,san-diego,0.88,0.69039,Mission Valley Preservation LP,"City View aka Outlook at Mission Valley
Apartments",San Diego,San Diego
5094017020,861 FEDORA STREET LOS ANGELES CA,861 FEDORA ST LOS ANGELES CA 90005-2162,500,Residential - Five or more apartments,R4-2,Multiple Residential,39,GROSS ASSESSED,"$9,710,053",,861 FEDORA LLC,PO BOX 46342,861,FEDORA,los-angeles,,0.27877,861 Fedora LLLP,Fedora Apartments,Los Angeles,Los Angeles
5094023025,915 S KENMORE AVENUE LOS ANGELES CA,915 S KENMORE AVE LOS ANGELES CA 90006-1557,500,Residential - Five or more apartments,R4-1,Multiple Residential,18,GROSS ASSESSED,"$2,950,157",,KENMORE LLC,345 N MAPLE DR STE 135,915,KENMORE,los-angeles,,0.14729,915 S Kenmore LLLP,Kenmore III Apartments,Los Angeles,Los Angeles
5092023021,920 S GRAMERCY PLACE LOS ANGELES CA,920 S GRAMERCY PL LOS ANGELES CA 90019-2141,550,Residential - Five or more apartments,R3-1,Multiple Residential,13,GROSS ASSESSED,"$2,756,721",,920 GRAMERCY UPWELL LLC,626 WILSHIRE BLVD STE 410,920,GRAMERCY,los-angeles,,0.17216,"920 Gramercy Upwell, LP, a Delaware limited partnership",The Eaves Apartments,Los Angeles,Los Angeles
6048022067,9300 COMPTON AVE LOS ANGELES CA,9300 COMPTON AVE XX LOS ANGELES CA 90002-2489,010V,Residential - Single,R3-1,Multiple Residential,0,GROSS ASSESSED,"$595,337",,6 SIOF 9300 COMPTON AVE LLC,8629 S VERMONT AVE,9300,COMPTON,los-angeles,,0.20661,"6 SIOF 9300 Compton Ave, LP",9300 Compton Ave. Apartments,Los Angeles,Los Angeles
4025014001,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9301 CRENSHAW BLVD INGLEWOOD CA 90305-2943,400,Residential - Four Units (Any Combination),R-3,Residential Multiple Family,4,GROSS ASSESSED,"$1,345,000",-,SV INGLEWOOD HOLDINGS LP,3111 CAMINO DEL RIO N STE 800,9301,CRENSHAW,los-angeles,,0.17763,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014002,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9309 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,042",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014003,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9317 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,042",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014004,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9325 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,042",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014005,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9333 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,312,370",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014006,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9341 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,339,712",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014007,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9401 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,334,245",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014008,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9409 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,334,245",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014009,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9417 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,312,372",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014010,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9425 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,312,372",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014011,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9433 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,334,245",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014012,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9441 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,328,777",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014013,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9501 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,589",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014014,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9509 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,042",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014015,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9517 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,042",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014016,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9525 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,325,494",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014017,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9533 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,325,494",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025014018,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9541 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,326,589",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025-015-001,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9601 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,325,496",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
4025-015-002,9301 – 9609 CRENSHAW BLVD INGLEWOOD CA,9609 CRENSHAW BLVD INGLEWOOD CA 90305,,,,,,,"$1,325,496",-,,,,,,,,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles
5094023030,941 S KENMORE AVENUE LOS ANGELES CA,941 S KENMORE AVE LOS ANGELES CA 90006-1558,500,Residential - Five or more apartments,R4-1,Multiple Residential,24,GROSS ASSESSED,"$4,338,468",,941 S KENMORE LLC,PO BOX 46342,941,KENMORE,los-angeles,,0.15319,Kenmore 20 LLLP,Kenmore I Apartments,Los Angeles,Los Angeles
6048004025,9515 COMPTON AVENUE LOS ANGELES CA,9515 COMPTON AVE LOS ANGELES CA 90002-2330,500,Residential - Five or more apartments,R3-1,Multiple Residential,0,GROSS ASSESSED,"$1,352,393",,6 SIOF 9515 COMPTON AVE LLC,8629 S VERMONT AVE,9515,COMPTON,los-angeles,,0.22116,"6 SIOF 9515 Compton Ave, LP",9515 Compton Ave. Apartments,Los Angeles,Los Angeles
5080015003,960 S OXFORD AVENUE LOS ANGELES CA,960 S OXFORD AVE LOS ANGELES CA 90006-1164,500,Residential - Five or more apartments,R4-1,Multiple Residential,73,GROSS ASSESSED,"$14,206,920",,960 S OXFORD LLC,11030 SANTA MONICA BLVD STE 300,960,OXFORD,los-angeles,,0.56148,960 S Oxford LLLP,Oxford III Apartments,Los Angeles,Los Angeles
5081032007,974 S GRAMERCY PLACE LOS ANGELES CA,974 S GRAMERCY PL LOS ANGELES CA 90019-2169,500,Residential - Five or more apartments,R3-1,Multiple Residential,38,GROSS ASSESSED,"$7,216,214",,974 S GRAMERCY LLC AND,345 N MAPLE DR STE 135,974,GRAMERCY,los-angeles,,0.15762,Carson Gramercy LLLP // 974 S Gramercy LLLP,Gramercy Apartments,Los Angeles,Los Angeles
5080008006,975-985 S OXFORD AVENUE LOS ANGELES CA,975 S OXFORD AVE LOS ANGELES CA 90006-1167,500,Residential - Five or more apartments,R4-1,Multiple Residential,20,GROSS ASSESSED,"$3,420,921",-,OXFORD 19 LLC,345 N MAPLE DR STE 135,975,OXFORD,los-angeles,,0.15572,Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles
5080008007,975-985 S OXFORD AVENUE LOS ANGELES CA,979 S OXFORD AVE LOS ANGELES CA 90006,,,,,,,"$3,471,626",-,,,,,,,,Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles
5080008008,975-985 S OXFORD AVENUE LOS ANGELES CA,985 S OXFORD AVE LOS ANGELES CA 90006-1167,,,,,,,"$3,472,699",-,,,,,,,,Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles
2764001013,9830 RESEDA BLVD NORTHRIDGE CA 91324,9830.0 RESEDA BLVD NORTHRIDGE CA 91324-2060,501,Residential - Five or more apartments,R3-1,Multiple Residential,68,GROSS ASSESSED,"$17,292,725",,WRPV XII CANDLEWOOD NORTHRIDGE LLC,30 S WACKER DR 36TH FL,9830,RESEDA,los-angeles,,1.13433,"Post Candlewood North, LP",Candlewood North Apartments,Los Angeles,Los Angeles
6954018,99 OCEAN AVE SAN FRANCISCO CA 94112-2548,99 OCEAN AVE SAN FRANCISCO CA 94112-2560,,,NCD-EXCELSIOR-40-X,Excelsior Outer Mission Street Neighborhood Commercial District,0,ASSESSED,"$82,453,101",,99 OCEAN AVENUE LLC,160 PACIFIC AVE STE 204,99,OCEAN,san-francisco,,0.91612,99 Ocean Avenue LP,Ventana Residences Apartments,San Francisco,San Francisco
128101150,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,-,-,,,,,,,,,,,
128101140,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,595.00",-,,,,,,,,,,,
128101130,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,606.00",-,,,,,,,,,,,
128101120,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,619.00",-,,,,,,,,,,,
128101110,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$7,631.00",-,,,,,,,,,,,
128101100,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$30,262.00",-,,,,,,,,,,,
128101090,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$30,426.00",-,,,,,,,,,,,
128101080,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$31,967.00",-,,,,,,,,,,,
128101070,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$35,714.00",-,,,,,,,,,,,
128101060,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$40,196.00",-,,,,,,,,,,,
128101050,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,-,-,,,,,,,,,,,
128101040,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$66,586.00",-,,,,,,,,,,,
128101030,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$61,921.00",-,,,,,,,,,,,
128101020,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$49,211.00",-,,,,,,,,,,,
128101010,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$99,051.00",-,,,,,,,,,,,
128102110,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,360.00",-,,,,,,,,,,,
128102100,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,201.00",-,,,,,,,,,,,
128102090,343 MOON RIVER PL VACAVILLE CA 95687,,,,,,,,"$1,201.00",-,,,,,,,,,,,
