project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020006,,False,4291-020-006,1430 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2600,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1996,28,28,28,21437,2025,3000000,4650000,7650000,2025,2025,3491875,8004,SANTA MONICA,34.01787626,-118.49186072,SANTA MON1CA LOT    F BLK  168,Multi-parcel (3),72,49,0.01203757
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020007,,False,4291-020-007,1432 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2612,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,500,2000,26,30,26,21878,2025,3000000,4770000,7770000,2025,2025,3594576,8004,SANTA MONICA,34.01777789,-118.49174558,SANTA MON1CA LOT    G BLK  168,Multi-parcel (3),72,49,0.01203757
29,Los Angeles,Santa Monica Portfolio C Apartments,4291020018,,False,4291-020-018,1425 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2558,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1998,24,33,30,20100,2025,6300000,4150000,10450000,2025,2025,5443405,8004,SANTA MONICA,34.01755051,-118.49226262,SANTA MON1CA LOT    S BLK  168,Multi-parcel (2),48,29,0.01203757
29,Los Angeles,Santa Monica Portfolio C Apartments,4291020019,,False,4291-020-019,1423 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2593,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1998,24,0,0,20100,2025,6300000,4150000,10450000,2025,2025,5443405,8004,SANTA MONICA,34.01764902,-118.49237759,SANTA MON1CA LOT    T BLK  168,Multi-parcel (2),48,29,0.01203757
30,Los Angeles,Santa Monica Portfolio D Apartments,4291024007,,False,4291-024-007,1522 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2548,"1522 6th St, Santa Monica, CA",Santa Monica Portfolio D Apartments,,manual_verified,Five or more apartments,Residential,550,2004,26,29,26,24573,2025,3600000,3450000,7050000,2025,2025,3659058,8004,SANTA MONICA,34.01587009,-118.49135637,SANTA MONICA LOT    E BLK  194,,26,25,0.01203757
31,Los Angeles,Santa Monica Portfolio E Apartments,4291022015,,False,4291-022-015,1537 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2672,"1537 7th, Santa Monica, CA",Santa Monica Portfolio E Apartments,,manual_verified,Five or more apartments,Residential,540,2003,36,0,0,24738,2025,3600000,2980000,6580000,2025,2025,4088045,8004,SANTA MONICA,34.01678094,-118.48952249,SANTA MON1CA LOT    Q BLK  192,,26,25,0.01203757
32,Los Angeles,Santa Monica Portfolio F Apartments,4275024005,,False,4275-024-005,2001 OLYMPIC BLVD SANTA MONICA CA 90404,SANTA MONICA CA,90404-3942,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Residential,500,2008,100,0,99,51033,2025,2130000,6860000,8990000,2025,2025,8990000,8004,SANTA MONICA,34.02500078,-118.47521615,ERKENBRECHER SYNDICATE SANTA MONICA TRACT EX OF ST LOT    6 BLK   20,Multi-parcel (2),165,98,0.01203757
32,Los Angeles,Santa Monica Portfolio F Apartments,4275024015,,False,4275-024-015,2029 OLYMPIC BLVD SANTA MONICA CA 90404,SANTA MONICA CA,90404-3922,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Residential,500,2009,29,0,29,13940,2025,5418000,14942000,20360000,2025,2025,13362409,8004,SANTA MONICA,34.02523075,-118.47475525,"MB 6-26-27 LOT 5 AND EX OF ST LOTS 7,9 AND 11",Multi-parcel (2),165,98,0.01203757
33,Los Angeles,7524 S. Hoover St. Apartments,6020022027,6020022025,True,6020-022-027,7524 S HOOVER ST,LOS ANGELES CA,,"7518 S. Hoover, Los Angeles, CA",7524 S. Hoover St. Apartments,,parcel_in_transition,Single Family Residence,Residential,,,,,,,2025,0,0,0,2024,2024,0,212,LOS ANGELES,33.97101635,-118.28678824,,Legacy AIN 6020022025 no longer exists. New AIN 6020022027 has no data yet.,79,48,0.0118738
34,Contra Costa,Appian Terrace Apartments,4251100188,,False,,4481.0 APPIAN WAY EL SOBRANTE CA 94803-2200,,,,,,,,,,,,,,,,-,-,9977564,,,0,El Sobrante,,,,,,41,41,0.012792
