Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
15,Premiere Hollywood Apartments,"OODB2, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-178,04/26/2024,Housing Diversity Corporation,,PEP Housing,FALSE,69,69,100.00%,"6762 Hawthorn Ave, Los Angeles, CA 90028","$10,350",TRUE,FALSE,"$8,706,757.00",$0.00,"$7,836,081.30","$7,836,081.30",1.1874%,$0.00,"$93,044.06",,,,2023,,
16,Montessa Apartments,"Affordable Housing Alliance II, Inc. dba Integrity Housing",Vacaville,Solano,CMFA,"Grant up to $10,000",24-200,05/17/2024,Ascenda Capital,,Integrity Housing,FALSE,169,58,,"343 Moon River Pl, Vacaville, CA 95687","$8,700",TRUE,FALSE,"$1,333,447.00",$0.00,"$411,869.43","$411,869.43",1.17%,$0.00,"$4,820.23",,,YES,,,
17,4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-199,05/17/2024,Thrive Living,Magnum Real Estate Group,"Kingdom Development, Inc.",FALSE,111,111,100.00%,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,"$16,650",TRUE,TRUE,"$26,914,860.00","$26,914,860.00","$24,223,374.00","$26,914,860.00",1.1874%,"$319,581.66","$319,581.66",,,NO,2020,,
18,Fallbrook Trail Apartments,1735 South Mission LP,San Diego,San Diego,CMFA,"Grant up to $10,000",24-219,6/7/2024,AOF,Pacific Affordable Housing Corp,Pacific Affordable Housing Corp,FALSE,103,102,,"1735 S Mission Rd, Fallbrook, CA 92028","$15,300",TRUE,FALSE,"$32,460,480.00",$0.00,"$28,930,796.74","$28,930,796.74",1.08%,$0.00,"$311,960.78",,,,2021,,
19,The Arbors Apartments,Post Arbors Santa Ana LP,Santa Ana,Orange,CMFA,"Grant up to $10,000",24-222,6/7/2024,Ascenda Capital,Post Investment Group,Integrity Housing,FALSE,160,160,,"1100-1200 E. Fairhaven Avenue, Santa Ana, CA","$24,000",TRUE,FALSE,"$40,750,000.00",$0.00,"$36,675,000.00","$36,675,000.00",1.12%,$0.00,"$410,576.63",,,,1969,,
20,Pinetree Terrace Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-220,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,FALSE,58,58,100.00%,"7940 Reseda Boulevard, Reseda, CA ","$8,700",TRUE,TRUE,"$17,952,000.00","$15,786,989.00","$16,156,800.00","$15,786,989.00",1.1874%,"$187,451.55","$187,451.55",,,,,"$17,600,000",06/28/2024
21,Windmere Court Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-221,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,FALSE,52,52,100.00%,"18325 Saticoy St, Reseda, CA 91335","$7,800",TRUE,TRUE,"$16,626,000.00","$16,306,781.00","$14,963,400.00","$16,306,781.00",1.1874%,"$193,623.46","$193,623.46",,,,,"$16,300,000",06/13/2024
22,Seville Gardens Apartments,BG Apartments Investors LP,Huntington Park,Los Angeles,CMFA,"Grant up to $10,000",24-223,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,FALSE,225,225,100.00%,"2701 Randolph St., Huntington Park, CA","$33,750",TRUE,TRUE,"$34,425,000.00","$31,825,913.00","$30,982,500.00","$31,825,913.00",1.3851%,"$440,836.00","$440,836.00",,,,1989,,
23,Harbour Residences Apartments,"RMG Fee Avalon, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-252,7/19/2024,RMG Housing,,DECRO Corporation,FALSE,74,74,100.00%,"445 N. Avalon Boulevard, Los Angeles, CA","$11,100",TRUE,FALSE,"$8,899,678.00",$0.00,"$8,009,710.20","$8,009,710.20",1.1874%,$0.00,"$95,105.70",,,YES,,,
24,4209 Western Avenue Apartments,"BIF NON OZ 4209 WESTERN AVE, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-253,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,25,24,96.00%,"4209 S Western Ave, Los Angeles, CA 90062","$3,600",TRUE,TRUE,"$10,924,200.00","$10,903,361.00","$9,438,508.80","$10,903,361.00",1.1874%,"$129,464.33","$129,464.33",,,,,,
25,1130 Martin Luther King Jr. Blvd Apartments,"BIF NON OZ 1100 MLK BLK, LP",Los Angeles,Los Angeles,CMFA,,24-254,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,29,28,96.55%,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037","$4,200",TRUE,TRUE,"$12,796,920.00","$12,776,081.00","$11,120,082.21","$12,776,081.00",1.1874%,"$151,700.63","$151,700.63",,,,,,
26,Harbor Terrace Apartments,"Post Harbor Terrace, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-286,8/9/2024,Ascenda Capital,,Integrity Housing,FALSE,93,93,100.00%,"441 W 3rd St, San Pedro, CA 90731","$13,950",TRUE,TRUE,"$24,250,000.00","$16,429,375.00","$21,825,000.00","$16,429,375.00",1.1874%,"$195,079.11","$195,079.11",,,,1987,,
27,Santa Monica Portfolio A Apartments,"GC 1422-1428 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-280,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,52,32,61.54%,"1422-1428 6th St., Santa Monica, CA","$4,800",TRUE,TRUE,"$17,170,000.00","$4,062,807.00","$9,509,538.46","$4,062,807.00",1.2038%,"$48,906.32","$48,906.32",https://www.1422on6th.com/,,NO,1997,"$17,170,000",09/12/2024
28,Santa Monica Portfolio B Apartments,"GC 1422-1432 7th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-281,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,72,49,68.06%,"1422-1432 7th, Santa Monica, CA","$7,350",TRUE,TRUE,"$23,070,000.00","$10,578,326.00","$14,130,375.00","$10,578,326.00",1.2038%,"$127,337.34","$127,337.34",,,,,,
29,Santa Monica Portfolio C Apartments,"GC 1423-1425 6th, LP",Santa Monica,Los Angeles,CMFA,"Grant up to $10,000",24-282,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",FALSE,48,29,60.42%,"1423-1425 6th, Santa Monica, CA","$4,350",TRUE,TRUE,"$20,900,000.00","$10,886,810.00","$11,364,375.00","$10,886,810.00",1.2038%,"$131,050.74","$131,050.74",,,,,,
