Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
62,Mansfield Micro Apartments,"2533 Mansfield Owner, L.P., a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-084,2/21/2025,"CIM Group, LLC",,"Pacific Housing, Inc.",FALSE,116,115,99.14%,"2533 S Mansfield Ave, Los Angeles, CA 90016","$17,250",TRUE,FALSE,"$2,065,837.00",$0.00,"$1,843,225.25","$1,843,225.25",1.1874%,$0.00,"$21,886.09",,,YES,,,
63,The Enclave Apartments,"ENCLAVE LP, a California limited partnership",Walnut Creek,Contra Costa,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-082,2/21/2025,Tesseract Capital Group,,Housing on Merit,FALSE,32,32,,"3081 N Main St, Walnut Creek, CA 94597","$4,800",TRUE,FALSE,"$10,616,112.00",$0.00,"$9,554,500.80","$9,554,500.80",1.10%,$0.00,"$105,242.83",,,,,,
64,333 Douglas Apartments,"333 Douglas Street, LP, a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-080,2/21/2025,Visionary Development Enterprises LLC,,Housing on Merit,FALSE,33,32,96.97%,"333 Douglas St, Los Angeles, CA","$4,800",TRUE,FALSE,"$1,144,440.00",$0.00,"$998,784.00","$998,784.00",1.1874%,$0.00,"$11,859.36",,,,,,
65,Casa La Palma Apartments,"7777 Valley View, L.P., a California limited partnership",La Palma,Orange,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-103,3/14/2025,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,FALSE,272,270,,"7777 Valley View Street, La Palma, CA","$40,500",TRUE,TRUE,"$53,482,929.00","$53,482,929.00","$47,780,704.95","$53,482,929.00",1.12%,"$596,976.45","$596,976.45",,,NO,1978,,
66,The Eaves Apartments,"920 Gramercy Upwell, LP, a Delaware limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-104,3/14/2025,Treehouse Community,,Butterfly’s Haven,FALSE,13,13,100.00%,"920 S. Gramercy Place, Los Angeles, CA","$2,500",TRUE,FALSE,"$7,802,661.00",$0.00,"$7,022,394.90","$7,022,394.90",1.1874%,$0.00,"$83,382.51",,,,,,
67,Coronado Palms Apartments,"Coronado Owner, LP",Anaheim,Orange,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-102,3/14/2025,TriWest Multifamily,,"Kingdom Development, Inc.",FALSE,169,68,,"1250 S. Euclid St., Anaheim, CA","$10,200",TRUE,FALSE,"$60,690,000.00",$0.00,"$21,977,680.47","$21,977,680.47",1.14%,$0.00,"$249,930.18",,,,,,
68,Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-117,4/4/2025,Post Investment Group,,Integrity Housing,FALSE,189,189,100.00%,"9830 Reseda Blvd, Northridge, CA 91324","$28,350",TRUE,FALSE,"$17,292,725.00",$0.00,"$15,563,452.50","$15,563,452.50",1.1874%,$0.00,"$184,797.32",,,NO,1964,,
69,Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-116,4/4/2025,Taylor Equities,,Housing on Merit,FALSE,50,50,100.00%,"10535 Lindley Ave, Granada Hills, CA 91326","$4,800",TRUE,FALSE,"$14,877,720.00",$0.00,"$13,389,948.00","$13,389,948.00",1.1874%,$0.00,"$158,989.56",,,,,,
70,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-144,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",FALSE,122,,,"26 Terrace View Ct, Daly City, CA 94015","$18,300",TRUE,FALSE,"$34,811,784.00",$0.00,$0.00,$0.00,1.16%,$0.00,$0.00,,,,,,
71,SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-145,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",FALSE,112,112,,"1212 Whipple Ave, Redwood City, CA 94062","$16,800",TRUE,FALSE,"$25,240,000.00",$0.00,"$22,716,000.00","$22,716,000.00",1.09%,$0.00,"$248,535.76",,https://www.theheltsley.com/,,,,12/5/2024
72,Waterbend Apartments,AXIS FEE OWNER LP,San Francisco,San Francisco,CMFA,,25-219,4/25/2025,TruAmerica Multifamily LLC,Angeleno Investments LP,Affordable Housing Access,FALSE,136,136,,"5880 3rd St, San Francisco, CA 94124","$20,400",TRUE,FALSE,"$73,513,835.00",$0.00,"$66,162,451.50","$66,162,451.50",1.20%,$0.00,"$793,949.42",,,NO,2016,,
73,1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,CMFA,,25-207,5/16/2025,Visionary Development Enterprises LLC,,Housing on Merit,FALSE,189,148,78.31%,"1540 W Court St, Los Angeles, CA 90026","$22,200",TRUE,FALSE,"$3,138,751.00",$0.00,"$2,212,072.13","$2,212,072.13",1.1874%,$0.00,"$26,265.70",,,YES,,,
74,Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-209,5/16/2025,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,FALSE,147,145,,"5040 Logan Avenue, San Diego, CA 92113","$22,050",TRUE,FALSE,"$2,804,259.00",$0.00,"$2,489,495.23","$2,489,495.23",1.25%,$0.00,"$31,147.07",,,YES,,,
75,Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-208,5/16/2025,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",FALSE,203,203,,"5474 Reservoir Dr, San Diego, CA 92120","$30,450",TRUE,FALSE,"$30,350,548.00",$0.00,"$27,315,493.20","$27,315,493.20",1.25%,$0.00,"$341,755.06",,,NO,,,
76,1451 W. MLK Boulevard Apartments,1451 W. MLK Boulevard Apartments,Los Angeles,Los Angeles,CMFA,,Proposed ,6/6/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,50,49,98.00%,"1451 W. MLK Blvd, Los Angeles, CA","$7,350",TRUE,FALSE,"$1,569,525.00",$0.00,"$1,384,321.05","$1,384,321.05",1.1874%,$0.00,"$16,437.15",,,YES,,,
77,11630 S. Main Street Apartments,"4 SIOF 11630 S MAIN ST, LP",Los Angeles,Los Angeles,CMFA,,25-291,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,84,17,20.24%,"11630 Main St, Los Angeles, CA 90061","$2,550",TRUE,FALSE,$0.00,$0.00,$0.00,$0.00,1.1874%,$0.00,$0.00,,,YES,,,
78,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-281,6/27/2025,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,FALSE,1008,1008,,"3400 Richmond Pkwy, Richmond, CA 94806","$98,100",TRUE,FALSE,"$222,047,798.00",$0.00,"$199,843,018.20","$199,843,018.20",1.42%,$0.00,"$2,836,172.11",https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,,NO,,,
79,10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles,CMFA,,25-287,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,29,28,96.55%,"10811 S. Compton Avenue, Los Angeles, CA","$4,200",TRUE,FALSE,"$689,784.00",$0.00,"$599,398.51","$599,398.51",1.1874%,$0.00,"$7,117.14",,,YES,,,
80,4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-282,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,36,35,97.22%,"4101 Somerset Drive, Los Angeles, CA","$5,250",TRUE,FALSE,"$3,451,872.00",$0.00,"$3,020,388.00","$3,020,388.00",1.1874%,$0.00,"$35,863.48",,,YES,,,
81,321 E. Florence Apartments,"3 SIOF 321 E Florence Ave, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-283,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,31,30,96.77%,"321 E. Florence Ave, Los Angeles, CA ","$4,500",TRUE,FALSE,"$5,960,901.00",$0.00,"$5,191,752.48","$5,191,752.48",1.1874%,$0.00,"$61,645.83",,,YES,,,
82,9300 Compton Ave. Apartments,"6 SIOF 9300 Compton Ave, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-284,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,20,19,95.00%,"9300 Compton Ave., Los Angeles, CA","$2,850",TRUE,FALSE,"$595,337.00",$0.00,"$509,013.14","$509,013.14",1.1874%,$0.00,"$6,043.92",,,YES,,,
83,6401 S. Avalon Blvd. Apartments,"6 SIOF 6401 S Avalon Blvd, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-285,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,28,27,96.43%,"6401 S. Avalon Blvd., Los Angeles, CA","$4,050",TRUE,FALSE,"$426,520.00",$0.00,"$370,158.43","$370,158.43",1.1874%,$0.00,"$4,395.19",,,YES,,,
84,9515 Compton Ave. Apartments,"6 SIOF 9515 Compton Ave, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-286,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,21,20,95.24%,"9515 Compton Avenue, Los Angeles, CA","$3,000",TRUE,FALSE,"$1,352,393.00",$0.00,"$1,159,194.00","$1,159,194.00",1.1874%,$0.00,"$13,764.04",,,YES,,,
85,569 W. 6th Street Apartments,"SIOF 5 Properties, LP, California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-288,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,48,47,97.92%,"569 W. 6th Street, San Pedro, CA","$7,050",TRUE,FALSE,"$1,363,864.00",$0.00,"$1,201,905.15","$1,201,905.15",1.1874%,$0.00,"$14,271.18",,,YES,,,
86,685 W. 4th St Apartments,"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-289,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,28,27,96.43%,"685 W. 4th St., Los Angeles, CA ","$4,050",TRUE,FALSE,"$3,002,337.00",$0.00,"$2,605,599.61","$2,605,599.61",1.1874%,$0.00,"$30,938.37",,,YES,,,
87,Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-290,6/27/2025,Vintage Housing Holdings,Kennedy Wilson,"Pacific Housing, Inc",FALSE,687,687,100.00%,"209 Westmoreland Ave, Los Angeles, CA 90004","$74,025",TRUE,FALSE,"$129,082,596.00",$0.00,"$116,174,336.40","$116,174,336.40",1.1874%,$0.00,"$1,379,430.84",,,NO,,,
88,Chatsworth Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-308,7/18/2025,BMI Developments,,"Kingdom Development, Inc.",FALSE,69,68,98.55%,"17188 Chatsworth St., Los Angeles, CA","$10,200",TRUE,FALSE,"$850,000.00",$0.00,"$753,913.04","$753,913.04",1.1874%,$0.00,"$8,951.81",,,YES,,,
89,LINQ Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-305,7/18/2025,Ethos Real Estate,,"Pacific Housing, Inc",FALSE,230,230,,"1700 Newbury Park Dr, San Jose, CA 95133","$34,500",TRUE,FALSE,"$113,197,044.00",$0.00,"$101,877,339.60","$101,877,339.60",1.24%,$0.00,"$1,263,380.89",,,,,,9/3/2025
90,Pacific Trails Apartments,"Pacific Trails, LP",Azusa,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-304,7/18/2025,Langdon Park Capital,,Housing on Merit,FALSE,84,84,100.00%,"18615 E Arrow Hwy, Covina, CA 91722","$12,600",TRUE,FALSE,"$21,864,168.00",$0.00,"$19,677,751.20","$19,677,751.20",1.1757%,$0.00,"$231,351.91",,,NO,,,
91,Huston Affordable Housing Apartments,10910 Huston LP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-353,8/8/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,FALSE,38,37,97.37%,"10910 Huston St, North Hollywood, CA 91601","$5,550",TRUE,FALSE,"$1,417,800.00",$0.00,"$1,242,440.53","$1,242,440.53",1.1874%,$0.00,"$14,752.49",,,YES,,,
92,The Parker Apartments,"Flag VII The Parker, L.P.",El Monte,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-350,8/8/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,FALSE,177,177,100.00%,"4640 Arden Way, El Monte, CA 91731","$26,550",TRUE,FALSE,"$45,003,808.00",$0.00,"$40,503,427.20","$40,503,427.20",1.3232%,$0.00,"$535,938.11",,,NO,,,
93,Canyon Ridge at Napa Junction Apartments,"Canyon Ridge at Napa Junction, LP",American Canyon,Napa,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-351,8/8/2025,BRIDGE Housing Corp.,,BRIDGE Housing Corp.,FALSE,148,148,,"800 Reliant Wy, American Canyon, CA 94503","$22,200",TRUE,FALSE,"$46,693,244.00",$0.00,"$42,023,919.60","$42,023,919.60",1.09%,$0.00,"$459,909.78",,,NO,,,
94,Canyon Villa Apartment Homes,"Post Canyon Villa, LP",Chula Vista,San Diego,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-352,8/8/2025,Post Investment Group,,Integrity Housing,FALSE,183,183,,"601 Telegraph Road, Chula Vista, CA 91910","$27,450",TRUE,FALSE,"$51,548,563.00",$0.00,"$46,393,706.70","$46,393,706.70",1.19%,$0.00,"$550,915.99",,,NO,1981,,
95,Fountain Park Apartments,"Fountain Park, L.P.",San Jose,Santa Clara,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-349,8/8/2025,Sack Capital Partners,Belveron Partners,Las Palmas Housing & Development Corp.,FALSE,164,164,,"1026 S De Anza Blvd, San Jose, CA 95129","$24,600",TRUE,FALSE,"$4,853,048.00",$0.00,"$4,367,743.20","$4,367,743.20",1.24%,$0.00,"$54,164.38",https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,,,,,8/29/2025
96,Park Kiely Apartments,"Standard Vistria Park Kiely Owner, LP",San Jose,Santa Clara,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-348,8/8/2025,Standard Property Company,Vistria,Housing on Merit,FALSE,948,948,,"355 Kiely Blvd, San Jose, CA 95129","$93,600",TRUE,FALSE,"$297,316,740.00",$0.00,"$267,585,066.00","$267,585,066.00",1.24%,$0.00,"$3,318,322.40",,,,1972,410,8/27/2025
97,Azusa Gardens Apartments,"Azusa Gardens Owner, LP",Azusa,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-347,8/8/2025,TriWest Multifamily,,"Kingdom Development, Inc.",FALSE,112,112,100.00%,"601 E 8th St, Azusa, CA 91702","$16,800",TRUE,FALSE,"$13,224,803.00",$0.00,"$11,902,322.70","$11,902,322.70",1.1645%,$0.00,"$138,600.17",,,NO,,,
98,Camden Village Apartments,"Flag VII Camden Village, L.P.",Fremont,Alameda,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-423,8/29/2025,Belveron Partners,,Las Palmas Housing & Development Corporation,FALSE,192,192,,"38000 Camden St, Fremont, CA 94536","$28,800",TRUE,FALSE,"$73,418,537.00",$0.00,"$66,076,683.30","$66,076,683.30",1.17%,$0.00,"$775,806.34",,https://www.camdenvillageapts.com/,NO,,,
99,Passo Barrington Apartments,"Passo Barrington, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-424,8/29/2025,Glimcher Capital Group,,Housing on Merit,FALSE,53,53,100.00%,"1734 S. Barrington Ave., Los Angeles, CA, 90025","$7,800",TRUE,FALSE,"$2,225,000.00",$0.00,"$2,002,500.00","$2,002,500.00",1.1874%,$0.00,"$23,777.28",,,YES,,,
100,Passo Centinela I Apartments,"Passo Centinela, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-425,8/29/2025,Glimcher Capital Group,,Housing on Merit,FALSE,72,71,98.61%,"4129 Centinela Avenue, Los Angeles, CA 90066","$10,650",TRUE,FALSE,"$1,630,000.00",$0.00,"$1,446,625.00","$1,446,625.00",1.1874%,$0.00,"$17,176.94",,,YES,,,
101,Passo Centinela II Apartments,"Passo Centinela 2, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-426,8/29/2025,Glimcher Capital Group,,Housing on Merit,FALSE,73,72,98.63%,"4706 Centinela Avenue, Los Angeles, CA 90066","$10,800",TRUE,FALSE,"$2,190,000.00",$0.00,"$1,944,000.00","$1,944,000.00",1.1874%,$0.00,"$23,082.67",,,YES,,,
102,Passo Stoner Apartments,"Passo Stoner, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-427,8/29/2025,Glimcher Capital Group,,Housing on Merit,FALSE,53,52,98.11%,"1747 Stoner Avenue, Los Angeles, CA 90025","$7,800",TRUE,FALSE,"$1,845,000.00",$0.00,"$1,629,169.81","$1,629,169.81",1.1874%,$0.00,"$19,344.44",,,YES,,,
103,4th Street Apartments,2025 E 4th Street LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-448,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,25,25,100.00%,"2025 E. 4th Street, Los Angeles, CA","$3,750",TRUE,FALSE,"$4,166,030.00",$0.00,"$3,749,427.00","$3,749,427.00",1.1874%,$0.00,"$44,519.95",,,NO,,,
104,Alexandria I Apartments,247 S Alexandria LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-449,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,27,27,100.00%,"247 S. Alexandria Avenue, Los Angeles, CA","$4,050",TRUE,FALSE,"$4,457,073.00",$0.00,"$4,011,365.70","$4,011,365.70",1.1874%,$0.00,"$47,630.15",,,NO,,,
105,Ashby Apartments,808 S Hobart LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-450,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,49,49,100.00%,"808 S. Hobart Boulevard, Los Angeles, CA","$7,350",TRUE,FALSE,"$7,984,000.00",$0.00,"$7,185,600.00","$7,185,600.00",1.1874%,$0.00,"$85,320.38",,,NO,,,
106,Catalina Apartments,454 Catalina LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-451,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,48,48,100.00%,"454 S. Catalina Street, Los Angeles, CA","$7,200",TRUE,FALSE,"$7,490,880.00",$0.00,"$6,741,792.00","$6,741,792.00",1.1874%,$0.00,"$80,050.69",,,NO,,,
107,Edgemont Apartments,103 S Edgemont LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-452,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,43,43,100.00%,"103 S. Edgemont Street, Los Angeles, CA 90004","$6,450",TRUE,FALSE,"$10,674,504.00",$0.00,"$9,607,053.60","$9,607,053.60",1.1874%,$0.00,"$114,072.23",,,NO,,,
108,Gramercy Apartments,Carson Gramercy LLLP // 974 S Gramercy LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-453,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,38,38,100.00%,"974 S. Gramercy Place, Los Angeles, CA","$5,700",TRUE,FALSE,"$7,216,214.00",$0.00,"$6,494,592.60","$6,494,592.60",1.1874%,$0.00,"$77,115.49",,,NO,,,
109,Irolo Apartments,Irolo 16 LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-454,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,32,32,100.00%,"832 Irolo Street, Los Angeles, CA","$4,800",TRUE,FALSE,"$7,195,628.00",$0.00,"$6,476,065.20","$6,476,065.20",1.1874%,$0.00,"$76,895.50",,,NO,,,
110,Kenmore I Apartments,Kenmore 20 LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-455,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,42,42,100.00%,"941 S. Kenmore Avenue, Los Angeles, CA","$3,600",TRUE,FALSE,"$4,338,468.00",$0.00,"$3,904,621.20","$3,904,621.20",1.1874%,$0.00,"$46,362.69",,,NO,,,
111,Manhattan III Apartments,426 Manhattan LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-456,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,40,40,100.00%,"426 S. Manhattan Place, Los Angeles, CA","$6,000",TRUE,FALSE,"$6,897,851.00",$0.00,"$6,208,065.90","$6,208,065.90",1.1874%,$0.00,"$73,713.33",,,NO,,,
112,Mariposa II Apartments,260 S Mariposa LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-457,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,40,40,100.00%,"260 S. Mariposa Avenue, Los Angeles, CA","$6,000",TRUE,FALSE,"$8,388,848.00",$0.00,"$7,549,963.20","$7,549,963.20",1.1874%,$0.00,"$89,646.75",,,NO,,,
113,Normandie Apartments,739 Normandie LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-458,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,32,32,100.00%,"739 S. Normandie Avenue, Los Angeles, CA","$4,800",TRUE,FALSE,"$4,993,920.00",$0.00,"$4,494,528.00","$4,494,528.00",1.1874%,$0.00,"$53,367.13",,,NO,,,
114,Norton Apartments,1111 Norton LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-459,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,20,20,100.00%,"1111 S. Norton Avenue, Los Angeles, CA 90019","$3,000",TRUE,FALSE,"$3,121,200.00",$0.00,"$2,809,080.00","$2,809,080.00",1.1874%,$0.00,"$33,354.45",,,NO,,,
115,Oxford I Apartments,Oxford 19 LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-460,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,60,60,100.00%,"975-985 S. Oxford Avenue, Los Angeles, CA","$9,000",TRUE,FALSE,"$10,493,522.00",$0.00,"$9,444,169.80","$9,444,169.80",1.1874%,$0.00,"$112,138.18",,,NO,,,
116,Oxford III Apartments,960 S Oxford LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-461,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,73,73,100.00%,"960 S. Oxford Avenue, Los Angeles, CA","$10,950",TRUE,FALSE,"$14,206,920.00",$0.00,"$12,786,228.00","$12,786,228.00",1.1874%,$0.00,"$151,821.11",,,NO,,,
117,Seven Lions Apartments,3715 W 1st Street LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-462,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,55,55,100.00%,"3715 W. 1st Street, Los Angeles, CA","$8,250",TRUE,FALSE,"$11,906,753.00",$0.00,"$10,716,077.70","$10,716,077.70",1.1874%,$0.00,"$127,240.56",,,NO,,,
118,St. Andrews I Apartments,515 S St. Andrews LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-463,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,40,40,100.00%,"515 S. St. Andrews Place, Los Angeles, CA 90020","$6,000",TRUE,FALSE,"$10,012,496.00",$0.00,"$9,011,246.40","$9,011,246.40",1.1874%,$0.00,"$106,997.74",,,NO,,,
119,St. Andrews II Apartments,516 St. Andrews LLLP,Los Angeles,Los Angeles,CMFA,"Approve application for proposed grant up to $10,000",25-464,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,59,59,100.00%,"516 S. St. Andrews Place, Los Angeles, CA 90020","$8,850",TRUE,FALSE,"$14,209,574.00",$0.00,"$12,788,616.60","$12,788,616.60",1.1874%,$0.00,"$151,849.48",,,NO,,,
120,The Falls at Arden Apartments,"GB Falls, LP",Sacramento,Sacramento,CMFA,"Grant up to $10,000",25-484,10/10/2025,Jackson Square Properties,,Housing on Merit,FALSE,272,272,,"2345 Northrop Ave, Sacramento, CA 95825","$40,800",TRUE,FALSE,"$51,313,873.00",$0.00,"$46,182,485.70","$46,182,485.70",1.15%,$0.00,"$528,974.19",,,NO,,,
121,Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-487,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,30,30,100.00%,"130 S. Alexandria Avenue, Los Angeles, CA","$4,500",TRUE,FALSE,"$13,742,642.00",$0.00,"$12,368,377.80","$12,368,377.80",1.1874%,$0.00,"$146,859.64",,,NO,,,
122,Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-488,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,39,39,100.00%,"861 Fedora Street, Los Angeles, CA","$5,850",TRUE,FALSE,"$9,710,053.00",$0.00,"$8,739,047.70","$8,739,047.70",1.1874%,$0.00,"$103,765.70",,,NO,,,
123,Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-489,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,48,48,100.00%,"200 S. Kenmore Avenue, Los Angeles, CA","$7,200",TRUE,FALSE,"$9,200,673.00",$0.00,"$8,280,605.70","$8,280,605.70",1.1874%,$0.00,"$98,322.26",,,NO,,,
124,Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",25-490,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",FALSE,18,18,100.00%,"915 S. Kenmore Avenue, Los Angeles, CA","$2,700",TRUE,FALSE,"$2,895,505.00",$0.00,"$2,605,954.50","$2,605,954.50",1.1874%,$0.00,"$30,942.58",,,NO,,,
