tra,total_rate,city_rate,school_rate,other_rate
Lake Forest,1.0084,0.0000,0.0014,0.0070
Laguna Hills,1.0265,0.0000,0.0195,0.0070
Laguna Woods,1.0265,0.0000,0.0195,0.0070
Rancho Santa Margarita,1.0084,0.0000,0.0014,0.0070
Aliso Viejo,1.0265,0.0000,0.0195,0.0070
Isleton,1.0644,0.0000,0.0644,0.0000
Sacramento,1.1454,0.0000,0.1454,0.0000
Folsom,1.0719,0.0000,0.0719,0.0000
Galt,1.0823,0.0000,0.0823,0.0000
Citrus Heights,1.1775,0.0000,0.1775,0.0000
Elk Grove,1.0457,0.0000,0.0457,0.0000
Rancho Cordova,1.0719,0.0000,0.0719,0.0000
Antioch,1.118,0,0.1,0.018
Brentwood,1.1084,0.0046,0.0858,0.018
Clayton,1.0992,0,0.0812,0.018
Concord,1.0992,0,0.0812,0.018
Danville,1.0824,0,0.0644,0.018
El Cerrito,1.2792,0,0.2612,0.018
Hercules,1.2792,0,0.2612,0.018
Lafayette,1.0886,0.004,0.0666,0.018
Martinez,1.1407,0,0.1044,0.0363
Moraga,1.1139,0,0.0959,0.018
Oakley,1.0898,0,0.0718,0.018
Orinda,1.1432,0,0.0955,0.0477
Pinole,1.2792,0,0.2612,0.018
Pittsburg,1.1114,0,0.0934,0.018
Pleasant Hill,1.1131,0,0.0812,0.0319
Richmond,1.4192,0.14,0.2612,0.018
San Pablo,1.2792,0,0.2612,0.018
San Ramon,1.0824,0,0.0644,0.018
Walnut Creek,1.1015,0,0.0835,0.018
Carmichael,1.1873,0.0,0.1775,0.0098
Fair Oaks,1.1873,0.0,0.1775,0.0098
Orangevale,1.1873,0.0,0.1775,0.0098
Gold River,1.1873,0.0,0.1775,0.0098
North Highlands,1.1785,0.0,0.1687,0.0098
Rio Linda,1.1785,0.0,0.1687,0.0098
Foothill Farms,1.1785,0.0,0.1687,0.0098
Arden-Arcade,1.1454,0.0,0.1454,0.0
Natomas (Unincorp),1.1424,0.0,0.1424,0.0
Vineyard,1.0457,0.0,0.0457,0.0
Laguna,1.0457,0.0,0.0457,0.0
El Sobrante,1.2792,0,0.2612,0.018
Rodeo,1.1183,0,0.1003,0.018
Crockett,1.1183,0,0.1003,0.018
Alamo,1.0824,0,0.0644,0.018
Blackhawk,1.0824,0,0.0644,0.018
Byron,1.0818,0,0.0638,0.018
Discovery Bay,1.0818,0,0.0638,0.018
Knightsen,1.0575,0,0.0395,0.018
Bay Point,1.0992,0,0.0812,0.018
