project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
100,4231018020,,4231-018-020,4129 S CENTINELA AVE LOS ANGELES CA 90066,LOS ANGELES CA,90066-4908,"4129 Centinela Avenue, Los Angeles, CA 90066",Passo Centinela I Apartments,,manual_verified,Stores,Commercial,1100,1949,0,0,0,600,2025,1630000,0,,,2025,2025,0,00067,LOS ANGELES,33.99620301,-118.42798374,TRACT # 7358 LOTS 99 AND LOT  100,
101,4221007056,,4221-007-056,4706 S CENTINELA AVE LOS ANGELES CA 90066,LOS ANGELES CA,90066-6818,"4706 Centinela Avenue, Los Angeles, CA 90066",Passo Centinela II Apartments,,manual_verified,Five or more apartments,Residential,0500,,,,,,2025,2190000,0,,,2025,2025,0,00067,LOS ANGELES,33.99036746,-118.41963894,"TR=7428 LOTS 171,172 AND EX OF ALLEY LOT 173",
102,4262016011,,4262-016-011,1747 STONER AVE LOS ANGELES CA 90025,LOS ANGELES CA,90025-1812,"1747 Stoner Avenue, Los Angeles, CA 90025",Passo Stoner Apartments,,manual_verified,Three Units (Any Combination),Residential,0300,1927,1,0,0,987,2025,1745000,100000,,,2025,2025,0,00067,LOS ANGELES,34.0394714,-118.45421535,TRACT # 6180 LOT   11,
104,5518008009,,5518-008-009,247 S ALEXANDRIA AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-5549,"247 S. Alexandria Avenue, Los Angeles, CA",Alexandria I Apartments,,manual_verified,Five or more apartments,Residential,0500,1925,27,6,27,15789,2025,3183624,1273449,,,2022,2022,0,08830,LOS ANGELES,34.06978684,-118.29825809,KINGSBORO LOT   38,
109,5094021028,,5094-021-028,932 IROLO ST LOS ANGELES CA 90006,LOS ANGELES CA,90006-1371,"832 Irolo Street, Los Angeles, CA",Irolo Apartments,,manual_verified,Five or more apartments,Residential,0500,1927,32,8,32,18400,2025,4874458,2321170,,10124,2017,2017,0,06657,LOS ANGELES,34.05477834,-118.30056061,WILSHIRE HARVARD HEIGHTS LOT  366,
111,5503015016,,5503-015-016,426 S MANHATTAN PL LOS ANGELES CA 90020,LOS ANGELES CA,90020-4140,"426 S. Manhattan Place, Los Angeles, CA",Manhattan III Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,40,0,41,24120,2025,4828496,2069355,,12000,2022,2022,0,06657,LOS ANGELES,34.06631529,-118.3099889,WESTMINISTER SQUARE EX OF ALLEY LOT   90,
112,5518008014,,5518-008-014,260 S MARIPOSA AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-5470,"260 S. Mariposa Avenue, Los Angeles, CA",Mariposa II Apartments,,manual_verified,Five or more apartments,Residential,0500,1927,40,18,40,21640,2025,5412160,2976688,,10174,2021,2021,0,08830,LOS ANGELES,34.06944146,-118.2987431,TRACT # 200 N 25 FT OF LOT 44 AND S 25 FT OF LOT   45,
113,5094004004,,5094-004-004,739 S NORMANDIE AVE LOS ANGELES CA 90005,LOS ANGELES CA,90005-2270,"739 S. Normandie Avenue, Los Angeles, CA",Normandie Apartments,,manual_verified,Five or more apartments,Residential,0500,1927,32,8,32,22394,2025,3329280,1664640,,24145,2023,2023,0,06657,LOS ANGELES,34.05857098,-118.30014212,TRACT # 7502 LOT   38,
116,5080015003,,5080-015-003,960 S OXFORD AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1164,"960 S. Oxford Avenue, Los Angeles, CA",Oxford III Apartments,,manual_verified,Five or more apartments,Residential,0500,1923,73,0,73,48549,2025,9882605,4324315,,86400,2021,2021,0,06657,LOS ANGELES,34.05373902,-118.30709805,"LEWIS HEIGHTS LOTS 15,16 AND 17 AND LOT COM AT SW COR OF LOT 14 TH N 0¢06' W 12 FT TH N 89¢44' E 92.43 MORE OR LESS FT TH S 0¢02' E 12 FT TO S LINE OF SD LOT TH W THEREON 92.41 FT TO BEG PART OF LOT   14",
119,5503017013,,5503-017-013,516 S ST ANDREWS PL LOS ANGELES CA 90020,LOS ANGELES CA,90020-4462,"516 S. St. Andrews Place, Los Angeles, CA 90020",St. Andrews II Apartments,,manual_verified,Five or more apartments,Residential,0556,1928,59,59,59,39552,2025,748151,13461423,,53100,2022,2022,0,06657,LOS ANGELES,34.06483047,-118.31121175,WESTMINSTER PLACE LOT   13 BLK    B,
121,5518013024,,5518-013-024,130 S ALEXANDRIA AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-2791,"130 S. Alexandria Avenue, Los Angeles, CA",Alexandria II Apartments,,manual_verified,Five or more apartments,Residential,0500,1990,30,60,60,41181,2025,10054945,3687697,,,2022,2022,0,08830,LOS ANGELES,34.07169687,-118.29809817,TR=68920 LOT 1,
127,5094006003,,5094-006-003,750 S MARIPOSA AVE LOS ANGELES CA 90005,LOS ANGELES CA,90005-2039,"750-752 S. Mariposa Avenue, Los Angeles, CA",Mariposa III Apartments,,manual_verified,Five or more apartments,Residential,0500,1925,23,40,23,23352,2025,4849720,1697932,,6600,2022,2022,0,06657,LOS ANGELES,34.05825149,-118.29839004,TRACT # 7502 LOT    3,
129,5517005016,,5517-005-016,207 N OXFORD AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-4230,"207 S. Oxford Avenue, Los Angeles, CA",Oxford II Apartments,,manual_verified,Five or more apartments,Residential,0500,1927,32,25,32,21880,2025,4516755,1935751,,31961,2020,2020,0,06657,LOS ANGELES,34.07554201,-118.30830232,"*LAND DESC IN DOC 0169384, 77-2-16 *POR OF SEC 24 T 1S R 14W AND*TR=ONE *POR OF LOT  21 BLK 1",
134,6063029029,,6063-029-029,10705 AVALON BLVD LOS ANGELES CA 90061,LOS ANGELES CA,90061-2521,"10705 Avalon Blvd, Los Angeles, CA",10705 Avalon Blvd Apartments,,manual_verified,Stores,Commercial,1100,1924,0,0,0,2160,2025,936360,0,,,2023,2023,936360,00461,LOS ANGELES,33.93900434,-118.26552112,TR=5745 LOTS 481 AND 482,
135,5518026004,,5518-026-004,236 N BERENDO ST LOS ANGELES CA 90004,LOS ANGELES CA,90004-4704,"236 N. Berendo Street., Los Angeles, CA",236 Berendo Apartments,,manual_verified,Single,Residential,0100,1920,1,3,1,1706,2025,1020000,367200,,,2024,2024,0,08830,LOS ANGELES,34.0755716,-118.29381345,TRACT # 3247 LOT   77,
137,2125017014,,2125-017-014,18337 KITTRIDGE ST LOS ANGELES CA 91335,LOS ANGELES CA,91335-6108,"18337 Kittridge St, Reseda, CA 91335",Kittridge Affordable Housing Apartments,,manual_verified,Single,Residential,0100,1946,1,2,1,960,2025,864144,79356,,,2024,2024,0,08852,LOS ANGELES,34.19051576,-118.53307791,TRACT # 1875 E 61.5 FT OF W 123.20 FT OF S 150 FT OF LOT  169,
142,4125011053,4125011010,4125-011-053,,LOS ANGELES CA,90045-4633,"9033 Ramsgate Avenue, Westchester, CA",9033 Ramsgate Apartments,,parcel_in_transition,(pending),Residential,0400,1950,4,4,4,2948,,,,,,0000,0000,,00068,LOS ANGELES,33.95431377,-118.38296448,"TR=15283 LOTS 34, 35 AND 36",Legacy AIN 4125011010 consolidated to 4125011053
146,6022014002,,6022-014-002,7655 S SAN PEDRO ST LOS ANGELES CA 90003,LOS ANGELES CA,90003-2347,"7655 S San Pedro St, Los Angeles, CA 90003",San Pedro Apartments,,manual_verified,Store Combination,Commercial,1210,1934,0,0,0,1790,2025,800000,0,,,2025,2025,0,00007,LOS ANGELES,33.9701724,-118.26987591,TRACT NO 1889 EX OF ALLEY LOTS 152 AND LOT  153,
150,5094004007,,5094-004-007,715 S NORMANDIE AVE LOS ANGELES CA 90005,LOS ANGELES CA,90005-2267,"715 Normandie Ave, Los Angeles, CA 90005",Langham Apartments,,manual_verified,Five or more apartments,Residential,0551,1927,181,57,99,132210,2025,1079080,4752233,,114641,2002,2002,0,06657,LOS ANGELES,34.05931282,-118.30014436,LOT COM AT SW COR OF 7 ST 80 FT WIDE AND NORMANDIE AVE TH W ON S LINE OF SD ST 125.48 FT TH S 0¢05' E 220 FT TH E TO W LINE OF NORMANDIE AVE TH N THEREON 220 FT TO BEG PART OF NE 1/4 OF SEC   25 T   1S R 14W,
10,6020022027,6020022025,6020-022-027,,,,"7518 S. Hoover, Los Angeles, CA 90044",7518 Hoover St. Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,33.97101635,-118.28678824,,Multi-parcel (2). AIN not in DB.
15,5547013021,,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,LOS ANGELES CA,90028-6108,"6762 Hawthorn Ave, Los Angeles, CA 90028",Premiere Hollywood Apartments,,manual_verified,Five or more apartments,Residential,0500,2022,69,0,69,34696,2025,4462074,4244683,,,2021,2022,0,00200,LOS ANGELES,34.10040297,-118.33729303,G F STEVENSON TR LOT 13,
17,5024017036,,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,LOS ANGELES CA,90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 Crenshaw Apartments,,manual_verified,Five or more apartments,Residential,0504,2019,111,99,99,49252,2025,4167019,22747841,,,2019,2020,26914860,08841,LOS ANGELES,34.00645295,-118.33415945,"TR=10023 LOTS 93, 94, 95, 96, 97 AND 98",
22,6320011041,,6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA 90255,HUNTINGTON PARK CA,90255-3076,"2701 Randolph St., Huntington Park, CA",Seville Gardens Apartments,,manual_verified,Five or more apartments,Residential,0550,1989,255,0,0,121632,2025,6885000,27540000,,115259,2024,2024,31825913,00594,HUNTINGTON PARK,33.98550033,-118.22198948,TR=45269 LOT 1,
23,7418014021,,7418-014-021,445 N AVALON BLVD LOS ANGELES CA 90744,LOS ANGELES CA,90744-5803,"445 N. Avalon Boulevard, Los Angeles, CA",Harbour Residences Apartments,,manual_verified,Stores,Commercial,1100,,,,,,2025,3203998,5695680,,,2021,2024,0,00400,LOS ANGELES,33.77535388,-118.26245313,WILMINGTON RANGE 5 EX OF ST LOT 2 AND ALL OF LOT 6 BLK 12,
25,5020017007,,5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,LOS ANGELES CA,90037-1810,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",1130 Martin Luther King Jr. Blvd Apartments,,manual_verified,Store Combination,Commercial,1210,2021,29,22,29,15451,2025,9155520,3641400,,,2023,2023,12776081,00212,LOS ANGELES,34.01052374,-118.29526244,WEST PARK TRACT NO 2 LOT   10 BLK    G,
38,2321001019,,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,LOS ANGELES CA,91605-5527,"12300 Sherman Way, North Hollywood, CA 91605",Marquee Apartments,,manual_verified,Five or more apartments,Residential,0501,1965,236,99,99,135223,2025,29800000,14000000,,106200,2025,2025,0,00013,LOS ANGELES,34.19994479,-118.40139209,"LOT COM AT SW COR OF LOT 1 TR NO 28781 TH N 89¢56'39"" W TO SE LINE OF HOLLYWOOD FRWY TH NE THEREON TO W LINE OF SD LOT TH N AND FOLLOWING BDRY LINE OF SD LOT TO BEG   ALL OF LOT 1 TRACT NO 28781 AND PART OF LOT 7 TRACT NO 2514 AND PART OF LOT 14 TRACT NO 2198",
44,5180001024,5180001013,5180-001-024,,,,"228 N Soto Street, Los Angeles, CA",Soto Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,34.04586647,-118.2079048,,Legacy AIN 5180001013 consolidated to 5180001024
55,5409005030,,5409-005-030,1457 N MAIN ST LOS ANGELES CA 90012,LOS ANGELES CA,90012-1914,"1457 N Main St, Los Angeles, CA 90012",1457 Main Street Apartments,,manual_verified,Food Processing Plants,Industrial,3420,,,,,,2025,13753255,3540000,,,2022,2025,16976485,00004,LOS ANGELES,34.06590217,-118.23009531,POR OF NEW DEPOT TR AND POR OF TR=3669 AND POR TR=10388 AND POR MR 2-504-505,
58,3004004033,,3004-004-033,38441 5TH ST W PALMDALE CA 93551,PALMDALE CA,93551-4262,"38441 5th St W, Palmdale, CA 93551",Chaparral Apartments,,manual_verified,Five or more apartments,Residential,0501,1987,296,99,99,207582,2025,1997155,12705410,,,1994,1994,4371074,02241,PALMDALE,34.58077104,-118.14079808,S 1/2 OF SE 1/4 OF NW 1/4 EX OF STS OF SEC 27 T6N R12W,
79,6070003041,6070003038,6070-003-041,,,,"10811 S. Compton Avenue, Los Angeles, CA",10811 S. Compton Ave Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,33.93740358,-118.24659786,,Legacy AIN 6070003038 consolidated to 6070003041
83,6006018001,,6006-018-001,6401 AVALON BLVD LOS ANGELES CA 90003,LOS ANGELES CA,90003-1607,"6401 S. Avalon Blvd., Los Angeles, CA",6401 S. Avalon Blvd. Apartments,,manual_verified,Commercial,Commercial,100V,,,,,,2025,426520,0,,,2020,2020,0,06659,LOS ANGELES,33.98138241,-118.26552017,THE MCCARTHY COMPANY'S GREATER LOS ANGELES TRACT LOT    1 BLK    9,
84,6048004025,,6048-004-025,9515 COMPTON AVE LOS ANGELES CA 90002,LOS ANGELES CA,90002-2330,"9515 Compton Avenue, Los Angeles, CA",9515 Compton Ave. Apartments,,manual_verified,Five or more apartments,Residential,0500,,,,,,2025,655092,697301,,,2020,2021,0,00460,LOS ANGELES,33.95022837,-118.24653208,F1RTHS BLVD TR S 5O FT OF LOT   56,
86,7451026002,,7451-026-002,685 W 4TH ST LOS ANGELES CA 90731,LOS ANGELES CA,90731-2515,"685 W. 4th St., Los Angeles, CA ",685 W. 4th St Apartments,,manual_verified,Five or more apartments,Residential,0500,2024,28,28,28,9918,2025,595337,2407000,,,2021,2025,0,13245,LOS ANGELES,33.74032988,-118.29200537,ARCADIA PARK TRACT LOT    2 BLK   10,
92,8576001024,,8576-001-024,4608 ARDEN WAY EL MONTE CA 91731,EL MONTE CA,91731-1287,"4640 Arden Way, El Monte, CA 91731",The Parker Apartments,,manual_verified,Five or more apartments,Residential,0500,1963,63,0,0,38670,2025,13832435,31171373,,146710,2019,2019,0,03622,EL MONTE,34.08987818,-118.04105385,RANCHO SAN FRANCISQUITO 4.25 MORE OR LESS ACS COM AT MOST W COR OF LOT 55 TRACT NO 20457 TH NE ON NW LINE OF SD TR TO S LINE OF MULHALL ST TH W THEREON AND SW ON SE LINE OF ARDEN WAY TO NW PROLONGATION OF SW LINE OF SD TR TH SE THEREON TO NE LINE OF EMERY ST TH SE AND FOLLOWING SD EMERY ST TO BEG,
105,5093017031,,5093-017-031,808 S HOBART BLVD LOS ANGELES CA 90005,LOS ANGELES CA,90005-2777,"808 S. Hobart Boulevard, Los Angeles, CA",Ashby Apartments,,manual_verified,Five or more apartments,Residential,055G,1930,49,10,49,36925,2025,4784000,3200000,,,2021,2021,0,06657,LOS ANGELES,34.05741521,-118.30495473,POR OF N 1/2 OF SEC 25 T 15 R 14W AND LOT 203 TR=2189,
115,5080008006,,5080-008-006,975 S OXFORD AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1167,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1922,20,0,20,8068,2025,2652090,768831,,5200,2020,2020,0,06657,LOS ANGELES,34.05339008,-118.30777259,"TRACT # 4867 LOT COM AT NE COR OF LOT 12 TH S 0¢06' E 55.19 FT TH S 89¢43' W 123 FT TH N 0¢06' W TO N LINE OF LOT 10 TH N 89¢43' E 123 FT TO BEG PART OF LOTS 10,11 AND LOT   12",Multi-parcel (3)
115,5080008007,,5080-008-007,979 S OXFORD AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1165,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1920,20,0,20,8068,2025,2652090,883663,,5200,2020,2020,0,06657,LOS ANGELES,34.05324556,-118.30777207,TRACT # 4867 N 50 FT OF S 100 FT OF E 3 FT OF LOT 10 AND N 50 FT OF S 100 FT OF LOTS 11 AND LOT   12,Multi-parcel (3)
115,5080008008,,5080-008-008,985 S OXFORD AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1166,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1922,20,0,20,8068,2025,2652090,884758,,5200,2020,2020,0,06657,LOS ANGELES,34.05310817,-118.30777157,TRACT # 4867 S 50 FT OF E 3 FT OF LOT 10 AND S 50 FT OF LOTS 11 AND LOT   12,Multi-parcel (3)
118,5504029006,,5504-029-006,515 S ST ANDREWS PL LOS ANGELES CA 90020,LOS ANGELES CA,90020-4470,"515 S. St. Andrews Place, Los Angeles, CA 90020",St. Andrews I Apartments,,manual_verified,Five or more apartments,Residential,0501,1957,40,36,47,26031,2025,6494592,3517904,,12060,2021,2021,0,06657,LOS ANGELES,34.06483036,-118.31195492,"WESTMINSTER PLACE LOTS 7,8 AND LOT    9 BLK    C",
125,5503024012,,5503-024-012,530 S KINGSLEY DR LOS ANGELES CA 90020,LOS ANGELES CA,90020-3541,"530 Kingsley Drive, Los Angeles, CA",Kingsley Apartments,,manual_verified,Five or more apartments,Residential,0500,1930,44,9,44,31575,2025,6367248,4149323,,22500,2022,2022,0,06657,LOS ANGELES,34.06454281,-118.30247205,WELLINGTON PLACE LOT   48,
128,5502019004,,5502-019-004,520 S MARIPOSA AVE LOS ANGELES CA 90020,LOS ANGELES CA,90020-2859,"520 S. Mariposa Avenue, Los Angeles, CA",Mariposa IV Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,48,6,48,28472,2025,9879846,1591812,,14400,2022,2022,0,06657,LOS ANGELES,34.06444204,-118.29881977,CHAPMAN PARK TRACT # 2 LOT 6 AND S 10 FT OF LOT    7 BLK    A,
148,4276017047,,4276-017-047,2424 WILSHIRE BLVD SANTA MONICA CA 90403,SANTA MONICA CA,90403-5806,"2424 Wilshire Blvd, Los Angeles, CA 90057",Park Wilshire Apartments,,manual_verified,Office Buildings,Commercial,1700,1948,0,0,0,3676,2025,2888923,565219,,,2012,2012,0,08604,SANTA MONICA,34.03432369,-118.47895739,CHELSEA GREEN LOTS 6 AND LOT    7 BLK    5,
149,5093010009,,5093-010-009,841 S SERRANO AVE LOS ANGELES CA 90005,LOS ANGELES CA,90005-2730,"841 S Serrano Ave, Los Angeles, CA 90005",Sir Francis Drake Villa Apartments,,manual_verified,Five or more apartments,Residential,0550,1929,62,0,0,49243,2025,1092459,3465756,,33550,2001,2001,0,06657,LOS ANGELES,34.0564771,-118.30694704,TRACT # 2189 LOTS 106 AND LOT  107,
153,7075020011,,7075-020-011,12100 226TH ST HAWAIIAN GARDNS CA 90716,HAWAIIAN GARDNS CA,90716-1501,"12100 226th St, Hawaiian Gardens, CA 90716",Hawaiian Terrace Senior Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1990,100,0,0,86449,2025,5624402,13795704,,52500,2022,2022,0,02525,HAWAIIAN GARDENS,33.82378543,-118.07363673,O R M 7425-20-21 POR OF SW 1/4 OF SEC 18 T 4S R 11W,Multi-parcel (2)
153,7075020012,,7075-020-012,12100 226TH ST HAWAIIAN GARDENS CA 90716,HAWAIIAN GARDENS CA,90716-1501,"12100 226th St, Hawaiian Gardens, CA 90716",Hawaiian Terrace Senior Apartments,,manual_verified_multi,Five or more apartments,Residential,050V,,,,,,2025,3926469,0,,55500,2022,2022,0,02519,HAWAIIAN GARDENS,33.82354879,-118.07364078,O R M 7425-20-21 POR OF SW 14 OF SEC 18 T 4S R 11W,Multi-parcel (2)
36,4025014001,,4025-014-001,9301 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2943,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.9521166,-118.32697547,TRACT NO 16139 LOT    1,Multi-parcel (20)
36,4025014002,,4025-014-002,9309 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2951,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95194519,-118.32697407,TRACT NO 16139 LOT    2,Multi-parcel (20)
36,4025014003,,4025-014-003,9317 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2959,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95178025,-118.32697379,TRACT NO 16139 LOT    3,Multi-parcel (20)
36,4025014004,,4025-014-004,9325 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2964,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95161543,-118.32697355,TRACT NO 16139 LOT    4,Multi-parcel (20)
36,4025014005,,4025-014-005,9333 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2969,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95145055,-118.32697342,TRACT NO 16139 LOT    5,Multi-parcel (20)
36,4025014006,,4025-014-006,9341 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2970,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95128566,-118.3269731,TRACT NO 16139 LOT    6,Multi-parcel (20)
36,4025014007,,4025-014-007,9401 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2979,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95112078,-118.32697297,TRACT NO 16139 LOT    7,Multi-parcel (20)
36,4025014008,,4025-014-008,9409 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2980,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.9509559,-118.32697268,TRACT NO 16139 LOT    8,Multi-parcel (20)
36,4025014009,,4025-014-009,9417 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2981,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95079106,-118.3269725,TRACT NO 16139 LOT    9,Multi-parcel (20)
36,4025014010,,4025-014-010,9425 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2982,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95062617,-118.32697228,TRACT NO 16139 LOT   10,Multi-parcel (20)
36,4025014011,,4025-014-011,9433 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2983,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95046125,-118.32697208,TRACT NO 16139 LOT   11,Multi-parcel (20)
36,4025014012,,4025-014-012,9441 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2984,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95029636,-118.32697182,TRACT NO 16139 LOT   12,Multi-parcel (20)
36,4025014013,,4025-014-013,9501 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2985,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.95013149,-118.32697164,TRACT NO 16139 LOT   13,Multi-parcel (20)
36,4025014014,,4025-014-014,9509 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2986,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94996661,-118.32697139,TRACT NO 16139 LOT   14,Multi-parcel (20)
36,4025014015,,4025-014-015,9517 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2987,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94980173,-118.32697118,TRACT NO 16139 LOT   15,Multi-parcel (20)
36,4025014016,,4025-014-016,9525 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2988,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4038,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94963686,-118.32697113,TRACT NO 16139 LOT   16,Multi-parcel (20)
36,4025014017,,4025-014-017,9533 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2989,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94947198,-118.32697116,TRACT NO 16139 LOT   17,Multi-parcel (20)
36,4025014018,,4025-014-018,9541 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2990,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4072,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94930432,-118.32697231,TRACT NO 16139 LOT   18,Multi-parcel (20)
36,4025015001,,4025-015-001,9601 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-3142,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,0400,1955,4,8,4,4073,2025,770000,575000,,,2025,2025,0,04569,INGLEWOOD,33.94898144,-118.32697785,TRACT NO 16139 LOT   19,Multi-parcel (20)
