project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
106,5502011009,,5502-011-009,454 S CATALINA ST LOS ANGELES CA 90020,LOS ANGELES CA,90020-2476,"454 S. Catalina Street, Los Angeles, CA",Catalina Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,48,8,48,26160,2025,5243616,2247264,,26400,2023,2023,0,00067,LOS ANGELES,34.06576573,-118.29502955,SCHMIDT HEIGHTS TRACT LOT   42,
107,5518013007,,5518-013-007,103 S EDGEMONT ST LOS ANGELES CA 90004,LOS ANGELES CA,90004-5551,"103 S. Edgemont Street, Los Angeles, CA 90004",Edgemont Apartments,,manual_verified,Five or more apartments,Residential,0500,1930,40,17,43,28769,2025,7282800,3391704,,11760,2023,2023,0,08830,LOS ANGELES,34.07249877,-118.29773261,TRACT # 4193 LOTS 43 AND LOT   44,
108,5081032007,,5081-032-007,974 S GRAMERCY PL LOS ANGELES CA 90019,LOS ANGELES CA,90019-2169,"974 S. Gramercy Place, Los Angeles, CA",Gramercy Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,38,8,38,23063,2025,4244832,2971382,,10525,2022,2022,0,00067,LOS ANGELES,34.05337149,-118.31289247,TRACT # 1600 LOT   72,
110,5094023030,,5094-023-030,941 S KENMORE AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1558,"941 S. Kenmore Avenue, Los Angeles, CA",Kenmore I Apartments,,manual_verified,Five or more apartments,Residential,0500,1923,24,0,24,13800,2025,2881908,1456560,,,2023,2023,0,06657,LOS ANGELES,34.05465623,-118.29683122,WEST NINTH STREET HEIGHTS LOT   63,
114,5081006014,,5081-006-014,1111 S NORTON AVE LOS ANGELES CA 90019,LOS ANGELES CA,90019-3363,"1111 S. Norton Avenue, Los Angeles, CA 90019",Norton Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,20,2,20,10209,2025,2184840,936360,,3960,2023,2023,0,00067,LOS ANGELES,34.05126573,-118.3223903,BOULEVARD HEIGHTS LOT COM AT MOST E COR OF LOT 31 BLK 17 TH S 22¢54' W 50 FT TH NW 149.58 FT TO A LINE PARALLEL WITH AND DIST SE AT R/A 50 FT FROM NW LINE OF SD LOT TH N 24¢02' E 44.43 FT TH SE 149.32 FT TO BEG PART OF LOTS 31 AND LOT   32 BLK   17,
117,5518027010,,5518-027-010,3715 W 1ST ST LOS ANGELES CA 90004,LOS ANGELES CA,90004-5848,"3715 W. 1st Street, Los Angeles, CA",Seven Lions Apartments,,manual_verified,Five or more apartments,Residential,0550,1926,55,20,55,40183,2025,2164864,9741889,,23173,2021,2021,0,08830,LOS ANGELES,34.07294031,-118.29380464,TRACT # 3247 S 40 FT OF LOT 95 AND ALL OF LOT   96,
122,5094017020,,5094-017-020,861 FEDORA ST LOS ANGELES CA 90005,LOS ANGELES CA,90005-2162,"861 Fedora Street, Los Angeles, CA",Fedora Apartments,,manual_verified,Five or more apartments,Residential,0500,1930,39,3,39,24045,2025,7428456,2281597,,30262,2022,2022,0,06657,LOS ANGELES,34.05611472,-118.29793663,TRACT # 2140 S 40 FT EX OF ST OF LOT 59 AND EX OF ST LOT   60,
123,5518020021,,5518-020-021,200 S KENMORE AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-5650,"200 S. Kenmore Avenue, Los Angeles, CA",Kenmore II Apartments,,manual_verified,Five or more apartments,Residential,0500,1926,48,7,48,22400,2025,6765201,2435472,,9500,2021,2021,0,08830,LOS ANGELES,34.07114645,-118.29626698,TRACT # 4678 LOT COM AT NW COR OF LOT 13 TH S ON W LINE OF SD LOT 56.92 FT TH E TO E LINE OF SD LOT TH N THEREON 55.64 FT TH S 89¢47' W 142.31 FT TO BEG PART OF LOT   13,
124,5094023025,,5094-023-025,915 S KENMORE AVE LOS ANGELES CA 90006,LOS ANGELES CA,90006-1557,"915 S. Kenmore Avenue, Los Angeles, CA",Kenmore III Apartments,,manual_verified,Five or more apartments,Residential,0500,1923,18,0,18,7512,2025,2164864,730641,,,2021,2021,0,06657,LOS ANGELES,34.0553459,-118.29683318,WEST NINTH STREET HEIGHTS LOT   58,
126,5094005005,,5094-005-005,727 S MARIPOSA AVE LOS ANGELES CA 90005,LOS ANGELES CA,90005-2069,"727 S. Mariposa Avenue, Los Angeles, CA",Mariposa I Apartments,,manual_verified,Five or more apartments,Residential,0500,1925,40,12,40,24576,2025,5303917,1786012,,12000,2021,2021,0,06657,LOS ANGELES,34.05890716,-118.2990354,TRACT # 7502 LOT   16,
