ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
4291019006,4291-019-006,1422 6TH ST SANTA MONICA CA 90401,"1422-1428 6th St., Santa Monica, CA",Santa Monica Portfolio A Apartments,,manual_verified_multi,Store Combination,Multi-parcel (2)
4291020018,4291-020-018,1425 6TH ST SANTA MONICA CA 90401,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
4291020019,4291-020-019,1423 6TH ST SANTA MONICA CA 90401,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
6005021032,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,"6200 S Broadway, Los Angeles, CA",6200 S. Broadway Apartments,,manual_verified,Commercial,
5021009036,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,"4228 Western Avenue, Los Angeles, CA",4228 Western Ave. Apartments,,manual_verified,Stores,
5183013001,5183-013-001,,"2330 E. 3rd Street, Los Angeles, CA",2330 E. 3rd Street Apartments,,parcel_in_transition,(pending),AIN not in DB
5020025039,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,"4327 S Vermont, Los Angeles, CA",4327 S. Vermont Apartments,,manual_verified,Stores,
6083001009,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,"110 Imperial Highway, Los Angeles, CA",2023 Imperial Apartments,,manual_verified,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,
5109003014,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Multi-parcel (2)
5109003001,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Multi-parcel (2)
6087002036,6087-002-036,11422 S BROADWAY LOS ANGELES CA 90061,"11422 S Broadway, Los Angeles, CA 90061",11422 Broadway Apartments,,manual_verified,"Warehousing, Distribution, Storage",
5049009082,5049-009-082,,"2533 S Mansfield Ave, Los Angeles, CA 90016",Mansfield Micro Apartments,,manual_verified,Single,
5160009020,5160-009-020,333 DOUGLAS ST LOS ANGELES CA 90026,"333 Douglas St, Los Angeles, CA",333 Douglas Apartments,,manual_verified,Single,
5092023021,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,"920 S. Gramercy Place, Los Angeles, CA",The Eaves Apartments,,manual_verified,Five or more apartments,
5036031006,5036-031-006,1451 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90062,"1451 W. MLK Blvd, Los Angeles, CA",1451 W. MLK Boulevard Apartments,,manual_verified,"Restaurants, Cocktail Lounges",
5159020012,5159-020-012,,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Multi-parcel (7). AIN not in DB.
5159020013,5159-020-013,,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Multi-parcel (7). AIN not in DB.
5159020014,5159-020-014,,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Multi-parcel (7). AIN not in DB.
5159020015,5159-020-015,,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Multi-parcel (7). AIN not in DB.
5159020011,5159-020-011,,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Multi-parcel (7). AIN not in DB.
5159020010,5159-020-010,1526 W COURT ST LOS ANGELES CA 90026,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,manual_verified_multi,Single,Multi-parcel (7)
