project_id,agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,authorization_status,superseded_by,manual_status,scc_filed,scc_number,scc_issue_date,agenda_url,staff_report_url,minutes_url,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,new_build,built,acquisition_price_m,acquisition_date,link,leasing_link,row_source,field_overrides
68,CMFA,Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,25-117,2025-04-04,authorize,approved,operative,,,True,15230,2025-07-02,https://www.cmfa-ca.com/wp-content/uploads/2025/04/1-CMFA-Agenda-04-04-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/CMFA-Staff-Report.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/2-CMFA-Minutes-04-04-2025.pdf,Post Investment Group,,Integrity Housing,189,189,100% at 80% AMI,30,28350.0,"Grant up to $10,000 (Charitable Affordable Housing)","9830 Reseda Blvd, Northridge, CA 91324",,NO,1964,,,,,generated,new_build:collaborator-sheet; built:collaborator-sheet; address:collaborator-sheet
69,CMFA,Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,25-116,2025-04-04,authorize,approved,operative,,dead,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/04/1-CMFA-Agenda-04-04-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/CMFA-Staff-Report.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/2-CMFA-Minutes-04-04-2025.pdf,Taylor Equities,,Housing on Merit,50,50,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)","10535 Lindley Ave, Granada Hills, CA 91326",,,,,,,,generated,manual_status:collaborator-sheet; address:collaborator-sheet
70,CMFA,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,25-144,2025-04-25,authorize,approved,superseded,359,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/04/1-CMFA-Agenda-04-25-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/CMFA-Staff-Reports-1.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/2-CMFA-Minutes-04-25-2025-1.pdf,The Sobrato Organization,,"Pacific Housing, Inc.",122,24,20% at 60% AMI; 80% at 80% AMI,30,18300.0,"Grant up to $10,000 (Charitable Affordable Housing)","26 Terrace View Ct, Daly City, CA 94015",,,,,,,,generated,address:collaborator-sheet
71,CMFA,SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,25-145,2025-04-25,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/04/1-CMFA-Agenda-04-25-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/CMFA-Staff-Reports-1.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/04/2-CMFA-Minutes-04-25-2025-1.pdf,The Sobrato Organization,,"Pacific Housing, Inc.",112,112,20% at 60% AMI; 80% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)","1212 Whipple Ave, Redwood City, CA 94062",,,,,2024-12-05,,https://www.theheltsley.com/,generated,acquisition_date:collaborator-sheet; leasing_link:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet
72,CMFA,Waterbend Apartments,Axis Fee Owner LP,San Francisco,San Francisco,25-219,2025-05-16,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/05/1-CMFA-Agenda-05-16-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/05-16-25-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/2-CMFA-Minutes-05-16-2025-1.pdf,TruAmerica Multifamily LLC,Angeleno Investments LP,Affordable Housing Access,136,136,15% at 55% AMI; 85% at 80% AMI,30,20400,"Grant up to $10,000 (Charitable Affordable Housing)","5880 3rd St, San Francisco, CA 94124",,NO,2016,,,,,generated,investor_2:collaborator-sheet; new_build:collaborator-sheet; built:collaborator-sheet; city:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet; city_cut:collaborator-sheet
73,CMFA,1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,25-207,2025-05-16,authorize,approved,operative,,,True,15352,2025-12-30,https://www.cmfa-ca.com/wp-content/uploads/2025/05/1-CMFA-Agenda-05-16-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/05-16-25-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/2-CMFA-Minutes-05-16-2025-1.pdf,Visionary Development Enterprises LLC,,Housing on Merit,189,148,78% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)","1540 W Court St, Los Angeles, CA 90026",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
74,CMFA,Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,25-209,2025-05-16,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/05/1-CMFA-Agenda-05-16-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/05-16-25-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/2-CMFA-Minutes-05-16-2025-1.pdf,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,147,145,100% at 80% AMI,30,22050,"Grant up to $10,000 (Charitable Affordable Housing)","5040 Logan Avenue, San Diego, CA 92113",,YES,,,,,,generated,new_build:collaborator-sheet; scc_filed:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet; city_cut:collaborator-sheet
75,CMFA,Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,25-208,2025-05-16,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/05/1-CMFA-Agenda-05-16-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/05-16-25-CMFA-Staff-Reports.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/05/2-CMFA-Minutes-05-16-2025-1.pdf,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",203,203,100% at 80% AMI,30,30450,"Grant up to $10,000 (Charitable Affordable Housing)","5474 Reservoir Dr, San Diego, CA 92120",,NO,,,,,,generated,investor_2:collaborator-sheet; new_build:collaborator-sheet; address:collaborator-sheet; city_cut:collaborator-sheet
76,CMFA,1451 W MLK BLVD Apartments,"3 SIOF 1451 W MLK BLVD, LP",Los Angeles,Los Angeles,26-040,2026-01-30,authorize,approved,operative,,stale,,,,https://www.cmfa-ca.com/wp-content/uploads/2026/01/1-CMFA-Agenda-01-30-26.pdf,https://www.cmfa-ca.com/wp-content/uploads/2026/01/CMFA-Staff-Reports-1-30-26.pdf,https://www.cmfa-ca.com/wp-content/uploads/2026/01/2-CMFA-Minutes-01-30-26.pdf,"SoLa Impact, LLC",,Housing on Merit,50,50,100% at 80% AMI,30,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)","1451 W. MLK Blvd, Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet; manual_status:collaborator-sheet; restricted_units:collaborator-sheet
77,CMFA,11630 S. Main Street Apartments,"4 SIOF 11630 S MAIN ST, LP",Los Angeles,Los Angeles,25-291,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,84,17,20% at 80% AMI,30,2550.0,"Grant up to $10,000 (Charitable Affordable Housing)","11630 Main St, Los Angeles, CA 90061",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
78,CMFA,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,25-281,2025-06-27,authorize,approved,operative,,,True,15252,2025-08-04,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,1008,1008,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)","3400 Richmond Pkwy, Richmond, CA 94806",,NO,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,,generated,investor_2:collaborator-sheet; new_build:collaborator-sheet; link:collaborator-sheet; investor_1:collaborator-sheet; nonprofit_partner:collaborator-sheet; total_units:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet
79,CMFA,10811 S. Compton Ave Apartments,"2 SIOF 10811 S Compton Ave, LP",Los Angeles,Los Angeles,25-287,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)","10811 S. Compton Avenue, Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
80,CMFA,4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,25-282,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,36,35,100% at 80% AMI,30,5250.0,"Grant up to $10,000 (Charitable Affordable Housing)","4101 Somerset Drive, Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
81,CMFA,321 E. Florence Apartments,"3 SIOF 321 E Florence Ave, LP",Los Angeles,Los Angeles,25-283,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,31,30,100% at 80% AMI,30,4500,"Grant up to $10,000 (Charitable Affordable Housing)","321 E. Florence Ave, Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; total_units:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet; city_cut:collaborator-sheet
82,CMFA,9300 Compton Ave. Apartments,"6 SIOF 9300 Compton Ave, LP",Los Angeles,Los Angeles,25-284,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,20,19,100% at 80% AMI,30,2850.0,"Grant up to $10,000 (Charitable Affordable Housing)","9300 Compton Ave., Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
83,CMFA,6401 S. Avalon Blvd. Apartments,"6 SIOF 6401 S Avalon Blvd, LP",Los Angeles,Los Angeles,25-285,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)","6401 S. Avalon Blvd., Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
84,CMFA,9515 Compton Ave. Apartments,"6 SIOF 9515 Compton Ave, LP",Los Angeles,Los Angeles,25-286,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,21,20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)","9515 Compton Avenue, Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
85,CMFA,569 W. 6th Street. Apartments,"SIOF 5 Properties, LP, a California limited partnership",Los Angeles,Los Angeles,25-288,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7050.0,"Grant up to $10,000 (Charitable Affordable Housing)","569 W. 6th Street, San Pedro, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
86,CMFA,685 W. 4th St Apartments,"2 SIOF 685 W Fourth St, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-289,2025-06-27,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)","685 W. 4th St., Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
87,CMFA,Chadwick Apartments,"Chadwick Owner, LP",Los Angeles,Los Angeles,25-290,2025-06-27,authorize,approved,operative,,,True,15376,2025-12-03,https://www.cmfa-ca.com/wp-content/uploads/2025/06/1-CMFA-Agenda-06-27-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/CMFA-Staff-Report-6-27-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/06/2-CMFA-Minutes-06-27-2025.pdf,"Vintage Housing Holdings, LLC",Kennedy Wilson,"Pacific Housing, Inc.",687,687,100% at 80% AMI,30,74025.0,"Grant up to $10,000 (Charitable Affordable Housing)","209 Westmoreland Ave, Los Angeles, CA 90004",,NO,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
88,CMFA,Chatsworth Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,25-308,2025-07-18,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/07/1-CMFA-Agenda-07-18-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/CMFA-Staff-Reports-7-18-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/2-CMFA-Minutes-07-18-2025.pdf,BMI Developments,,"Kingdom Development, Inc.",69,68,100% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)","17188 Chatsworth St., Los Angeles, CA",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
89,CMFA,LINQ Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,25-305,2025-07-18,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/07/1-CMFA-Agenda-07-18-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/CMFA-Staff-Reports-7-18-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/2-CMFA-Minutes-07-18-2025.pdf,Ethos Real Estate,,"Pacific Housing, Inc.",230,230,100% at 80% AMI,30,34500.0,"Grant up to $10,000 (Charitable Affordable Housing)","1700 Newbury Park Dr, San Jose, CA 95133",,,,,2025-09-03,,,generated,acquisition_date:collaborator-sheet; address:collaborator-sheet
90,CMFA,Pacific Trails Apartments,"Pacific Trails, LP",Azusa,Los Angeles,25-304,2025-07-18,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/07/1-CMFA-Agenda-07-18-2025.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/CMFA-Staff-Reports-7-18-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/07/2-CMFA-Minutes-07-18-2025.pdf,Langdon Park Capital,,Housing on Merit,84,84,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)","18615 E Arrow Hwy, Covina, CA 91722",,NO,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
91,CMFA,Huston Affordable Housing Apartments,10910 Huston LP,Los Angeles,Los Angeles,25-353,2025-08-08,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,38,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)","10910 Huston St, North Hollywood, CA 91601",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
92,CMFA,The Parker Apartments,"Flag VII The Parker, L.P.",El Monte,Los Angeles,25-350,2025-08-08,authorize,approved,operative,,,True,15354,2025-11-17,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,Belveron Partners,,Las Palmas Housing & Development Corporation,177,177,100% at 80% AMI,30,26550.0,"Grant up to $10,000 (Charitable Affordable Housing)","4640 Arden Way, El Monte, CA 91731",,NO,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
93,CMFA,Canyon Ridge at Napa Junction Apartments,"Canyon Ridge at Napa Junction, LP",American Canyon,Napa,25-351,2025-08-08,authorize,,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,BRIDGE Housing Corporation,,BRIDGE Housing Corp.,148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)","800 Reliant Wy, American Canyon, CA 94503",,NO,,,,,,generated,new_build:collaborator-sheet; resolution:collaborator-sheet; nonprofit_partner:collaborator-sheet; address:collaborator-sheet
94,CMFA,Canyon Villa Apartment Homes,"Post Canyon Villa, LP",Chula Vista,San Diego,25-352,2025-08-08,authorize,approved,operative,,,True,15328,2025-10-28,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,Post Investment Group,,Integrity Housing,183,183,100% at 80% AMI,30,27450.0,"Grant up to $10,000 (Charitable Affordable Housing)","601 Telegraph Canyon Road, Chula Vista, CA 91910",,NO,1981,,,,,generated,new_build:collaborator-sheet; built:collaborator-sheet; address:collaborator-sheet
95,CMFA,Fountain Park Apartments,"Fountain Park, L.P., a California limited partnership",San Jose,Santa Clara,25-349,2025-08-08,authorize,,operative,,,True,15311,2025-10-30,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,Sack Capital Partners,Belveron Partners,Las Palmas Housing & Development Corporation,164,164,100% at 80% AMI,30,24600.0,"Grant up to $10,000 (Charitable Affordable Housing)","1026 S De Anza Blvd, San Jose, CA 95129",,,,,2025-08-29,https://rebusinessonline.com/sack-properties-belveron-partners-buy-164-unit-multifamily-property-in-san-jose-california/,,generated,investor_2:collaborator-sheet; acquisition_date:collaborator-sheet; link:collaborator-sheet; resolution:collaborator-sheet; investor_1:collaborator-sheet; address:collaborator-sheet
96,CMFA,Park Kiely Apartments,"Standard Vistria Park Kiely Owner, LP",San Jose,Santa Clara,25-348,2025-08-08,authorize,approved,operative,,,True,15323,2025-10-22,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,Standard Property Company,Vistria,Housing on Merit,948,948,100% at 80% AMI,30,93600.0,"Grant up to $10,000 (Charitable Affordable Housing)","355 Kiely Blvd, San Jose, CA 95129",,,1972,410,2025-08-27,,,generated,investor_2:collaborator-sheet; built:collaborator-sheet; acquisition_price_m:collaborator-sheet; acquisition_date:collaborator-sheet; address:collaborator-sheet
97,CMFA,Azusa Gardens Apartments,"Azusa Gardens Owner, LP",Azusa,Los Angeles,25-347,2025-08-08,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-08-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-8-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-08-25.pdf,TriWest Multifamily,,"Kingdom Development, Inc.",112,112,100% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)","601 E 8th St, Azusa, CA 91702",,NO,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
98,CMFA,Camden Village Apartments,"Flag VII Camden Village, L.P.",Fremont,Alameda,25-423,2025-08-29,authorize,approved,operative,,dead,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-29-25.pdf,Belveron Partners,,Las Palmas Housing & Development Corporation,192,192,100% at 80% AMI,30,28800.0,"Grant up to $10,000 (Charitable Affordable Housing)","38000 Camden St, Fremont, CA 94536",,NO,,,,,https://www.camdenvillageapts.com/,generated,new_build:collaborator-sheet; leasing_link:collaborator-sheet; manual_status:collaborator-sheet; address:collaborator-sheet
99,CMFA,Passo Barrington Apartments,"Passo Barrington, LP",Los Angeles,Los Angeles,25-424,2025-08-29,authorize,approved,operative,,,True,15404,2025-12-23,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-29-25.pdf,Glimcher Capital Group,,Housing on Merit,53,53,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","1734 S. Barrington Ave., Los Angeles, CA, 90025",,YES,,,,,,generated,new_build:collaborator-sheet; restricted_units:collaborator-sheet; address:collaborator-sheet
100,CMFA,Passo Centinela I Apartments,"Passo Centinela, LP",Los Angeles,Los Angeles,25-425,2025-08-29,authorize,approved,operative,,,True,15405,2025-12-24,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-29-25.pdf,Glimcher Capital Group,,Housing on Merit,72,71,100% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)","4129 Centinela Avenue, Los Angeles, CA 90066",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
101,CMFA,Passo Centinela II Apartments,"Passo Centinela 2, LP",Los Angeles,Los Angeles,25-426,2025-08-29,authorize,approved,operative,,,True,15406,2025-12-31,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-29-25.pdf,Glimcher Capital Group,,Housing on Merit,73,72,100% at 80% AMI,30,10800.0,"Grant up to $10,000 (Charitable Affordable Housing)","4706 Centinela Avenue, Los Angeles, CA 90066",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
102,CMFA,Passo Stoner Apartments,"Passo Stoner, LP",Los Angeles,Los Angeles,25-427,2025-08-29,authorize,approved,operative,,,True,15403,2025-12-24,https://www.cmfa-ca.com/wp-content/uploads/2025/08/1-CMFA-Agenda-08-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/CMFA-Staff-Reports-8-29-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/08/2-CMFA-Minutes-08-29-25.pdf,Glimcher Capital Group,,Housing on Merit,53,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","1747 Stoner Avenue, Los Angeles, CA 90025",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
103,CMFA,4th Street Apartments,2025 E 4th Street LLLP,Los Angeles,Los Angeles,25-448,2025-09-19,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2025/09/1-CMFA-Agenda-09-19-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/09/CMFA-Staff-Reports-09-19-25.pdf,https://www.cmfa-ca.com/wp-content/uploads/2025/09/2-CMFA-Minutes-09-19-25.pdf,K3 Holdings,,"Kingdom Development, Inc.",25,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)","2025 E. 4th Street, Los Angeles, CA",,NO,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
