project_id,agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,authorization_status,superseded_by,manual_status,scc_filed,scc_number,scc_issue_date,agenda_url,staff_report_url,minutes_url,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,new_build,built,acquisition_price_m,acquisition_date,link,leasing_link,row_source,field_overrides
11,CMFA,820 MacArthur Apartments,"2019 Ozone Affordable Housing – 820 MacArthur, LP",Oakland,Alameda,24-052,2024-02-23,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2024/02/1-CMFA-Agenda-02-23-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/02/Staff-Reports-2-23-24-1.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/02/2-CMFA-Minutes-02-23-24.pdf,"Riaz, Inc.",,AOF Pacific,166,166,100% at 80% AMI,20,24900.0,"Grant up to $10,000 (Charitable Affordable Housing)","820 W MacArthur Blvd, Oakland, CA 94608",,YES,,,,,,generated,new_build:collaborator-sheet; scc_filed:collaborator-sheet; address:collaborator-sheet
12,CMFA,The Waterloo Apartments,"801 Waterloo Partners, LP",Los Angeles,Los Angeles,24-053,2024-02-23,authorize,approved,operative,,,True,15023,2025-01-16,https://www.cmfa-ca.com/wp-content/uploads/2024/02/1-CMFA-Agenda-02-23-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/02/Staff-Reports-2-23-24-1.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/02/2-CMFA-Minutes-02-23-24.pdf,The Greg Scott Company,,"Kingdom Development, Inc.",154,154,12% at 50% AMI; 98% at 80% AMI,20,23250.0,"Grant up to $10,000 (Charitable Affordable Housing)","801-809 Waterloo Street, CA",,,,,,,,generated,restricted_units:collaborator-sheet
13,CMFA,275 Turk Street Apartments,"RHI-Mosser 275 Turk, LP",San Francisco,San Francisco,24-076,2024-03-15,authorize,approved,operative,,dead,,,,https://www.cmfa-ca.com/wp-content/uploads/2024/03/1-CMFA-Agenda-03-15-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/03/Staff-Reports-3-15-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/03/2-CMFA-Minutes-03-15-24.pdf,"Mosser Capital, LLC",Stars Real Estate Investment,"Kingdom Development, Inc.",66,27,100% at 80% AMI,30,9900.0,"Grant up to $10,000 (Charitable Affordable Housing)","275 Turk St, San Francisco, CA",,,,,,,,generated,investor_2:collaborator-sheet; manual_status:collaborator-sheet; address:collaborator-sheet
14,CMFA,Electric Lofts Apartments,"Electric Lofts, LP, a California limited partnership",Oakland,Alameda,24-074,2024-03-15,authorize,approved,superseded,316,,True,15324,2026-01-27,https://www.cmfa-ca.com/wp-content/uploads/2024/03/1-CMFA-Agenda-03-15-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/03/Staff-Reports-3-15-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/03/2-CMFA-Minutes-03-15-24.pdf,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,89,40,100% at 80% AMI,30,13350.0,"Grant up to $10,000 (Charitable Affordable Housing)","2415 Valdez St, Oakland, CA 94612",,,,,,,https://www.electriclofts.com/,generated,leasing_link:collaborator-sheet; address:collaborator-sheet
15,CMFA,Premiere Hollywood Apartments,"OODB2, LP, a Washington Limited Partnership",Los Angeles,Los Angeles,24-178,2024-04-26,authorize,approved,operative,,dead,,,,https://www.cmfa-ca.com/wp-content/uploads/2024/04/CMFA-Agenda-04-26-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/04/CMFA-Staff-Reports-1.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/04/Minutes-04-26-24.pdf,Housing Diversity Corporation,,PEP Housing,69,69,100% at 80% AMI,30,10350.0,"Grant up to $10,000 (Charitable Affordable Housing)","6762 Hawthorn Ave, Los Angeles, CA 90028",,,2023,,,,,generated,built:collaborator-sheet; manual_status:collaborator-sheet; address:collaborator-sheet
16,CMFA,Montessa Apartments,"Affordable Housing Alliance II, Inc., d/b/a Integrity Housing, a Colorado nonprofit corporation",Vacaville,Solano,24-200,2024-05-17,authorize,approved,operative,,,,,,https://www.cmfa-ca.com/wp-content/uploads/2024/05/CMFA-Agendas-05-17-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/05/Staff-Reports-5-17-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/05/CMFA-Minutes-05-17-24.pdf,Ascenda Capital,,Integrity Housing,169,58,34% at 80% AMI,30,8700.0,"Charitable Affordable Housing Grant for an Affordable Rental Housing Facility Located in the City of Vacaville, Solano County, California","343 Moon River Pl, Vacaville, CA 95687",,YES,,,,,,generated,new_build:collaborator-sheet; address:collaborator-sheet
17,CMFA,4252 Crenshaw Apartments,4252 Crenshaw LP,Los Angeles,Los Angeles,24-199,2024-05-17,authorize,approved,operative,,,True,14929,2024-10-09,https://www.cmfa-ca.com/wp-content/uploads/2024/05/CMFA-Agendas-05-17-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/05/Staff-Reports-5-17-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/05/CMFA-Minutes-05-17-24.pdf,Thrive Living,Magnum Real Estate Group,"Kingdom Development, Inc.",111,111,100% at 80% AMI,30,16650.0,"Grant up to $10,000 (Charitable Affordable Housing)",4252 S CRENSHAW BLVD LOS ANGELES CA 90008,,NO,2020,,,,,generated,investor_2:collaborator-sheet; new_build:collaborator-sheet; built:collaborator-sheet; address:collaborator-sheet
18,CMFA,Fallbrook Trail Apartments,1735 South Mission LP,San Diego,San Diego,24-219,2024-06-07,authorize,approved,operative,,,True,14935,2024-11-04,https://www.cmfa-ca.com/wp-content/uploads/2024/06/CMFA-Agendas-06-07-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/Staff-Report-6-7-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/2-CMFA-Minutes-06-07-24.pdf,AOF,Pacific Affordable Housing Corp.,Pacific Affordable Housing Corp,103,102,100% at 80% AMI,30,15300,"Grant up to $10,000 (Charitable Affordable Housing)","1735 S Mission Rd, Fallbrook, CA 92028",,,2021,,,,,generated,built:collaborator-sheet; city:collaborator-sheet; nonprofit_partner:collaborator-sheet; address:collaborator-sheet; city_cut:collaborator-sheet
19,CMFA,The Arbors Apartments,"Post Arbors Santa Ana, LP",Santa Ana,Orange,24-222,2024-06-07,authorize,approved,operative,,,True,14928,2024-10-07,https://www.cmfa-ca.com/wp-content/uploads/2024/06/CMFA-Agendas-06-07-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/Staff-Report-6-7-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/2-CMFA-Minutes-06-07-24.pdf,Ascenda Capital,Post Investment Group,Integrity Housing,160,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)","1100-1200 E. Fairhaven Avenue, Santa Ana, CA",,,1969,,,,,generated,investor_2:collaborator-sheet; built:collaborator-sheet; address:collaborator-sheet
20,CMFA,Pinetree Terrace Apartments,Hacienda Investors LP,Los Angeles,Los Angeles,24-220,2024-06-07,authorize,approved,operative,,,True,14877,2024-09-16,https://www.cmfa-ca.com/wp-content/uploads/2024/06/CMFA-Agendas-06-07-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/Staff-Report-6-7-24.pdf,https://www.cmfa-ca.com/wp-content/uploads/2024/06/2-CMFA-Minutes-06-07-24.pdf,GHC Housing Partners,,Foundation for Affordable Housing,58,58,100% at 80% AMI,20,8700.0,"Grant up to $10,000 (Charitable Affordable Housing)","7940 Reseda Boulevard, Reseda, CA",,,,17600000,2024-06-28,,,generated,acquisition_price_m:collaborator-sheet; acquisition_date:collaborator-sheet; address:collaborator-sheet
